model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2030,Results_p1,all,MWh,724635.849237542
GenX,BASN,BASN_biomass_1,Other,2030,Results_p1,all,MWh,162489.59999999485
GenX,BASN,BASN_biomass_2,Other,2030,Results_p1,all,MWh,87360.0
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,Results_p1,all,MWh,8364828.312774258
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2030,Results_p1,all,MWh,197.6425843096992
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2030,Results_p1,all,MWh,393.1767275938305
GenX,BASN,BASN_geothermal_1,Geothermal,2030,Results_p1,all,MWh,3313871.914285242
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,Results_p1,all,MWh,29026.74166056304
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,Results_p1,all,MWh,6523241.329614805
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,Results_p1,all,MWh,503.8078234466463
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,Results_p1,all,MWh,401.7790750334627
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,Results_p1,all,MWh,6173.78201025008
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,Results_p1,all,MWh,226.0193617629577
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2030,Results_p1,all,MWh,3952913.6746310703
GenX,BASN,BASN_petroleum_liquids_1,Other,2030,Results_p1,all,MWh,44.45451622343544
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2030,Results_p1,all,MWh,1547145.599999961
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2030,Results_p1,all,MWh,16564051.778162362
GenX,CANO,CANO_batteries_1,Battery,2030,Results_p1,all,MWh,3333581.555959316
GenX,CANO,CANO_biomass_1,Other,2030,Results_p1,all,MWh,1172371.2000000405
GenX,CANO,CANO_biomass_2,Other,2030,Results_p1,all,MWh,667430.3999999795
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,Results_p1,all,MWh,18492283.17320991
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,Results_p1,all,MWh,5026267.322000747
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,Results_p1,all,MWh,70915.78030122528
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,Results_p1,all,MWh,16221791.3342452
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,Results_p1,all,MWh,605.0430612085577
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,Results_p1,all,MWh,636.0175591413026
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,Results_p1,all,MWh,795.9955778205815
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,2030,Results_p1,all,MWh,461.9134790457539
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2030,Results_p1,all,MWh,2422395.1988744307
GenX,CANO,CANO_petroleum_liquids_1,Other,2030,Results_p1,all,MWh,98.39945621554216
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2030,Results_p1,all,MWh,1882608.0
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2030,Results_p1,all,MWh,13543834.816575373
GenX,CASO,CASO_batteries_1,Battery,2030,Results_p1,all,MWh,10390182.150935294
GenX,CASO,CASO_biomass_1,Other,2030,Results_p1,all,MWh,995030.3999999814
GenX,CASO,CASO_biomass_2,Other,2030,Results_p1,all,MWh,137155.2000000009
GenX,CASO,CASO_conventional_hydroelectric_1,Hydro,2030,Results_p1,all,MWh,2318547.100270709
GenX,CASO,CASO_geothermal_1,Geothermal,2030,Results_p1,all,MWh,154986.70918942452
GenX,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2030,Results_p1,all,MWh,3599895.027436943
GenX,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,Results_p1,all,MWh,35245.786816417254
GenX,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,Results_p1,all,MWh,15748431.420802416
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,Results_p1,all,MWh,605.8463298827581
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,Results_p1,all,MWh,961.4329784020804
GenX,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,Results_p1,all,MWh,4004.936744383623
GenX,CASO,CASO_natural_gas_steam_turbine_1,Natural Gas,2030,Results_p1,all,MWh,521.0169903234312
GenX,CASO,CASO_onshore_wind_turbine_1,Wind,2030,Results_p1,all,MWh,13178394.951112583
GenX,CASO,CASO_petroleum_liquids_1,Other,2030,Results_p1,all,MWh,78.31828348849659
GenX,CASO,CASO_small_hydroelectric_1,Hydro,2030,Results_p1,all,MWh,635980.7999999934
GenX,CASO,CASO_solar_photovoltaic_1,Solar,2030,Results_p1,all,MWh,30684816.124717288
GenX,FRCC,FRCC_batteries_1,Battery,2030,Results_p1,all,MWh,494417.0011733201
GenX,FRCC,FRCC_biomass_1,Other,2030,Results_p1,all,MWh,470870.3999999864
GenX,FRCC,FRCC_biomass_2,Other,2030,Results_p1,all,MWh,996777.6000000186
GenX,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2030,Results_p1,all,MWh,108353.92061109807
GenX,FRCC,FRCC_conventional_steam_coal_1,Coal,2030,Results_p1,all,MWh,418.1716817136378
GenX,FRCC,FRCC_conventional_steam_coal_2,Coal,2030,Results_p1,all,MWh,292.13002001735214
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas,2030,Results_p1,all,MWh,1839.5953843955836
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas,2030,Results_p1,all,MWh,28402663.852112055
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,Results_p1,all,MWh,588.2993996688957
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,Results_p1,all,MWh,458.972178008553
GenX,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,Results_p1,all,MWh,1073.509187897629
GenX,FRCC,FRCC_natural_gas_steam_turbine_1,Natural Gas,2030,Results_p1,all,MWh,499.82232069906286
GenX,FRCC,FRCC_nuclear_1,Nuclear,2030,Results_p1,all,MWh,28177686.904157232
GenX,FRCC,FRCC_petroleum_liquids_1,Other,2030,Results_p1,all,MWh,97.96602808440002
GenX,FRCC,FRCC_solar_photovoltaic_1,Solar,2030,Results_p1,all,MWh,16094542.216151984
GenX,ISNE,ISNE_batteries_1,Battery,2030,Results_p1,all,MWh,349242.8786009562
GenX,ISNE,ISNE_biomass_1,Other,2030,Results_p1,all,MWh,409718.39999998786
GenX,ISNE,ISNE_biomass_2,Other,2030,Results_p1,all,MWh,929510.3999999812
GenX,ISNE,ISNE_conventional_hydroelectric_1,Hydro,2030,Results_p1,all,MWh,2172518.511911078
GenX,ISNE,ISNE_conventional_steam_coal_1,Coal,2030,Results_p1,all,MWh,17814.582134112756
GenX,ISNE,ISNE_hydroelectric_pumped_storage_1,Hydro,2030,Results_p1,all,MWh,3761551.812389652
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_1,Natural Gas,2030,Results_p1,all,MWh,954973.6325048044
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_2,Natural Gas,2030,Results_p1,all,MWh,15351400.385302044
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,Results_p1,all,MWh,43973.13379340725
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,Results_p1,all,MWh,154367.26278344565
GenX,ISNE,ISNE_natural_gas_internal_combustion_engine_1,Natural Gas,2030,Results_p1,all,MWh,12608.69969006529
GenX,ISNE,ISNE_natural_gas_steam_turbine_1,Natural Gas,2030,Results_p1,all,MWh,5280.975416498258
GenX,ISNE,ISNE_nuclear_1,Nuclear,2030,Results_p1,all,MWh,22614495.283476092
GenX,ISNE,ISNE_offshore_wind_turbine_1,Wind,2030,Results_p1,all,MWh,224488.992559453
GenX,ISNE,ISNE_onshore_wind_turbine_1,Wind,2030,Results_p1,all,MWh,2266372.6886616102
GenX,ISNE,ISNE_petroleum_liquids_1,Other,2030,Results_p1,all,MWh,21577.74231789605
GenX,ISNE,ISNE_small_hydroelectric_1,Hydro,2030,Results_p1,all,MWh,2220691.2000000086
GenX,ISNE,ISNE_solar_photovoltaic_1,Solar,2030,Results_p1,all,MWh,3908641.282565399
GenX,MISC,MISC_batteries_1,Battery,2030,Results_p1,all,MWh,39879.29675769793
GenX,MISC,MISC_biomass_1,Other,2030,Results_p1,all,MWh,672672.0
GenX,MISC,MISC_biomass_2,Other,2030,Results_p1,all,MWh,20966.3999999998
GenX,MISC,MISC_conventional_hydroelectric_1,Hydro,2030,Results_p1,all,MWh,1317500.625390069
GenX,MISC,MISC_conventional_steam_coal_1,Coal,2030,Results_p1,all,MWh,399.5778477423537
GenX,MISC,MISC_conventional_steam_coal_2,Coal,2030,Results_p1,all,MWh,314.3896520742328
GenX,MISC,MISC_hydroelectric_pumped_storage_1,Hydro,2030,Results_p1,all,MWh,1097885.0722092944
GenX,MISC,MISC_natural_gas_fired_combined_cycle_1,Natural Gas,2030,Results_p1,all,MWh,784619.5506561231
GenX,MISC,MISC_natural_gas_fired_combined_cycle_2,Natural Gas,2030,Results_p1,all,MWh,6749280.383319512
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,Results_p1,all,MWh,11480.34067205736
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,Results_p1,all,MWh,543.3201052392415
GenX,MISC,MISC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,Results_p1,all,MWh,13506.359553191123
GenX,MISC,MISC_natural_gas_steam_turbine_1,Natural Gas,2030,Results_p1,all,MWh,7293.618542331029
GenX,MISC,MISC_nuclear_1,Nuclear,2030,Results_p1,all,MWh,13807454.323912544
GenX,MISC,MISC_onshore_wind_turbine_1,Wind,2030,Results_p1,all,MWh,13110880.258831209
GenX,MISC,MISC_petroleum_liquids_1,Other,2030,Results_p1,all,MWh,117.82156757834817
GenX,MISC,MISC_small_hydroelectric_1,Hydro,2030,Results_p1,all,MWh,122304.0
GenX,MISC,MISC_solar_photovoltaic_1,Solar,2030,Results_p1,all,MWh,6104868.282534826
GenX,MISE,MISE_batteries_1,Battery,2030,Results_p1,all,MWh,1814.7091518636548
GenX,MISE,MISE_biomass_1,Other,2030,Results_p1,all,MWh,531148.8000000076
GenX,MISE,MISE_biomass_2,Other,2030,Results_p1,all,MWh,509308.8000000093
