model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2030,Results_p1,MW,0.254279
GenX,2,BASN_to_CASO,2030,Results_p1,MW,0.0279183
GenX,3,BASN_to_NWPP,2030,Results_p1,MW,0.0133203
GenX,4,BASN_to_RMRG,2030,Results_p1,MW,0.0712267
GenX,5,BASN_to_SRSG,2030,Results_p1,MW,0.245192
GenX,6,CANO_to_CASO,2030,Results_p1,MW,0.0214944
GenX,7,CANO_to_NWPP,2030,Results_p1,MW,0.009476
GenX,8,CASO_to_NWPP,2030,Results_p1,MW,0.0620616
GenX,9,CASO_to_SRSG,2030,Results_p1,MW,4037.84
GenX,10,FRCC_to_SRSE,2030,Results_p1,MW,200.553
GenX,11,ISNE_to_NYCW,2030,Results_p1,MW,895.092
GenX,12,ISNE_to_NYUP,2030,Results_p1,MW,4793.82
GenX,13,MISC_to_MISE,2030,Results_p1,MW,3362.41
GenX,14,MISC_to_MISS,2030,Results_p1,MW,0.0424832
GenX,15,MISC_to_MISW,2030,Results_p1,MW,0.790577
GenX,16,MISC_to_PJMC,2030,Results_p1,MW,0.00068211
GenX,17,MISC_to_PJMW,2030,Results_p1,MW,1669.83
GenX,18,MISC_to_SPPC,2030,Results_p1,MW,7161.99
GenX,19,MISC_to_SPPN,2030,Results_p1,MW,4849.63
GenX,20,MISC_to_SPPS,2030,Results_p1,MW,7586.95
GenX,21,MISC_to_SRCE,2030,Results_p1,MW,0.194287
GenX,22,MISE_to_MISW,2030,Results_p1,MW,44.3661
GenX,23,MISE_to_PJMW,2030,Results_p1,MW,0.0364996
GenX,24,MISS_to_SPPC,2030,Results_p1,MW,8117.37
GenX,25,MISS_to_SPPS,2030,Results_p1,MW,16969.9
GenX,26,MISS_to_SRCE,2030,Results_p1,MW,0.47689
GenX,27,MISS_to_SRSE,2030,Results_p1,MW,9419.19
GenX,28,MISW_to_NWPP,2030,Results_p1,MW,0.0221548
GenX,29,MISW_to_PJMC,2030,Results_p1,MW,3673.41
GenX,30,MISW_to_SPPC,2030,Results_p1,MW,16.4707
GenX,31,MISW_to_SPPN,2030,Results_p1,MW,0.00990411
GenX,32,NWPP_to_RMRG,2030,Results_p1,MW,4505.26
GenX,33,NYCW_to_NYUP,2030,Results_p1,MW,1984.86
GenX,34,NYCW_to_PJME,2030,Results_p1,MW,4745.4
GenX,35,NYUP_to_PJME,2030,Results_p1,MW,4548.89
GenX,36,PJMC_to_PJMW,2030,Results_p1,MW,7016.56
GenX,37,PJMD_to_PJME,2030,Results_p1,MW,3964.81
GenX,38,PJMD_to_PJMW,2030,Results_p1,MW,0.0386175
GenX,39,PJMD_to_SRCA,2030,Results_p1,MW,0.262351
GenX,40,PJME_to_PJMW,2030,Results_p1,MW,3535.32
GenX,41,PJMW_to_SRCA,2030,Results_p1,MW,0.308182
GenX,42,PJMW_to_SRCE,2030,Results_p1,MW,0.0825063
GenX,43,RMRG_to_SPPC,2030,Results_p1,MW,8913.8
GenX,44,RMRG_to_SPPN,2030,Results_p1,MW,3454.23
GenX,45,RMRG_to_SRSG,2030,Results_p1,MW,1943.26
GenX,46,SPPC_to_SPPN,2030,Results_p1,MW,1053.06
GenX,47,SPPC_to_SPPS,2030,Results_p1,MW,0.016283
GenX,48,SPPN_to_SPPS,2030,Results_p1,MW,4628.44
GenX,49,SPPS_to_SRSG,2030,Results_p1,MW,6677.28
GenX,50,SPPS_to_TRE,2030,Results_p1,MW,8049.61
GenX,51,SPPS_to_TRE_WEST,2030,Results_p1,MW,4862.49
GenX,52,SRCA_to_SRCE,2030,Results_p1,MW,0.0780003
GenX,53,SRCA_to_SRSE,2030,Results_p1,MW,0.00902151
GenX,54,SRCE_to_SRSE,2030,Results_p1,MW,0.11337
GenX,55,TRE_to_TRE_WEST,2030,Results_p1,MW,0.0532186
GenX,56,NWPP_to_SPPN,2030,Results_p1,MW,1320.05
GenX,57,SRSG_to_TRE,2030,Results_p1,MW,1927.8
GenX,1,BASN_to_CANO,2040,Results_p2,MW,38.7154
GenX,2,BASN_to_CASO,2040,Results_p2,MW,0.0868028
GenX,3,BASN_to_NWPP,2040,Results_p2,MW,0.00681448
GenX,4,BASN_to_RMRG,2040,Results_p2,MW,0.213189
GenX,5,BASN_to_SRSG,2040,Results_p2,MW,0.000302921
GenX,6,CANO_to_CASO,2040,Results_p2,MW,0.169756
GenX,7,CANO_to_NWPP,2040,Results_p2,MW,162.516
GenX,8,CASO_to_NWPP,2040,Results_p2,MW,0.00577092
GenX,9,CASO_to_SRSG,2040,Results_p2,MW,3652.57
GenX,10,FRCC_to_SRSE,2040,Results_p2,MW,3369.1
GenX,11,ISNE_to_NYCW,2040,Results_p2,MW,0.104957
GenX,12,ISNE_to_NYUP,2040,Results_p2,MW,4564.2
GenX,13,MISC_to_MISE,2040,Results_p2,MW,840.319
GenX,14,MISC_to_MISS,2040,Results_p2,MW,0.176874
GenX,15,MISC_to_MISW,2040,Results_p2,MW,0.144989
GenX,16,MISC_to_PJMC,2040,Results_p2,MW,0.00590227
GenX,17,MISC_to_PJMW,2040,Results_p2,MW,14158.3
GenX,18,MISC_to_SPPC,2040,Results_p2,MW,5120.86
GenX,19,MISC_to_SPPN,2040,Results_p2,MW,1263.97
GenX,20,MISC_to_SPPS,2040,Results_p2,MW,4696.28
GenX,21,MISC_to_SRCE,2040,Results_p2,MW,0.00363384
GenX,22,MISE_to_MISW,2040,Results_p2,MW,1020.15
GenX,23,MISE_to_PJMW,2040,Results_p2,MW,0.186062
GenX,24,MISS_to_SPPC,2040,Results_p2,MW,0.176363
GenX,25,MISS_to_SPPS,2040,Results_p2,MW,16949.7
GenX,26,MISS_to_SRCE,2040,Results_p2,MW,0.32656
GenX,27,MISS_to_SRSE,2040,Results_p2,MW,8686.72
GenX,28,MISW_to_NWPP,2040,Results_p2,MW,0.142719
GenX,29,MISW_to_PJMC,2040,Results_p2,MW,6002.3
GenX,30,MISW_to_SPPC,2040,Results_p2,MW,313.968
GenX,31,MISW_to_SPPN,2040,Results_p2,MW,0.0212697
GenX,32,NWPP_to_RMRG,2040,Results_p2,MW,389.137
GenX,33,NYCW_to_NYUP,2040,Results_p2,MW,421.767
GenX,34,NYCW_to_PJME,2040,Results_p2,MW,4985.43
