model,zone,planning_year,case,unit,value
GenX,BASN,2030,Results_p1,tons,2.72732e+06
GenX,CANO,2030,Results_p1,tons,6.88193e+06
GenX,CASO,2030,Results_p1,tons,6.38582e+06
GenX,FRCC,2030,Results_p1,tons,1.42513e+07
GenX,ISNE,2030,Results_p1,tons,6.41711e+06
GenX,MISC,2030,Results_p1,tons,3.06544e+06
GenX,MISE,2030,Results_p1,tons,3.99136e+06
GenX,MISS,2030,Results_p1,tons,1.25573e+07
GenX,MISW,2030,Results_p1,tons,5.96144e+06
GenX,NWPP,2030,Results_p1,tons,804485
GenX,NYCW,2030,Results_p1,tons,2.82898e+06
GenX,NYUP,2030,Results_p1,tons,3.92339e+06
GenX,PJMC,2030,Results_p1,tons,4.60452e+06
GenX,PJMD,2030,Results_p1,tons,4.54382e+06
GenX,PJME,2030,Results_p1,tons,3.35014e+07
GenX,PJMW,2030,Results_p1,tons,1.78873e+07
GenX,RMRG,2030,Results_p1,tons,338476
GenX,SPPC,2030,Results_p1,tons,577464
GenX,SPPN,2030,Results_p1,tons,178964
GenX,SPPS,2030,Results_p1,tons,4.89627e+06
GenX,SRCA,2030,Results_p1,tons,7.17956e+06
GenX,SRCE,2030,Results_p1,tons,8.02451e+06
GenX,SRSE,2030,Results_p1,tons,1.26314e+07
GenX,SRSG,2030,Results_p1,tons,2.62769e+06
GenX,TRE,2030,Results_p1,tons,1.62378e+07
GenX,TRE_WEST,2030,Results_p1,tons,3.00632e+06
GenX,BASN,2040,Results_p2,tons,3.07289e+06
GenX,CANO,2040,Results_p2,tons,6.17384e+06
GenX,CASO,2040,Results_p2,tons,6.22817e+06
GenX,FRCC,2040,Results_p2,tons,1.36976e+07
GenX,ISNE,2040,Results_p2,tons,8.90883e+06
GenX,MISC,2040,Results_p2,tons,3.4774e+06
GenX,MISE,2040,Results_p2,tons,3.76093e+06
GenX,MISS,2040,Results_p2,tons,9.80808e+06
GenX,MISW,2040,Results_p2,tons,5.28554e+06
GenX,NWPP,2040,Results_p2,tons,2.16574e+06
GenX,NYCW,2040,Results_p2,tons,2.112e+06
GenX,NYUP,2040,Results_p2,tons,3.16911e+06
GenX,PJMC,2040,Results_p2,tons,3.81246e+06
GenX,PJMD,2040,Results_p2,tons,4.64617e+06
GenX,PJME,2040,Results_p2,tons,2.48188e+07
GenX,PJMW,2040,Results_p2,tons,1.62797e+07
GenX,RMRG,2040,Results_p2,tons,647113
GenX,SPPC,2040,Results_p2,tons,551354
GenX,SPPN,2040,Results_p2,tons,329619
GenX,SPPS,2040,Results_p2,tons,3.45403e+06
GenX,SRCA,2040,Results_p2,tons,6.59201e+06
GenX,SRCE,2040,Results_p2,tons,6.71549e+06
GenX,SRSE,2040,Results_p2,tons,1.17146e+07
GenX,SRSG,2040,Results_p2,tons,3.5406e+06
GenX,TRE,2040,Results_p2,tons,1.21144e+07
GenX,TRE_WEST,2040,Results_p2,tons,1.95933e+06
GenX,BASN,2050,Results_p3,tons,2.73169e+06
GenX,CANO,2050,Results_p3,tons,5.52964e+06
GenX,CASO,2050,Results_p3,tons,5.95433e+06
GenX,FRCC,2050,Results_p3,tons,1.36559e+07
GenX,ISNE,2050,Results_p3,tons,9.25128e+06
GenX,MISC,2050,Results_p3,tons,3.66404e+06
GenX,MISE,2050,Results_p3,tons,2.54411e+06
GenX,MISS,2050,Results_p3,tons,8.25108e+06
GenX,MISW,2050,Results_p3,tons,4.45741e+06
GenX,NWPP,2050,Results_p3,tons,2.06737e+06
GenX,NYCW,2050,Results_p3,tons,2.00121e+06
GenX,NYUP,2050,Results_p3,tons,3.19136e+06
GenX,PJMC,2050,Results_p3,tons,3.08688e+06
GenX,PJMD,2050,Results_p3,tons,3.09055e+06
GenX,PJME,2050,Results_p3,tons,2.1377e+07
GenX,PJMW,2050,Results_p3,tons,1.75622e+07
GenX,RMRG,2050,Results_p3,tons,607033
GenX,SPPC,2050,Results_p3,tons,502892
GenX,SPPN,2050,Results_p3,tons,309902
GenX,SPPS,2050,Results_p3,tons,2.95285e+06
GenX,SRCA,2050,Results_p3,tons,6.54698e+06
GenX,SRCE,2050,Results_p3,tons,5.88072e+06
GenX,SRSE,2050,Results_p3,tons,1.04676e+07
GenX,SRSG,2050,Results_p3,tons,2.60018e+06
GenX,TRE,2050,Results_p3,tons,1.05899e+07
GenX,TRE_WEST,2050,Results_p3,tons,1.6012e+06
