model,line_name,planning_year,case,unit,value
USENSYS,CANO_to_NWPP,2030,26z-short-base-200_d365_h24_8760,MW,261
USENSYS,CASO_to_SRSG,2030,26z-short-base-200_d365_h24_8760,MW,5442
USENSYS,FRCC_to_SRSE,2030,26z-short-base-200_d365_h24_8760,MW,1041
USENSYS,ISNE_to_NYCW,2030,26z-short-base-200_d365_h24_8760,MW,482
USENSYS,ISNE_to_NYUP,2030,26z-short-base-200_d365_h24_8760,MW,5199
USENSYS,MISC_to_PJMW,2030,26z-short-base-200_d365_h24_8760,MW,6307
USENSYS,MISC_to_SPPC,2030,26z-short-base-200_d365_h24_8760,MW,4607
USENSYS,MISC_to_SPPS,2030,26z-short-base-200_d365_h24_8760,MW,7994
USENSYS,MISS_to_SPPS,2030,26z-short-base-200_d365_h24_8760,MW,16970
USENSYS,MISS_to_SRSE,2030,26z-short-base-200_d365_h24_8760,MW,10000
USENSYS,MISW_to_PJMC,2030,26z-short-base-200_d365_h24_8760,MW,9845
USENSYS,NWPP_to_RMRG,2030,26z-short-base-200_d365_h24_8760,MW,3757
USENSYS,NYCW_to_NYUP,2030,26z-short-base-200_d365_h24_8760,MW,2357
USENSYS,NYCW_to_PJME,2030,26z-short-base-200_d365_h24_8760,MW,4632
USENSYS,NYUP_to_PJME,2030,26z-short-base-200_d365_h24_8760,MW,4072
USENSYS,PJMC_to_PJMW,2030,26z-short-base-200_d365_h24_8760,MW,10000
USENSYS,PJMD_to_PJME,2030,26z-short-base-200_d365_h24_8760,MW,3906
USENSYS,PJME_to_PJMW,2030,26z-short-base-200_d365_h24_8760,MW,5313
USENSYS,RMRG_to_SPPC,2030,26z-short-base-200_d365_h24_8760,MW,8449
USENSYS,RMRG_to_SPPN,2030,26z-short-base-200_d365_h24_8760,MW,3425
USENSYS,RMRG_to_SRSG,2030,26z-short-base-200_d365_h24_8760,MW,1496
USENSYS,SPPC_to_SPPN,2030,26z-short-base-200_d365_h24_8760,MW,2276
USENSYS,SPPS_to_SRSG,2030,26z-short-base-200_d365_h24_8760,MW,8224
USENSYS,SPPS_to_TRE,2030,26z-short-base-200_d365_h24_8760,MW,10000
