model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_batteries_1,Battery,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,623438
USENSYS,BASN,BASN_batteries_1,Battery,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,769341
USENSYS,BASN,BASN_batteries_1,Battery,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,683061
USENSYS,BASN,BASN_battery_moderate_0,Battery,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,8099029
USENSYS,BASN,BASN_biomass_1,Biomass,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,90352
USENSYS,BASN,BASN_biomass_1,Biomass,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,61530
USENSYS,BASN,BASN_biomass_1,Biomass,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,41525
USENSYS,BASN,BASN_biomass_2,Biomass,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,46029
USENSYS,BASN,BASN_biomass_2,Biomass,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,40480
USENSYS,BASN,BASN_biomass_2,Biomass,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,28182
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,8749559
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,6047842
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,5040027
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2677
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,3923
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,150149
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,57299
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,3882200
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4555160
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4564013
USENSYS,BASN,BASN_geothermal_1,Geothermal,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,3793080
USENSYS,BASN,BASN_geothermal_1,Geothermal,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2514120
USENSYS,BASN,BASN_geothermal_1,Geothermal,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,490560
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,10493516
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,10493516
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,10493516
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,32043743
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,32043743
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,32043743
USENSYS,BASN,BASN_landbasedwind_class3_moderate_10,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,17984581
USENSYS,BASN,BASN_landbasedwind_class3_moderate_13,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,5084078
USENSYS,BASN,BASN_landbasedwind_class3_moderate_13,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,5084078
USENSYS,BASN,BASN_landbasedwind_class3_moderate_13,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,5084078
USENSYS,BASN,BASN_landbasedwind_class3_moderate_17,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,3319309
USENSYS,BASN,BASN_landbasedwind_class3_moderate_17,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,3319309
USENSYS,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4447173
USENSYS,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4447173
USENSYS,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4447173
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,13768879
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,13768879
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,13768879
USENSYS,BASN,BASN_landbasedwind_class3_moderate_21,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4271236
USENSYS,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2776255
USENSYS,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2776255
USENSYS,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2776255
