model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_batteries_1,Battery,2030,26z-8760-no-ccs_d365_h24_8760,MWh,624549
USENSYS,BASN,BASN_batteries_1,Battery,2040,26z-8760-no-ccs_d365_h24_8760,MWh,738066
USENSYS,BASN,BASN_batteries_1,Battery,2050,26z-8760-no-ccs_d365_h24_8760,MWh,682268
USENSYS,BASN,BASN_battery_moderate_0,Battery,2040,26z-8760-no-ccs_d365_h24_8760,MWh,219038
USENSYS,BASN,BASN_battery_moderate_0,Battery,2050,26z-8760-no-ccs_d365_h24_8760,MWh,8275833
USENSYS,BASN,BASN_biomass_1,Biomass,2030,26z-8760-no-ccs_d365_h24_8760,MWh,84111
USENSYS,BASN,BASN_biomass_1,Biomass,2040,26z-8760-no-ccs_d365_h24_8760,MWh,60150
USENSYS,BASN,BASN_biomass_1,Biomass,2050,26z-8760-no-ccs_d365_h24_8760,MWh,41686
USENSYS,BASN,BASN_biomass_2,Biomass,2030,26z-8760-no-ccs_d365_h24_8760,MWh,43604
USENSYS,BASN,BASN_biomass_2,Biomass,2040,26z-8760-no-ccs_d365_h24_8760,MWh,39610
USENSYS,BASN,BASN_biomass_2,Biomass,2050,26z-8760-no-ccs_d365_h24_8760,MWh,28276
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,26z-8760-no-ccs_d365_h24_8760,MWh,8749549
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,26z-8760-no-ccs_d365_h24_8760,MWh,6047811
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,26z-8760-no-ccs_d365_h24_8760,MWh,5040068
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2040,26z-8760-no-ccs_d365_h24_8760,MWh,2507
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2050,26z-8760-no-ccs_d365_h24_8760,MWh,3921
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2040,26z-8760-no-ccs_d365_h24_8760,MWh,142205
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2050,26z-8760-no-ccs_d365_h24_8760,MWh,57384
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2030,26z-8760-no-ccs_d365_h24_8760,MWh,3882200
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2040,26z-8760-no-ccs_d365_h24_8760,MWh,4555160
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2050,26z-8760-no-ccs_d365_h24_8760,MWh,4564013
USENSYS,BASN,BASN_geothermal_1,Geothermal,2030,26z-8760-no-ccs_d365_h24_8760,MWh,3793080
USENSYS,BASN,BASN_geothermal_1,Geothermal,2040,26z-8760-no-ccs_d365_h24_8760,MWh,2514120
USENSYS,BASN,BASN_geothermal_1,Geothermal,2050,26z-8760-no-ccs_d365_h24_8760,MWh,490560
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,26z-8760-no-ccs_d365_h24_8760,MWh,10493516
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,10493516
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,10493516
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,26z-8760-no-ccs_d365_h24_8760,MWh,32043743
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,32043743
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,32043743
USENSYS,BASN,BASN_landbasedwind_class3_moderate_10,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,15714700
USENSYS,BASN,BASN_landbasedwind_class3_moderate_13,Wind,2030,26z-8760-no-ccs_d365_h24_8760,MWh,5084078
USENSYS,BASN,BASN_landbasedwind_class3_moderate_13,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,5084078
USENSYS,BASN,BASN_landbasedwind_class3_moderate_13,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,5084078
USENSYS,BASN,BASN_landbasedwind_class3_moderate_17,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,3319309
USENSYS,BASN,BASN_landbasedwind_class3_moderate_17,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,3319309
USENSYS,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2030,26z-8760-no-ccs_d365_h24_8760,MWh,4447173
USENSYS,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,4447173
USENSYS,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,4447173
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,26z-8760-no-ccs_d365_h24_8760,MWh,13768879
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,13768879
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,13768879
USENSYS,BASN,BASN_landbasedwind_class3_moderate_21,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,4271236
USENSYS,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2030,26z-8760-no-ccs_d365_h24_8760,MWh,2776255
USENSYS,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,2776255
USENSYS,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,2776255
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2030,26z-8760-no-ccs_d365_h24_8760,MWh,4520167
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,4520167
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,4520167
USENSYS,BASN,BASN_landbasedwind_class3_moderate_4,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,16722366
USENSYS,BASN,BASN_landbasedwind_class3_moderate_4,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,16722366
USENSYS,BASN,BASN_landbasedwind_class3_moderate_5,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,22051256
USENSYS,BASN,BASN_landbasedwind_class3_moderate_5,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,22051256
USENSYS,BASN,BASN_landbasedwind_class3_moderate_6,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,11630855
USENSYS,BASN,BASN_landbasedwind_class3_moderate_6,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,11630855
USENSYS,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2030,26z-8760-no-ccs_d365_h24_8760,MWh,4053619
USENSYS,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,4053619
USENSYS,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,4053619
USENSYS,BASN,BASN_landbasedwind_class3_moderate_8,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,19171186
USENSYS,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2030,26z-8760-no-ccs_d365_h24_8760,MWh,2511579
USENSYS,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2040,26z-8760-no-ccs_d365_h24_8760,MWh,2511579
USENSYS,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2050,26z-8760-no-ccs_d365_h24_8760,MWh,2511579
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760,MWh,93912
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760,MWh,214055
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760,MWh,136244
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760,MWh,6696147
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760,MWh,8282547
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760,MWh,5464826
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760,MWh,1884
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760,MWh,333460
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760,MWh,239788
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760,MWh,1888
