model,zone,fuel,planning_year,case,unit,value
USENSYS,MISC,east_north_central_coal,2030,26z-debug-foresight,MMBtu,630
USENSYS,MISC,east_north_central_coal,2040,26z-debug-foresight,MMBtu,457
USENSYS,MISC,east_north_central_coal,2050,26z-debug-foresight,MMBtu,-93
USENSYS,MISE,east_north_central_coal,2030,26z-debug-foresight,MMBtu,629
USENSYS,MISE,east_north_central_coal,2040,26z-debug-foresight,MMBtu,482
USENSYS,MISE,east_north_central_coal,2050,26z-debug-foresight,MMBtu,-104
USENSYS,MISW,east_north_central_coal,2030,26z-debug-foresight,MMBtu,5693
USENSYS,MISW,east_north_central_coal,2040,26z-debug-foresight,MMBtu,33938
USENSYS,MISW,east_north_central_coal,2050,26z-debug-foresight,MMBtu,-201
USENSYS,PJMC,east_north_central_coal,2030,26z-debug-foresight,MMBtu,300
USENSYS,PJMC,east_north_central_coal,2040,26z-debug-foresight,MMBtu,222
USENSYS,PJMC,east_north_central_coal,2050,26z-debug-foresight,MMBtu,-55
USENSYS,PJMW,east_north_central_coal,2030,26z-debug-foresight,MMBtu,847
USENSYS,PJMW,east_north_central_coal,2040,26z-debug-foresight,MMBtu,693
USENSYS,PJMW,east_north_central_coal,2050,26z-debug-foresight,MMBtu,-167
USENSYS,MISC,east_north_central_distillate,2030,26z-debug-foresight,MMBtu,122
USENSYS,MISC,east_north_central_distillate,2040,26z-debug-foresight,MMBtu,142
USENSYS,MISC,east_north_central_distillate,2050,26z-debug-foresight,MMBtu,-44
USENSYS,MISE,east_north_central_distillate,2030,26z-debug-foresight,MMBtu,131
USENSYS,MISE,east_north_central_distillate,2040,26z-debug-foresight,MMBtu,153
USENSYS,MISE,east_north_central_distillate,2050,26z-debug-foresight,MMBtu,-50
USENSYS,MISW,east_north_central_distillate,2030,26z-debug-foresight,MMBtu,122
USENSYS,MISW,east_north_central_distillate,2040,26z-debug-foresight,MMBtu,142
USENSYS,MISW,east_north_central_distillate,2050,26z-debug-foresight,MMBtu,-51
USENSYS,PJMC,east_north_central_distillate,2030,26z-debug-foresight,MMBtu,132
USENSYS,PJMC,east_north_central_distillate,2040,26z-debug-foresight,MMBtu,148
USENSYS,PJMC,east_north_central_distillate,2050,26z-debug-foresight,MMBtu,-48
USENSYS,PJMW,east_north_central_distillate,2030,26z-debug-foresight,MMBtu,141
USENSYS,PJMW,east_north_central_distillate,2040,26z-debug-foresight,MMBtu,159
USENSYS,PJMW,east_north_central_distillate,2050,26z-debug-foresight,MMBtu,-44
USENSYS,MISC,east_north_central_naturalgas,2030,26z-debug-foresight,MMBtu,70907776
USENSYS,MISC,east_north_central_naturalgas,2040,26z-debug-foresight,MMBtu,40558369
USENSYS,MISC,east_north_central_naturalgas,2050,26z-debug-foresight,MMBtu,-268
USENSYS,MISE,east_north_central_naturalgas,2030,26z-debug-foresight,MMBtu,89483131
USENSYS,MISE,east_north_central_naturalgas,2040,26z-debug-foresight,MMBtu,37835972
USENSYS,MISE,east_north_central_naturalgas,2050,26z-debug-foresight,MMBtu,-460
USENSYS,MISW,east_north_central_naturalgas,2030,26z-debug-foresight,MMBtu,137522834
USENSYS,MISW,east_north_central_naturalgas,2040,26z-debug-foresight,MMBtu,79086894
