hour,zone,planning_year,model,case,value
89,ISNE,2030,USENSYS,26z-debug-foresight,2342.2
90,ISNE,2030,USENSYS,26z-debug-foresight,5527.9
91,ISNE,2030,USENSYS,26z-debug-foresight,3129.8
92,ISNE,2030,USENSYS,26z-debug-foresight,1982.9
93,ISNE,2030,USENSYS,26z-debug-foresight,1228.8
89,ISNE,2040,USENSYS,26z-debug-foresight,10234.8
90,ISNE,2040,USENSYS,26z-debug-foresight,19048.4
91,ISNE,2040,USENSYS,26z-debug-foresight,4809.4
92,ISNE,2040,USENSYS,26z-debug-foresight,2335.4
93,ISNE,2040,USENSYS,26z-debug-foresight,1474.2
89,ISNE,2050,USENSYS,26z-debug-foresight,1148.8
90,ISNE,2050,USENSYS,26z-debug-foresight,1148.3
91,ISNE,2050,USENSYS,26z-debug-foresight,1148.7
92,ISNE,2050,USENSYS,26z-debug-foresight,1147.6
93,ISNE,2050,USENSYS,26z-debug-foresight,1146.6
94,ISNE,2050,USENSYS,26z-debug-foresight,717.2
7628,NWPP,2050,USENSYS,26z-debug-foresight,4461.6
7629,NWPP,2050,USENSYS,26z-debug-foresight,4466.9
7630,NWPP,2050,USENSYS,26z-debug-foresight,4464.8
7631,NWPP,2050,USENSYS,26z-debug-foresight,4457.7
7632,NWPP,2050,USENSYS,26z-debug-foresight,4428.9
7633,NWPP,2050,USENSYS,26z-debug-foresight,1134.7
88,NYCW,2050,USENSYS,26z-debug-foresight,484.8
89,NYCW,2050,USENSYS,26z-debug-foresight,490.5
90,NYCW,2050,USENSYS,26z-debug-foresight,491
91,NYCW,2050,USENSYS,26z-debug-foresight,490.6
92,NYCW,2050,USENSYS,26z-debug-foresight,489
93,NYCW,2050,USENSYS,26z-debug-foresight,488.5
94,NYCW,2050,USENSYS,26z-debug-foresight,483.9
