model,zone,resource_name,tech_type,unit,planning_year,case,start_value,end_value
USENSYS,BASN,BASN_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug-foresight,1,118
USENSYS,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,118,8645
USENSYS,BASN,BASN_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,7813
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,5875
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-foresight,0,2855
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-foresight,0,3533
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug-foresight,3534,28310
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3,Wind,MW,2050,26z-debug-foresight,0,77
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2030,26z-debug-foresight,0,1461
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug-foresight,1461,13855
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-foresight,13855,34323
USENSYS,BASN,BASN_utilitypv_class1_moderate_4,Solar,MW,2050,26z-debug-foresight,0,1
USENSYS,CANO,CANO_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,CANO,CANO_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,3093
USENSYS,CANO,CANO_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,2
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug-foresight,0,2163
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug-foresight,2163,23728
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-foresight,23727,24376
USENSYS,CANO,CANO_utilitypv_class1_moderate_3,Solar,MW,2050,26z-debug-foresight,0,24669
USENSYS,CANO,CANO_utilitypv_class1_moderate_5,Solar,MW,2050,26z-debug-foresight,0,11
USENSYS,CASO,CASO_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,CASO,CASO_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug-foresight,0,1198
USENSYS,CASO,CASO_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,1198,5871
USENSYS,CASO,CASO_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,97
USENSYS,CASO,CASO_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug-foresight,0,973
USENSYS,CASO,CASO_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug-foresight,0,14549
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug-foresight,0,15057
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug-foresight,15056,20949
