model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,BASN_to_RMRG,2040,26z-debug-foresight,MW,3750,4246
USENSYS,BASN_to_RMRG,2050,26z-debug-foresight,MW,4246,4305
USENSYS,CANO_to_NWPP,2030,26z-debug-foresight,MW,3675,4978
USENSYS,CASO_to_NWPP,2030,26z-debug-foresight,MW,2858,4191
USENSYS,CASO_to_SRSG,2040,26z-debug-foresight,MW,4354,11102
USENSYS,FRCC_to_SRSE,2030,26z-debug-foresight,MW,3600,5320
USENSYS,FRCC_to_SRSE,2040,26z-debug-foresight,MW,5320,7131
USENSYS,FRCC_to_SRSE,2050,26z-debug-foresight,MW,7131,7381
USENSYS,ISNE_to_NYCW,2040,26z-debug-foresight,MW,760,1578
USENSYS,ISNE_to_NYCW,2050,26z-debug-foresight,MW,1577,2048
USENSYS,ISNE_to_NYUP,2030,26z-debug-foresight,MW,1400,3083
USENSYS,ISNE_to_NYUP,2040,26z-debug-foresight,MW,3083,7791
USENSYS,ISNE_to_NYUP,2050,26z-debug-foresight,MW,7790,8272
USENSYS,MISC_to_MISE,2030,26z-debug-foresight,MW,0,3056
USENSYS,MISC_to_MISE,2040,26z-debug-foresight,MW,3056,4246
USENSYS,MISC_to_PJMW,2030,26z-debug-foresight,MW,5441,10570
USENSYS,MISC_to_PJMW,2040,26z-debug-foresight,MW,10570,20966
USENSYS,MISC_to_SPPC,2030,26z-debug-foresight,MW,1430,5937
USENSYS,MISC_to_SPPC,2040,26z-debug-foresight,MW,5937,12576
USENSYS,MISC_to_SPPN,2030,26z-debug-foresight,MW,0,5507
USENSYS,MISC_to_SPPN,2040,26z-debug-foresight,MW,5507,10000
USENSYS,MISC_to_SPPS,2030,26z-debug-foresight,MW,1172,9140
USENSYS,MISC_to_SPPS,2040,26z-debug-foresight,MW,9140,11720
USENSYS,MISE_to_MISW,2030,26z-debug-foresight,MW,0,2423
USENSYS,MISE_to_MISW,2040,26z-debug-foresight,MW,2423,3323
USENSYS,MISS_to_SPPC,2030,26z-debug-foresight,MW,0,6583
USENSYS,MISS_to_SPPC,2040,26z-debug-foresight,MW,6583,7641
USENSYS,MISS_to_SPPS,2030,26z-debug-foresight,MW,1697,16970
USENSYS,MISS_to_SRSE,2030,26z-debug-foresight,MW,891,10000
USENSYS,MISW_to_PJMC,2030,26z-debug-foresight,MW,3200,9112
USENSYS,MISW_to_PJMC,2040,26z-debug-foresight,MW,9111,10149
USENSYS,MISW_to_SPPC,2030,26z-debug-foresight,MW,0,1
USENSYS,MISW_to_SPPC,2040,26z-debug-foresight,MW,1,1175
USENSYS,NWPP_to_RMRG,2030,26z-debug-foresight,MW,400,1944
USENSYS,NWPP_to_RMRG,2050,26z-debug-foresight,MW,1944,2713
USENSYS,NWPP_to_SPPN,2030,26z-debug-foresight,MW,0,790
USENSYS,NYCW_to_NYUP,2030,26z-debug-foresight,MW,2489,3091
USENSYS,NYCW_to_NYUP,2050,26z-debug-foresight,MW,3091,3797
USENSYS,NYCW_to_PJME,2030,26z-debug-foresight,MW,660,6633
USENSYS,NYCW_to_PJME,2040,26z-debug-foresight,MW,6633,9961
USENSYS,NYCW_to_PJME,2050,26z-debug-foresight,MW,9961,10000
USENSYS,NYUP_to_PJME,2030,26z-debug-foresight,MW,1255,5569
USENSYS,NYUP_to_PJME,2040,26z-debug-foresight,MW,5568,7616
USENSYS,PJMC_to_PJMW,2030,26z-debug-foresight,MW,980,10000
USENSYS,PJMD_to_PJME,2030,26z-debug-foresight,MW,1200,6122
USENSYS,PJMD_to_PJME,2050,26z-debug-foresight,MW,6123,6366
USENSYS,PJMD_to_SRCA,2040,26z-debug-foresight,MW,1000,1764
USENSYS,PJMD_to_SRCA,2050,26z-debug-foresight,MW,1764,2098
USENSYS,PJME_to_PJMW,2030,26z-debug-foresight,MW,3885,5159
USENSYS,PJME_to_PJMW,2040,26z-debug-foresight,MW,5159,15437
USENSYS,PJMW_to_SRCE,2040,26z-debug-foresight,MW,3333,12051
USENSYS,RMRG_to_SPPC,2030,26z-debug-foresight,MW,210,10000
USENSYS,RMRG_to_SPPN,2030,26z-debug-foresight,MW,410,4560
USENSYS,RMRG_to_SPPN,2040,26z-debug-foresight,MW,4559,7082
USENSYS,RMRG_to_SRSG,2040,26z-debug-foresight,MW,614,4115
USENSYS,SPPC_to_SPPN,2040,26z-debug-foresight,MW,1433,7160
USENSYS,SPPC_to_SPPS,2040,26z-debug-foresight,MW,3372,6023
USENSYS,SPPN_to_SPPS,2030,26z-debug-foresight,MW,0,5338
USENSYS,SPPN_to_SPPS,2040,26z-debug-foresight,MW,5338,6574
USENSYS,SPPS_to_SRSG,2030,26z-debug-foresight,MW,1010,2847
USENSYS,SPPS_to_SRSG,2040,26z-debug-foresight,MW,2847,5892
USENSYS,SPPS_to_SRSG,2050,26z-debug-foresight,MW,5893,7168
USENSYS,SPPS_to_TRE,2030,26z-debug-foresight,MW,600,9710
USENSYS,SPPS_to_TRE,2040,26z-debug-foresight,MW,9710,10000
USENSYS,SPPS_to_TRE_WEST,2030,26z-debug-foresight,MW,220,5836
USENSYS,SPPS_to_TRE_WEST,2040,26z-debug-foresight,MW,5836,10000
USENSYS,SRCA_to_SRCE,2030,26z-debug-foresight,MW,216,615
USENSYS,SRCA_to_SRCE,2040,26z-debug-foresight,MW,616,4797
USENSYS,SRCE_to_SRSE,2040,26z-debug-foresight,MW,3196,4743
USENSYS,SRSG_to_TRE,2030,26z-debug-foresight,MW,0,2250
USENSYS,SRSG_to_TRE,2040,26z-debug-foresight,MW,2250,3374
USENSYS,SRSG_to_TRE,2050,26z-debug-foresight,MW,3374,3863
