name,comm,model,zone,planning_year,case,unit,value
vEmsFuelTot,CO2,USENSYS,BASN,2030,26z-debug-highCCScost,tons,2502143.45211244
vEmsFuelTot,CO2,USENSYS,BASN,2040,26z-debug-highCCScost,tons,2889184.89030669
vEmsFuelTot,CO2,USENSYS,BASN,2050,26z-debug-highCCScost,tons,2765774.31326891
vEmsFuelTot,CO2,USENSYS,CANO,2030,26z-debug-highCCScost,tons,454632.414331553
vEmsFuelTot,CO2,USENSYS,CANO,2040,26z-debug-highCCScost,tons,3579130.98391518
vEmsFuelTot,CO2,USENSYS,CANO,2050,26z-debug-highCCScost,tons,5030959.7463212
vEmsFuelTot,CO2,USENSYS,CASO,2030,26z-debug-highCCScost,tons,4328580.39563036
vEmsFuelTot,CO2,USENSYS,CASO,2040,26z-debug-highCCScost,tons,5687633.43302978
vEmsFuelTot,CO2,USENSYS,CASO,2050,26z-debug-highCCScost,tons,5023353.6686777
vEmsFuelTot,CO2,USENSYS,FRCC,2030,26z-debug-highCCScost,tons,16544313.3005291
vEmsFuelTot,CO2,USENSYS,FRCC,2040,26z-debug-highCCScost,tons,9307829.49318274
vEmsFuelTot,CO2,USENSYS,FRCC,2050,26z-debug-highCCScost,tons,6639049.743177
vEmsFuelTot,CO2,USENSYS,ISNE,2030,26z-debug-highCCScost,tons,7591283.9399849
vEmsFuelTot,CO2,USENSYS,ISNE,2040,26z-debug-highCCScost,tons,9836016.71854067
vEmsFuelTot,CO2,USENSYS,ISNE,2050,26z-debug-highCCScost,tons,8811775.65855715
vEmsFuelTot,CO2,USENSYS,MISC,2030,26z-debug-highCCScost,tons,3975138.45867299
vEmsFuelTot,CO2,USENSYS,MISC,2040,26z-debug-highCCScost,tons,3450100.28618215
vEmsFuelTot,CO2,USENSYS,MISC,2050,26z-debug-highCCScost,tons,3705929.61923888
vEmsFuelTot,CO2,USENSYS,MISE,2030,26z-debug-highCCScost,tons,4703514.64985841
vEmsFuelTot,CO2,USENSYS,MISE,2040,26z-debug-highCCScost,tons,3612953.35335433
vEmsFuelTot,CO2,USENSYS,MISE,2050,26z-debug-highCCScost,tons,3704237.5480875
vEmsFuelTot,CO2,USENSYS,MISS,2030,26z-debug-highCCScost,tons,13988932.2614664
vEmsFuelTot,CO2,USENSYS,MISS,2040,26z-debug-highCCScost,tons,10372465.0428151
