model,zone,planning_year,case,unit,value
USENSYS,BASN,2030,26z-debug-highCCScost,tons,2458781
USENSYS,BASN,2040,26z-debug-highCCScost,tons,3107138
USENSYS,BASN,2050,26z-debug-highCCScost,tons,2757221
USENSYS,CANO,2030,26z-debug-highCCScost,tons,432294
USENSYS,CANO,2040,26z-debug-highCCScost,tons,1218130
USENSYS,CANO,2050,26z-debug-highCCScost,tons,5126860
USENSYS,CASO,2030,26z-debug-highCCScost,tons,3779646
USENSYS,CASO,2040,26z-debug-highCCScost,tons,1730328
USENSYS,CASO,2050,26z-debug-highCCScost,tons,5082752
USENSYS,FRCC,2030,26z-debug-highCCScost,tons,18973915
USENSYS,FRCC,2040,26z-debug-highCCScost,tons,4503830
USENSYS,FRCC,2050,26z-debug-highCCScost,tons,7332564
USENSYS,ISNE,2030,26z-debug-highCCScost,tons,7506387
USENSYS,ISNE,2040,26z-debug-highCCScost,tons,10719398
USENSYS,ISNE,2050,26z-debug-highCCScost,tons,8909143
USENSYS,MISC,2030,26z-debug-highCCScost,tons,3873198
USENSYS,MISC,2040,26z-debug-highCCScost,tons,7157045
USENSYS,MISC,2050,26z-debug-highCCScost,tons,3729867
USENSYS,MISE,2030,26z-debug-highCCScost,tons,5045336
USENSYS,MISE,2040,26z-debug-highCCScost,tons,2887231
USENSYS,MISE,2050,26z-debug-highCCScost,tons,3773587
USENSYS,MISS,2030,26z-debug-highCCScost,tons,13458955
USENSYS,MISS,2040,26z-debug-highCCScost,tons,5225014
USENSYS,MISS,2050,26z-debug-highCCScost,tons,9961866
USENSYS,MISW,2030,26z-debug-highCCScost,tons,7589938
USENSYS,MISW,2040,26z-debug-highCCScost,tons,9128171
USENSYS,MISW,2050,26z-debug-highCCScost,tons,5405657
USENSYS,NWPP,2030,26z-debug-highCCScost,tons,1604
USENSYS,NWPP,2040,26z-debug-highCCScost,tons,6854310
USENSYS,NWPP,2050,26z-debug-highCCScost,tons,1999491
USENSYS,NYCW,2030,26z-debug-highCCScost,tons,2789861
USENSYS,NYCW,2040,26z-debug-highCCScost,tons,3233945
USENSYS,NYCW,2050,26z-debug-highCCScost,tons,2045932
USENSYS,NYUP,2030,26z-debug-highCCScost,tons,2046067
USENSYS,NYUP,2040,26z-debug-highCCScost,tons,4093385
USENSYS,NYUP,2050,26z-debug-highCCScost,tons,3119190
USENSYS,PJMC,2030,26z-debug-highCCScost,tons,5299447
USENSYS,PJMC,2040,26z-debug-highCCScost,tons,474838
USENSYS,PJMC,2050,26z-debug-highCCScost,tons,3833062
USENSYS,PJMD,2030,26z-debug-highCCScost,tons,2603984
USENSYS,PJMD,2040,26z-debug-highCCScost,tons,1073883
USENSYS,PJMD,2050,26z-debug-highCCScost,tons,2686519
USENSYS,PJME,2030,26z-debug-highCCScost,tons,32577381
USENSYS,PJME,2040,26z-debug-highCCScost,tons,17528204
USENSYS,PJME,2050,26z-debug-highCCScost,tons,22709141
USENSYS,PJMW,2030,26z-debug-highCCScost,tons,22914788
USENSYS,PJMW,2040,26z-debug-highCCScost,tons,9234334
USENSYS,PJMW,2050,26z-debug-highCCScost,tons,14967414
USENSYS,RMRG,2030,26z-debug-highCCScost,tons,432532
USENSYS,RMRG,2040,26z-debug-highCCScost,tons,704669
USENSYS,RMRG,2050,26z-debug-highCCScost,tons,702297
USENSYS,SPPC,2030,26z-debug-highCCScost,tons,656811
USENSYS,SPPC,2040,26z-debug-highCCScost,tons,827957
USENSYS,SPPC,2050,26z-debug-highCCScost,tons,687045
USENSYS,SPPN,2030,26z-debug-highCCScost,tons,223567
USENSYS,SPPN,2040,26z-debug-highCCScost,tons,1075941
USENSYS,SPPN,2050,26z-debug-highCCScost,tons,436495
USENSYS,SPPS,2030,26z-debug-highCCScost,tons,4970024
USENSYS,SPPS,2040,26z-debug-highCCScost,tons,2010693
USENSYS,SPPS,2050,26z-debug-highCCScost,tons,3762306
USENSYS,SRCA,2030,26z-debug-highCCScost,tons,8888519
USENSYS,SRCA,2040,26z-debug-highCCScost,tons,5054849
USENSYS,SRCA,2050,26z-debug-highCCScost,tons,5562726
USENSYS,SRCE,2030,26z-debug-highCCScost,tons,6047447
USENSYS,SRCE,2040,26z-debug-highCCScost,tons,6097860
USENSYS,SRCE,2050,26z-debug-highCCScost,tons,5008360
USENSYS,SRSE,2030,26z-debug-highCCScost,tons,13544433
USENSYS,SRSE,2040,26z-debug-highCCScost,tons,5882764
USENSYS,SRSE,2050,26z-debug-highCCScost,tons,9290119
USENSYS,SRSG,2030,26z-debug-highCCScost,tons,2407353
USENSYS,SRSG,2040,26z-debug-highCCScost,tons,4069894
USENSYS,SRSG,2050,26z-debug-highCCScost,tons,2792542
USENSYS,TRE,2030,26z-debug-highCCScost,tons,14723294
USENSYS,TRE,2040,26z-debug-highCCScost,tons,12046229
USENSYS,TRE,2050,26z-debug-highCCScost,tons,12744857
USENSYS,TRE_WEST,2030,26z-debug-highCCScost,tons,2757238
USENSYS,TRE_WEST,2040,26z-debug-highCCScost,tons,176264
USENSYS,TRE_WEST,2050,26z-debug-highCCScost,tons,1822804
