model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,BASN_to_CANO,2030,26z-debug-highCCScost,MW,100,101
USENSYS,BASN_to_CASO,2030,26z-debug-highCCScost,MW,5920,5921
USENSYS,BASN_to_SRSG,2030,26z-debug-highCCScost,MW,5385,5386
USENSYS,CANO_to_CASO,2030,26z-debug-highCCScost,MW,3675,3676
USENSYS,CASO_to_NWPP,2030,26z-debug-highCCScost,MW,2858,5813
USENSYS,CASO_to_SRSG,2030,26z-debug-highCCScost,MW,4354,4357
USENSYS,FRCC_to_SRSE,2030,26z-debug-highCCScost,MW,3600,4210
USENSYS,ISNE_to_NYCW,2030,26z-debug-highCCScost,MW,760,761
USENSYS,ISNE_to_NYUP,2030,26z-debug-highCCScost,MW,1400,2969
USENSYS,MISC_to_MISE,2030,26z-debug-highCCScost,MW,0,2923
USENSYS,MISC_to_MISS,2030,26z-debug-highCCScost,MW,1039,1040
USENSYS,MISC_to_MISW,2030,26z-debug-highCCScost,MW,1655,1657
USENSYS,MISC_to_PJMC,2030,26z-debug-highCCScost,MW,5244,5246
USENSYS,MISC_to_PJMW,2030,26z-debug-highCCScost,MW,5441,8313
USENSYS,MISC_to_SPPC,2030,26z-debug-highCCScost,MW,1430,6599
USENSYS,MISC_to_SPPN,2030,26z-debug-highCCScost,MW,0,3511
USENSYS,MISC_to_SPPS,2030,26z-debug-highCCScost,MW,1172,7038
USENSYS,MISC_to_SRCE,2030,26z-debug-highCCScost,MW,3745,3746
USENSYS,MISE_to_MISW,2030,26z-debug-highCCScost,MW,0,2030
USENSYS,MISE_to_PJMW,2030,26z-debug-highCCScost,MW,2662,2664
USENSYS,MISS_to_SPPC,2030,26z-debug-highCCScost,MW,0,4812
USENSYS,MISS_to_SPPS,2030,26z-debug-highCCScost,MW,1697,16970
USENSYS,MISS_to_SRSE,2030,26z-debug-highCCScost,MW,891,8334
USENSYS,MISW_to_NWPP,2030,26z-debug-highCCScost,MW,200,201
USENSYS,MISW_to_PJMC,2030,26z-debug-highCCScost,MW,3200,7121
USENSYS,MISW_to_SPPC,2030,26z-debug-highCCScost,MW,0,28
USENSYS,NWPP_to_RMRG,2030,26z-debug-highCCScost,MW,400,1397
USENSYS,NWPP_to_SPPN,2030,26z-debug-highCCScost,MW,0,712
USENSYS,NYCW_to_NYUP,2030,26z-debug-highCCScost,MW,2489,3553
USENSYS,NYCW_to_PJME,2030,26z-debug-highCCScost,MW,660,6119
USENSYS,NYUP_to_PJME,2030,26z-debug-highCCScost,MW,1255,5112
USENSYS,PJMC_to_PJMW,2030,26z-debug-highCCScost,MW,980,10000
USENSYS,PJMD_to_PJME,2030,26z-debug-highCCScost,MW,1200,6274
USENSYS,PJMD_to_PJMW,2030,26z-debug-highCCScost,MW,6930,6931
USENSYS,PJMD_to_SRCA,2030,26z-debug-highCCScost,MW,1000,1001
USENSYS,PJME_to_PJMW,2030,26z-debug-highCCScost,MW,3885,4087
USENSYS,PJMW_to_SRCE,2030,26z-debug-highCCScost,MW,3333,3406
USENSYS,RMRG_to_SPPC,2030,26z-debug-highCCScost,MW,210,9992
USENSYS,RMRG_to_SPPN,2030,26z-debug-highCCScost,MW,410,4082
USENSYS,RMRG_to_SRSG,2030,26z-debug-highCCScost,MW,614,620
USENSYS,SPPC_to_SPPN,2030,26z-debug-highCCScost,MW,1433,1450
USENSYS,SPPC_to_SPPS,2030,26z-debug-highCCScost,MW,3372,3384
USENSYS,SPPN_to_SPPS,2030,26z-debug-highCCScost,MW,0,4930
USENSYS,SPPS_to_SRSG,2030,26z-debug-highCCScost,MW,1010,2668
USENSYS,SPPS_to_TRE,2030,26z-debug-highCCScost,MW,600,8431
USENSYS,SPPS_to_TRE_WEST,2030,26z-debug-highCCScost,MW,220,5647
USENSYS,SRCA_to_SRCE,2030,26z-debug-highCCScost,MW,216,247
USENSYS,SRCE_to_SRSE,2030,26z-debug-highCCScost,MW,3196,3197
USENSYS,SRSG_to_TRE,2030,26z-debug-highCCScost,MW,0,1989
USENSYS,BASN_to_CANO,2040,26z-debug-highCCScost,MW,100,118
USENSYS,BASN_to_CASO,2040,26z-debug-highCCScost,MW,5920,5923
USENSYS,BASN_to_NWPP,2040,26z-debug-highCCScost,MW,3350,3351
