model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_batteries_1,Battery,2030,26z-debug-noCO2Cap,MWh,8171980
USENSYS,BASN,BASN_batteries_1,Battery,2040,26z-debug-noCO2Cap,MWh,6969662
USENSYS,BASN,BASN_batteries_1,Battery,2050,26z-debug-noCO2Cap,MWh,7325126
USENSYS,BASN,BASN_battery_moderate_0,Battery,2040,26z-debug-noCO2Cap,MWh,9280
USENSYS,BASN,BASN_battery_moderate_0,Battery,2050,26z-debug-noCO2Cap,MWh,29102080
USENSYS,BASN,BASN_biomass_1,Biomass,2030,26z-debug-noCO2Cap,MWh,166268
USENSYS,BASN,BASN_biomass_1,Biomass,2040,26z-debug-noCO2Cap,MWh,111958
USENSYS,BASN,BASN_biomass_1,Biomass,2050,26z-debug-noCO2Cap,MWh,70400
USENSYS,BASN,BASN_biomass_2,Biomass,2030,26z-debug-noCO2Cap,MWh,64235
USENSYS,BASN,BASN_biomass_2,Biomass,2040,26z-debug-noCO2Cap,MWh,60193
USENSYS,BASN,BASN_biomass_2,Biomass,2050,26z-debug-noCO2Cap,MWh,38871
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,26z-debug-noCO2Cap,MWh,22478160
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,26z-debug-noCO2Cap,MWh,15540240
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,26z-debug-noCO2Cap,MWh,12947280
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2030,26z-debug-noCO2Cap,MWh,25358518
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2040,26z-debug-noCO2Cap,MWh,14775494
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2050,26z-debug-noCO2Cap,MWh,347229
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2030,26z-debug-noCO2Cap,MWh,364738
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2040,26z-debug-noCO2Cap,MWh,344787
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2050,26z-debug-noCO2Cap,MWh,1523487
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2030,26z-debug-noCO2Cap,MWh,3882200
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2040,26z-debug-noCO2Cap,MWh,4555160
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2050,26z-debug-noCO2Cap,MWh,4564013
USENSYS,BASN,BASN_geothermal_1,Geothermal,2030,26z-debug-noCO2Cap,MWh,3793080
USENSYS,BASN,BASN_geothermal_1,Geothermal,2040,26z-debug-noCO2Cap,MWh,2514120
USENSYS,BASN,BASN_geothermal_1,Geothermal,2050,26z-debug-noCO2Cap,MWh,490560
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2040,26z-debug-noCO2Cap,MWh,21103462
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2050,26z-debug-noCO2Cap,MWh,21103462
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,26z-debug-noCO2Cap,MWh,12080836
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2040,26z-debug-noCO2Cap,MWh,12080843
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2050,26z-debug-noCO2Cap,MWh,12080860
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2040,26z-debug-noCO2Cap,MWh,52857702
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2050,26z-debug-noCO2Cap,MWh,93903609
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,26z-debug-noCO2Cap,MWh,13246383
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2040,26z-debug-noCO2Cap,MWh,19345843
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2050,26z-debug-noCO2Cap,MWh,10924304
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,26z-debug-noCO2Cap,MWh,13541
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2040,26z-debug-noCO2Cap,MWh,421298
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2050,26z-debug-noCO2Cap,MWh,265784
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,26z-debug-noCO2Cap,MWh,206626
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2050,26z-debug-noCO2Cap,MWh,147326
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2040,26z-debug-noCO2Cap,MWh,33304
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2050,26z-debug-noCO2Cap,MWh,20064
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2040,26z-debug-noCO2Cap,MWh,82497
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2050,26z-debug-noCO2Cap,MWh,59092
USENSYS,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,26z-debug-noCO2Cap,MWh,165
USENSYS,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2040,26z-debug-noCO2Cap,MWh,4745
USENSYS,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2050,26z-debug-noCO2Cap,MWh,2563
