model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,CANO_to_NWPP,2030,26z-debug-noCO2Cap,MW,3675,4441
USENSYS,CASO_to_NWPP,2030,26z-debug-noCO2Cap,MW,2858,3824
USENSYS,MISC_to_MISE,2050,26z-debug-noCO2Cap,MW,0,199
USENSYS,MISC_to_SPPC,2050,26z-debug-noCO2Cap,MW,1430,4595
USENSYS,MISS_to_SPPC,2040,26z-debug-noCO2Cap,MW,0,3018
USENSYS,MISS_to_SPPS,2050,26z-debug-noCO2Cap,MW,1697,5489
USENSYS,MISS_to_SRSE,2050,26z-debug-noCO2Cap,MW,891,3690
USENSYS,NYCW_to_PJME,2030,26z-debug-noCO2Cap,MW,660,5600
USENSYS,PJMC_to_PJMW,2040,26z-debug-noCO2Cap,MW,980,1724
USENSYS,PJMC_to_PJMW,2050,26z-debug-noCO2Cap,MW,1724,2835
USENSYS,PJMD_to_PJME,2030,26z-debug-noCO2Cap,MW,1200,1209
USENSYS,PJMD_to_PJME,2040,26z-debug-noCO2Cap,MW,1208,8778
USENSYS,PJMD_to_PJME,2050,26z-debug-noCO2Cap,MW,8778,11098
USENSYS,PJMD_to_SRCA,2050,26z-debug-noCO2Cap,MW,1000,2077
USENSYS,RMRG_to_SPPC,2040,26z-debug-noCO2Cap,MW,210,2730
USENSYS,RMRG_to_SPPC,2050,26z-debug-noCO2Cap,MW,2729,6025
USENSYS,RMRG_to_SPPN,2030,26z-debug-noCO2Cap,MW,410,1074
USENSYS,RMRG_to_SPPN,2040,26z-debug-noCO2Cap,MW,1075,4104
USENSYS,RMRG_to_SPPN,2050,26z-debug-noCO2Cap,MW,4103,5773
USENSYS,RMRG_to_SRSG,2040,26z-debug-noCO2Cap,MW,614,1356
USENSYS,SPPC_to_SPPN,2030,26z-debug-noCO2Cap,MW,1433,2137
USENSYS,SPPN_to_SPPS,2040,26z-debug-noCO2Cap,MW,0,1691
USENSYS,SPPN_to_SPPS,2050,26z-debug-noCO2Cap,MW,1691,2048
USENSYS,SPPS_to_SRSG,2040,26z-debug-noCO2Cap,MW,1010,2549
USENSYS,SPPS_to_SRSG,2050,26z-debug-noCO2Cap,MW,2549,6917
USENSYS,SPPS_to_TRE,2040,26z-debug-noCO2Cap,MW,600,1787
USENSYS,SPPS_to_TRE,2050,26z-debug-noCO2Cap,MW,1786,2092
USENSYS,SPPS_to_TRE_WEST,2040,26z-debug-noCO2Cap,MW,220,2218
USENSYS,SPPS_to_TRE_WEST,2050,26z-debug-noCO2Cap,MW,2218,4350
USENSYS,SRCA_to_SRCE,2050,26z-debug-noCO2Cap,MW,216,1740
USENSYS,SRSG_to_TRE,2040,26z-debug-noCO2Cap,MW,0,1153
