model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_batteries_1,Battery,2030,26z-debug,MWh,8274698
USENSYS,BASN,BASN_batteries_1,Battery,2040,26z-debug,MWh,8425100
USENSYS,BASN,BASN_batteries_1,Battery,2050,26z-debug,MWh,9405990
USENSYS,BASN,BASN_battery_moderate_0,Battery,2030,26z-debug,MWh,8064
USENSYS,BASN,BASN_battery_moderate_0,Battery,2040,26z-debug,MWh,53125319
USENSYS,BASN,BASN_battery_moderate_0,Battery,2050,26z-debug,MWh,148501220
USENSYS,BASN,BASN_biomass_1,Biomass,2030,26z-debug,MWh,78506
USENSYS,BASN,BASN_biomass_1,Biomass,2040,26z-debug,MWh,50771
USENSYS,BASN,BASN_biomass_1,Biomass,2050,26z-debug,MWh,33572
USENSYS,BASN,BASN_biomass_2,Biomass,2030,26z-debug,MWh,40729
USENSYS,BASN,BASN_biomass_2,Biomass,2040,26z-debug,MWh,33540
USENSYS,BASN,BASN_biomass_2,Biomass,2050,26z-debug,MWh,22586
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,26z-debug,MWh,22478160
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,26z-debug,MWh,15540240
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,26z-debug,MWh,12947280
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2030,26z-debug,MWh,3882200
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2040,26z-debug,MWh,4555160
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2050,26z-debug,MWh,4564013
USENSYS,BASN,BASN_geothermal_1,Geothermal,2030,26z-debug,MWh,3793080
USENSYS,BASN,BASN_geothermal_1,Geothermal,2040,26z-debug,MWh,2514120
USENSYS,BASN,BASN_geothermal_1,Geothermal,2050,26z-debug,MWh,490560
USENSYS,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen,2050,26z-debug,MWh,8203978
USENSYS,BASN,BASN_hydrogen_ctavgcf_moderate_0,Hydrogen,2050,26z-debug,MWh,940079
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,26z-debug,MWh,21104537
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2040,26z-debug,MWh,21103992
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2050,26z-debug,MWh,21103462
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,26z-debug,MWh,12080874
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2040,26z-debug,MWh,12080860
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2050,26z-debug,MWh,12080911
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,26z-debug,MWh,9956185
