model,zone,planning_year,case,unit,value
GenX,BASN,2030,base_short_results_1000,tons,2.35648e+06
GenX,CANO,2030,base_short_results_1000,tons,7.69233e+06
GenX,CASO,2030,base_short_results_1000,tons,7.22722e+06
GenX,FRCC,2030,base_short_results_1000,tons,1.29659e+07
GenX,ISNE,2030,base_short_results_1000,tons,1.22773e+07
GenX,MISC,2030,base_short_results_1000,tons,3.39639e+06
GenX,MISE,2030,base_short_results_1000,tons,3.37683e+06
GenX,MISS,2030,base_short_results_1000,tons,1.37197e+07
GenX,MISW,2030,base_short_results_1000,tons,7.66443e+06
GenX,NWPP,2030,base_short_results_1000,tons,665895
GenX,NYCW,2030,base_short_results_1000,tons,1.91249e+06
GenX,NYUP,2030,base_short_results_1000,tons,2.83006e+06
GenX,PJMC,2030,base_short_results_1000,tons,5.64702e+06
GenX,PJMD,2030,base_short_results_1000,tons,5.73211e+06
GenX,PJME,2030,base_short_results_1000,tons,3.59336e+07
GenX,PJMW,2030,base_short_results_1000,tons,1.77519e+07
GenX,RMRG,2030,base_short_results_1000,tons,197241
GenX,SPPC,2030,base_short_results_1000,tons,458300
GenX,SPPN,2030,base_short_results_1000,tons,133075
GenX,SPPS,2030,base_short_results_1000,tons,4.43308e+06
GenX,SRCA,2030,base_short_results_1000,tons,6.41677e+06
GenX,SRCE,2030,base_short_results_1000,tons,6.97354e+06
GenX,SRSE,2030,base_short_results_1000,tons,1.27349e+07
GenX,SRSG,2030,base_short_results_1000,tons,2.28219e+06
GenX,TRE,2030,base_short_results_1000,tons,8.89117e+06
GenX,TRE_WEST,2030,base_short_results_1000,tons,2.33007e+06
