model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2030,base_short_results_1000,MW,100,100
GenX,2,BASN_to_CASO,2030,base_short_results_1000,MW,5920,5920
GenX,3,BASN_to_NWPP,2030,base_short_results_1000,MW,3350,3350
GenX,4,BASN_to_RMRG,2030,base_short_results_1000,MW,3750,4226.1
GenX,5,BASN_to_SRSG,2030,base_short_results_1000,MW,5385,5385
GenX,6,CANO_to_CASO,2030,base_short_results_1000,MW,3675,3675
GenX,7,CANO_to_NWPP,2030,base_short_results_1000,MW,3675,3675
GenX,8,CASO_to_NWPP,2030,base_short_results_1000,MW,2858,2858
GenX,9,CASO_to_SRSG,2030,base_short_results_1000,MW,4354,7429.58
GenX,10,FRCC_to_SRSE,2030,base_short_results_1000,MW,3600,3600
GenX,11,ISNE_to_NYCW,2030,base_short_results_1000,MW,760,760
GenX,12,ISNE_to_NYUP,2030,base_short_results_1000,MW,1400,2972.11
GenX,13,MISC_to_MISE,2030,base_short_results_1000,MW,0,4220.73
GenX,14,MISC_to_MISS,2030,base_short_results_1000,MW,1039,1039
GenX,15,MISC_to_MISW,2030,base_short_results_1000,MW,1655,1655
GenX,16,MISC_to_PJMC,2030,base_short_results_1000,MW,5244,5244
GenX,17,MISC_to_PJMW,2030,base_short_results_1000,MW,5441,12134.1
GenX,18,MISC_to_SPPC,2030,base_short_results_1000,MW,1430,6399.74
GenX,19,MISC_to_SPPN,2030,base_short_results_1000,MW,0,6319
GenX,20,MISC_to_SPPS,2030,base_short_results_1000,MW,1172,11151
GenX,21,MISC_to_SRCE,2030,base_short_results_1000,MW,3745,3745
GenX,22,MISE_to_MISW,2030,base_short_results_1000,MW,0,0.0162439
GenX,23,MISE_to_PJMW,2030,base_short_results_1000,MW,2662,2662
GenX,24,MISS_to_SPPC,2030,base_short_results_1000,MW,305.5,6602.4
GenX,25,MISS_to_SPPS,2030,base_short_results_1000,MW,1697,18667
GenX,26,MISS_to_SRCE,2030,base_short_results_1000,MW,4092,4092
GenX,27,MISS_to_SRSE,2030,base_short_results_1000,MW,891,10249.7
GenX,28,MISW_to_NWPP,2030,base_short_results_1000,MW,200,200
GenX,29,MISW_to_PJMC,2030,base_short_results_1000,MW,3200,4330.07
GenX,30,MISW_to_SPPC,2030,base_short_results_1000,MW,0,653.373
GenX,31,MISW_to_SPPN,2030,base_short_results_1000,MW,5512,5512
GenX,32,NWPP_to_RMRG,2030,base_short_results_1000,MW,400,3406.8
GenX,33,NYCW_to_NYUP,2030,base_short_results_1000,MW,2489,2879.96
GenX,34,NYCW_to_PJME,2030,base_short_results_1000,MW,660,7246.48
GenX,35,NYUP_to_PJME,2030,base_short_results_1000,MW,1255,2536.58
GenX,36,PJMC_to_PJMW,2030,base_short_results_1000,MW,980,3619.82
GenX,37,PJMD_to_PJME,2030,base_short_results_1000,MW,4056.8,9365.94
GenX,38,PJMD_to_PJMW,2030,base_short_results_1000,MW,6930,6930
GenX,39,PJMD_to_SRCA,2030,base_short_results_1000,MW,1000,1000
GenX,40,PJME_to_PJMW,2030,base_short_results_1000,MW,3885,5584.15
GenX,41,PJMW_to_SRCA,2030,base_short_results_1000,MW,1219,1219
GenX,42,PJMW_to_SRCE,2030,base_short_results_1000,MW,3333,3333
GenX,43,RMRG_to_SPPC,2030,base_short_results_1000,MW,236.1,10236.1
GenX,44,RMRG_to_SPPN,2030,base_short_results_1000,MW,4736.3,9455.7
GenX,45,RMRG_to_SRSG,2030,base_short_results_1000,MW,614,6012.01
GenX,46,SPPC_to_SPPN,2030,base_short_results_1000,MW,1433,2709.81
GenX,47,SPPC_to_SPPS,2030,base_short_results_1000,MW,3372,3372
GenX,48,SPPN_to_SPPS,2030,base_short_results_1000,MW,1492.6,6451.91
GenX,49,SPPS_to_SRSG,2030,base_short_results_1000,MW,3230.3,6772.08
GenX,50,SPPS_to_TRE,2030,base_short_results_1000,MW,600,10600
GenX,51,SPPS_to_TRE_WEST,2030,base_short_results_1000,MW,3576.9,13576.9
GenX,52,SRCA_to_SRCE,2030,base_short_results_1000,MW,216,216
GenX,53,SRCA_to_SRSE,2030,base_short_results_1000,MW,1400,1400
GenX,54,SRCE_to_SRSE,2030,base_short_results_1000,MW,3196,3196
GenX,55,TRE_to_TRE_WEST,2030,base_short_results_1000,MW,16529,16529
GenX,56,NWPP_to_SPPN,2030,base_short_results_1000,MW,0,0.0318477
GenX,57,SRSG_to_TRE,2030,base_short_results_1000,MW,3018.5,10389.1
