model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2030,base_short_results_1000,MW,4.41822e-05
GenX,2,BASN_to_CASO,2030,base_short_results_1000,MW,3.56095e-05
GenX,3,BASN_to_NWPP,2030,base_short_results_1000,MW,9.23983e-05
GenX,4,BASN_to_RMRG,2030,base_short_results_1000,MW,476.104
GenX,5,BASN_to_SRSG,2030,base_short_results_1000,MW,0.00048171
GenX,6,CANO_to_CASO,2030,base_short_results_1000,MW,0.000465665
GenX,7,CANO_to_NWPP,2030,base_short_results_1000,MW,1.58134e-05
GenX,8,CASO_to_NWPP,2030,base_short_results_1000,MW,7.34641e-07
GenX,9,CASO_to_SRSG,2030,base_short_results_1000,MW,3075.58
GenX,10,FRCC_to_SRSE,2030,base_short_results_1000,MW,4.01639e-05
GenX,11,ISNE_to_NYCW,2030,base_short_results_1000,MW,3.42872e-05
GenX,12,ISNE_to_NYUP,2030,base_short_results_1000,MW,1572.11
GenX,13,MISC_to_MISE,2030,base_short_results_1000,MW,4220.73
GenX,14,MISC_to_MISS,2030,base_short_results_1000,MW,5.93719e-05
GenX,15,MISC_to_MISW,2030,base_short_results_1000,MW,3.26906e-05
GenX,16,MISC_to_PJMC,2030,base_short_results_1000,MW,0.000202113
GenX,17,MISC_to_PJMW,2030,base_short_results_1000,MW,6693.05
GenX,18,MISC_to_SPPC,2030,base_short_results_1000,MW,4969.74
GenX,19,MISC_to_SPPN,2030,base_short_results_1000,MW,6319
GenX,20,MISC_to_SPPS,2030,base_short_results_1000,MW,9978.99
GenX,21,MISC_to_SRCE,2030,base_short_results_1000,MW,5.11738e-05
GenX,22,MISE_to_MISW,2030,base_short_results_1000,MW,0.0162439
GenX,23,MISE_to_PJMW,2030,base_short_results_1000,MW,4.4317e-05
GenX,24,MISS_to_SPPC,2030,base_short_results_1000,MW,6296.9
GenX,25,MISS_to_SPPS,2030,base_short_results_1000,MW,16970
GenX,26,MISS_to_SRCE,2030,base_short_results_1000,MW,0.000137137
GenX,27,MISS_to_SRSE,2030,base_short_results_1000,MW,9358.72
GenX,28,MISW_to_NWPP,2030,base_short_results_1000,MW,1.34766e-06
GenX,29,MISW_to_PJMC,2030,base_short_results_1000,MW,1130.07
GenX,30,MISW_to_SPPC,2030,base_short_results_1000,MW,653.373
GenX,31,MISW_to_SPPN,2030,base_short_results_1000,MW,1.92947e-05
GenX,32,NWPP_to_RMRG,2030,base_short_results_1000,MW,3006.8
GenX,33,NYCW_to_NYUP,2030,base_short_results_1000,MW,390.956
GenX,34,NYCW_to_PJME,2030,base_short_results_1000,MW,6586.48
GenX,35,NYUP_to_PJME,2030,base_short_results_1000,MW,1281.58
GenX,36,PJMC_to_PJMW,2030,base_short_results_1000,MW,2639.82
GenX,37,PJMD_to_PJME,2030,base_short_results_1000,MW,5309.14
GenX,38,PJMD_to_PJMW,2030,base_short_results_1000,MW,3.44083e-05
GenX,39,PJMD_to_SRCA,2030,base_short_results_1000,MW,4.85704e-05
GenX,40,PJME_to_PJMW,2030,base_short_results_1000,MW,1699.15
GenX,41,PJMW_to_SRCA,2030,base_short_results_1000,MW,4.51647e-06
GenX,42,PJMW_to_SRCE,2030,base_short_results_1000,MW,8.2313e-05
GenX,43,RMRG_to_SPPC,2030,base_short_results_1000,MW,10000
GenX,44,RMRG_to_SPPN,2030,base_short_results_1000,MW,4719.4
GenX,45,RMRG_to_SRSG,2030,base_short_results_1000,MW,5398.01
GenX,46,SPPC_to_SPPN,2030,base_short_results_1000,MW,1276.81
GenX,47,SPPC_to_SPPS,2030,base_short_results_1000,MW,0.000159005
GenX,48,SPPN_to_SPPS,2030,base_short_results_1000,MW,4959.31
GenX,49,SPPS_to_SRSG,2030,base_short_results_1000,MW,3541.78
GenX,50,SPPS_to_TRE,2030,base_short_results_1000,MW,10000
GenX,51,SPPS_to_TRE_WEST,2030,base_short_results_1000,MW,10000
GenX,52,SRCA_to_SRCE,2030,base_short_results_1000,MW,0.000375843
GenX,53,SRCA_to_SRSE,2030,base_short_results_1000,MW,4.56929e-05
GenX,54,SRCE_to_SRSE,2030,base_short_results_1000,MW,0.000108941
GenX,55,TRE_to_TRE_WEST,2030,base_short_results_1000,MW,0.000232224
GenX,56,NWPP_to_SPPN,2030,base_short_results_1000,MW,0.0318477
GenX,57,SRSG_to_TRE,2030,base_short_results_1000,MW,7370.64
