Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,85612.8000000023,9.8,1.0000000000000269
BASN_biomass_2,1,57657.5999999989,6.6,0.999999999999981
BASN_conventional_hydroelectric_1,1,4.641704907453889e6,1478.3,0.3594200703211813
BASN_conventional_steam_coal_1,1,159.3533288171108,51.0,0.0003576665607652598
BASN_conventional_steam_coal_2,1,174.80740356504785,677.2,2.9548146761431718e-5
BASN_geothermal_1,1,406778.983478785,56.5,0.8241332447542566
BASN_natural_gas_fired_combined_cycle_1,1,390.3798765047957,433.0,0.00010320171172055313
BASN_natural_gas_fired_combined_cycle_2,1,393761.75511183566,7113.9,0.006335970561705804
BASN_natural_gas_fired_combustion_turbine_1,1,271.88795437920186,1460.9,2.1303789034533277e-5
BASN_natural_gas_fired_combustion_turbine_2,1,188.81391684724142,236.2,9.150429575538664e-5
BASN_natural_gas_internal_combustion_engine_1,1,1235.1329168084114,203.5,0.000694762960467692
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,799475.7874290294,520.0,0.17599054914875434
BASN_petroleum_liquids_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,1.2527423999999883e6,143.4,0.9999999999999907
BASN_solar_photovoltaic_1,1,7.328640838369983e6,4274.2,0.19627092669233048
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,262953.60000000364,30.1,1.0000000000000138
CANO_biomass_2,2,235872.0,27.0,1.0
CANO_conventional_hydroelectric_1,2,1.3686508805826202e7,5619.5,0.27879333064259093
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,6.270276229518888e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,480.2368943163726,2491.5,2.2063885999778947e-5
CANO_natural_gas_fired_combined_cycle_2,2,494513.42144867714,8296.9,0.006822595164199048
CANO_natural_gas_fired_combustion_turbine_1,2,289.3575595276748,1945.4,1.702602614609581e-5
CANO_natural_gas_fired_combustion_turbine_2,2,266.7699390957949,1004.4,3.0403078457510725e-5
CANO_natural_gas_internal_combustion_engine_1,2,2430.1408473231772,433.9,0.0006411050087404661
CANO_natural_gas_steam_turbine_1,2,307.654261125767,2.9,0.012143735834508297
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,89679.46905846598,61.8,0.16610852733484252
CANO_petroleum_liquids_1,2,107.81460847466587,150.6,8.194831211985535e-5
CANO_small_hydroelectric_1,2,1.706140800000016e6,195.3,1.0000000000000093
CANO_solar_photovoltaic_1,2,4.0621165551726012e6,2501.9,0.18585309940876257
CASO_batteries_1,3,0.0,0.0,0.0
CASO_biomass_1,3,481353.5999999956,55.1,0.9999999999999908
CASO_biomass_2,3,27955.200000000477,3.2,1.000000000000017
CASO_conventional_hydroelectric_1,3,2.1062247869045963e6,919.0,0.2623472901775247
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,178517.0939287861,23.6,0.8658749589114307
CASO_hydroelectric_pumped_storage_1,3,3.918885758526557e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,27849.367233486406,1078.1,0.0029569478187492725
CASO_natural_gas_fired_combined_cycle_2,3,691509.9159845862,7458.1,0.010613474591613877
CASO_natural_gas_fired_combustion_turbine_1,3,271.4324083234107,1402.5,2.2153696656563264e-5
CASO_natural_gas_fired_combustion_turbine_2,3,356.96591827313995,3954.6,1.0332646365956559e-5
CASO_natural_gas_internal_combustion_engine_1,3,909.0865215875344,48.6,0.0021411955109068913
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.2947790831175866e6,416.1,0.3561929617459928
CASO_petroleum_liquids_1,3,53.95860190298161,3.3,0.00187169087520055
CASO_small_hydroelectric_1,3,624623.9999999999,71.5,0.9999999999999998
CASO_solar_photovoltaic_1,3,1.4080864532674136e7,6500.5,0.24795332263596898
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,37564.800000000425,4.3,1.0000000000000115
FRCC_biomass_2,4,687523.1999999845,78.7,0.9999999999999774
FRCC_conventional_hydroelectric_1,4,103065.85598245687,43.5,0.2712145172373186
FRCC_conventional_steam_coal_1,4,169.45992974836886,453.0,4.2820939804126556e-5
FRCC_conventional_steam_coal_2,4,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,501.10148418597515,2256.7,2.5417874719028327e-5
FRCC_natural_gas_fired_combined_cycle_2,4,36481.14980946466,28737.0,0.00014531634454563634
FRCC_natural_gas_fired_combustion_turbine_1,4,17490.03600846841,6823.2,0.0002934201784219911
FRCC_natural_gas_fired_combustion_turbine_2,4,2583.9054260570824,133.4,0.0022172167917218263
FRCC_natural_gas_internal_combustion_engine_1,4,7493.558745420123,250.9,0.0034188089295295737
FRCC_natural_gas_steam_turbine_1,4,301.6709909882235,335.0,0.00010308040531826564
FRCC_nuclear_1,4,2.886442188592727e7,3737.0,0.8841524208810099
FRCC_petroleum_liquids_1,4,55.22730297253005,4.0,0.0015804516647358645
FRCC_solar_photovoltaic_1,4,8.706891659223817e6,5877.7,0.1695676882598257
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,0.0,0.0,0.0
ISNE_biomass_2,5,272563.2000000019,31.2,1.0000000000000069
ISNE_conventional_hydroelectric_1,5,1.518125207645393e6,464.8,0.3738770839946799
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,4.02299204529273e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,26474.19708037596,2660.6,0.0011390179950069772
ISNE_natural_gas_fired_combined_cycle_2,5,879343.8690798845,10499.0,0.009587341096412249
ISNE_natural_gas_fired_combustion_turbine_1,5,4435.939726562051,373.5,0.001359509995587371
ISNE_natural_gas_fired_combustion_turbine_2,5,18737.068762248608,1315.9,0.0016299194351315676
ISNE_natural_gas_internal_combustion_engine_1,5,3393.361698428556,52.4,0.0074128675639552315
ISNE_natural_gas_steam_turbine_1,5,387.0753192963452,10.2,0.004343928653311352
ISNE_nuclear_1,5,2.111759453773616e7,3348.1,0.7219936880763875
ISNE_offshore_wind_turbine_1,5,0.0,0.0,0.0
ISNE_onshore_wind_turbine_1,5,41880.493245827296,39.8,0.12045257550868843
ISNE_petroleum_liquids_1,5,930.1595755886988,392.4,0.0002713412599196719
ISNE_small_hydroelectric_1,5,1.7314751999999792e6,198.2,0.9999999999999881
ISNE_solar_photovoltaic_1,5,1.3349630233213557e6,1159.8,0.13175694204821334
MISC_batteries_1,6,0.0,0.0,0.0
MISC_biomass_1,6,458640.0,52.5,1.0
MISC_biomass_2,6,10483.200000000146,1.2,1.000000000000014
MISC_conventional_hydroelectric_1,6,780872.5619427472,276.6,0.3231583349981175
MISC_conventional_steam_coal_1,6,191.1328905460571,2502.4,8.74311258929784e-6
MISC_conventional_steam_coal_2,6,167.9437281835709,196.0,9.8083305407352e-5
MISC_hydroelectric_pumped_storage_1,6,1.1134270549547656e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,33030.50133711806,537.0,0.007040901267965017
