model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2030,base-short-myopic-1000,all,MWh,756747.1955839809
GenX,BASN,BASN_biomass_1,Other,2030,base-short-myopic-1000,all,MWh,162489.59999999913
GenX,BASN,BASN_biomass_2,Other,2030,base-short-myopic-1000,all,MWh,87360.0
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,8045728.381166595
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2030,base-short-myopic-1000,all,MWh,193.9287963136157
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2030,base-short-myopic-1000,all,MWh,416.1440275961494
GenX,BASN,BASN_geothermal_1,Geothermal,2030,base-short-myopic-1000,all,MWh,3163023.722202115
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,30250.30867900551
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,6564859.276369067
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,558.8590451686165
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,450.32731106330033
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,6213.727346432866
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,276.0614033432508
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base-short-myopic-1000,all,MWh,3253572.000626182
GenX,BASN,BASN_petroleum_liquids_1,Other,2030,base-short-myopic-1000,all,MWh,48.00237588397051
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,1547145.600000027
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2030,base-short-myopic-1000,all,MWh,16355928.727839105
GenX,CANO,CANO_batteries_1,Battery,2030,base-short-myopic-1000,all,MWh,3320709.858735788
GenX,CANO,CANO_biomass_1,Other,2030,base-short-myopic-1000,all,MWh,1172371.2000000067
GenX,CANO,CANO_biomass_2,Other,2030,base-short-myopic-1000,all,MWh,667430.399999993
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,17842537.939015795
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-1000,all,MWh,4908913.508062644
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,51990.5355913322
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,19571718.29140281
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,659.644824102138
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,686.0079057437486
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,868.6588774613342
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,352.11524668952444
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2030,base-short-myopic-1000,all,MWh,2748733.9429146275
GenX,CANO,CANO_petroleum_liquids_1,Other,2030,base-short-myopic-1000,all,MWh,126.95107016048914
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,1882608.0
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2030,base-short-myopic-1000,all,MWh,13055955.684073754
GenX,CASO,CASO_batteries_1,Battery,2030,base-short-myopic-1000,all,MWh,10803797.22815663
GenX,CASO,CASO_biomass_1,Other,2030,base-short-myopic-1000,all,MWh,995030.4000000084
GenX,CASO,CASO_biomass_2,Other,2030,base-short-myopic-1000,all,MWh,137155.20000000123
GenX,CASO,CASO_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,2327905.837415981
GenX,CASO,CASO_geothermal_1,Geothermal,2030,base-short-myopic-1000,all,MWh,153087.25684406343
GenX,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-1000,all,MWh,3719884.805582311
GenX,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,45708.10682769474
GenX,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,17475875.84529864
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,688.4528692075199
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,1004.3525412822736
GenX,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,3005.5597487488053
GenX,CASO,CASO_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,395.6398856706903
GenX,CASO,CASO_onshore_wind_turbine_1,Wind,2030,base-short-myopic-1000,all,MWh,12761479.267712314
GenX,CASO,CASO_petroleum_liquids_1,Other,2030,base-short-myopic-1000,all,MWh,73.56678171995843
GenX,CASO,CASO_small_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,635980.8000000127
GenX,CASO,CASO_solar_photovoltaic_1,Solar,2030,base-short-myopic-1000,all,MWh,30221383.65983703
GenX,FRCC,FRCC_batteries_1,Battery,2030,base-short-myopic-1000,all,MWh,467036.6165394078
GenX,FRCC,FRCC_biomass_1,Other,2030,base-short-myopic-1000,all,MWh,470870.40000000654
GenX,FRCC,FRCC_biomass_2,Other,2030,base-short-myopic-1000,all,MWh,996777.5999999916
GenX,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,117877.89712781
GenX,FRCC,FRCC_conventional_steam_coal_1,Coal,2030,base-short-myopic-1000,all,MWh,446.0751720602109
GenX,FRCC,FRCC_conventional_steam_coal_2,Coal,2030,base-short-myopic-1000,all,MWh,340.00503071296475
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,1981.6999611588244
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,29577465.97559894
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,618.6217101171375
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,516.7150660480022
GenX,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,1115.4664660471642
GenX,FRCC,FRCC_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,569.0834614846498
GenX,FRCC,FRCC_nuclear_1,Nuclear,2030,base-short-myopic-1000,all,MWh,28726174.129271187
GenX,FRCC,FRCC_petroleum_liquids_1,Other,2030,base-short-myopic-1000,all,MWh,131.34103803375203
GenX,FRCC,FRCC_solar_photovoltaic_1,Solar,2030,base-short-myopic-1000,all,MWh,15284089.69230029
GenX,ISNE,ISNE_batteries_1,Battery,2030,base-short-myopic-1000,all,MWh,310709.2821648999
GenX,ISNE,ISNE_biomass_1,Other,2030,base-short-myopic-1000,all,MWh,409718.40000000666
GenX,ISNE,ISNE_biomass_2,Other,2030,base-short-myopic-1000,all,MWh,929510.4000000072
GenX,ISNE,ISNE_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,2045862.079573644
GenX,ISNE,ISNE_conventional_steam_coal_1,Coal,2030,base-short-myopic-1000,all,MWh,8649.857809100124
GenX,ISNE,ISNE_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-1000,all,MWh,3051947.788484886
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,775516.8619098635
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,14014072.227740351
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,37606.14792888321
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,133650.1734743324
GenX,ISNE,ISNE_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,9237.950522842624
GenX,ISNE,ISNE_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,4084.466992800638
GenX,ISNE,ISNE_nuclear_1,Nuclear,2030,base-short-myopic-1000,all,MWh,23321499.35004722
GenX,ISNE,ISNE_offshore_wind_turbine_1,Wind,2030,base-short-myopic-1000,all,MWh,229883.50461510735
GenX,ISNE,ISNE_onshore_wind_turbine_1,Wind,2030,base-short-myopic-1000,all,MWh,2023440.1490330335
GenX,ISNE,ISNE_petroleum_liquids_1,Other,2030,base-short-myopic-1000,all,MWh,12195.054277736304
GenX,ISNE,ISNE_small_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,2220691.2000000197
GenX,ISNE,ISNE_solar_photovoltaic_1,Solar,2030,base-short-myopic-1000,all,MWh,3809938.47280914
GenX,MISC,MISC_batteries_1,Battery,2030,base-short-myopic-1000,all,MWh,35390.619610800546
GenX,MISC,MISC_biomass_1,Other,2030,base-short-myopic-1000,all,MWh,672672.0
GenX,MISC,MISC_biomass_2,Other,2030,base-short-myopic-1000,all,MWh,20966.40000000044
GenX,MISC,MISC_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,1332392.5383379436
GenX,MISC,MISC_conventional_steam_coal_1,Coal,2030,base-short-myopic-1000,all,MWh,442.2149846711369
GenX,MISC,MISC_conventional_steam_coal_2,Coal,2030,base-short-myopic-1000,all,MWh,345.16790045929565
GenX,MISC,MISC_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-1000,all,MWh,1103532.8723908414
GenX,MISC,MISC_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,718987.583968217
GenX,MISC,MISC_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,6622360.640380052
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,14203.838779659023
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,625.6056789977824
GenX,MISC,MISC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,11106.887645483055
GenX,MISC,MISC_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,9915.11090929138
GenX,MISC,MISC_nuclear_1,Nuclear,2030,base-short-myopic-1000,all,MWh,14209241.957104295
GenX,MISC,MISC_onshore_wind_turbine_1,Wind,2030,base-short-myopic-1000,all,MWh,12636095.176915333
GenX,MISC,MISC_petroleum_liquids_1,Other,2030,base-short-myopic-1000,all,MWh,166.08134515918198
GenX,MISC,MISC_small_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,122304.0
GenX,MISC,MISC_solar_photovoltaic_1,Solar,2030,base-short-myopic-1000,all,MWh,6096244.4238805
GenX,MISE,MISE_batteries_1,Battery,2030,base-short-myopic-1000,all,MWh,1566.5729288849732
GenX,MISE,MISE_biomass_1,Other,2030,base-short-myopic-1000,all,MWh,531148.8000000019
GenX,MISE,MISE_biomass_2,Other,2030,base-short-myopic-1000,all,MWh,509308.7999999956
GenX,MISE,MISE_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,83109.09316436072
GenX,MISE,MISE_conventional_steam_coal_1,Coal,2030,base-short-myopic-1000,all,MWh,443.0103489500703
GenX,MISE,MISE_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-1000,all,MWh,4319801.598731336
GenX,MISE,MISE_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,5932350.4678668305
GenX,MISE,MISE_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,165237.18616100334
GenX,MISE,MISE_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,109114.8662371608
GenX,MISE,MISE_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,483.845566177502
GenX,MISE,MISE_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,420.453429351867
GenX,MISE,MISE_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,1975.7845812745456
GenX,MISE,MISE_nuclear_1,Nuclear,2030,base-short-myopic-1000,all,MWh,8375831.664367083
GenX,MISE,MISE_onshore_wind_turbine_1,Wind,2030,base-short-myopic-1000,all,MWh,7213563.498343573
GenX,MISE,MISE_petroleum_liquids_1,Other,2030,base-short-myopic-1000,all,MWh,121.08827540511923
GenX,MISE,MISE_small_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,105705.60000000164
GenX,MISE,MISE_solar_photovoltaic_1,Solar,2030,base-short-myopic-1000,all,MWh,1813908.1517921148
GenX,MISS,MISS_batteries_1,Battery,2030,base-short-myopic-1000,all,MWh,14467.002053240982
GenX,MISS,MISS_biomass_1,Other,2030,base-short-myopic-1000,all,MWh,50668.80000000083
GenX,MISS,MISS_biomass_2,Other,2030,base-short-myopic-1000,all,MWh,656073.6000000046
GenX,MISS,MISS_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,1267047.157545296
GenX,MISS,MISS_conventional_steam_coal_1,Coal,2030,base-short-myopic-1000,all,MWh,372.5196635981079
GenX,MISS,MISS_conventional_steam_coal_2,Coal,2030,base-short-myopic-1000,all,MWh,267.44252921715736
GenX,MISS,MISS_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,34734460.645299226
GenX,MISS,MISS_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,537.3522164106413
GenX,MISS,MISS_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,526.7201029062122
GenX,MISS,MISS_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,53423.879723560334
GenX,MISS,MISS_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,8264.467070234523
GenX,MISS,MISS_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,49923.84230597131
GenX,MISS,MISS_natural_gas_steam_turbine_2,Natural Gas,2030,base-short-myopic-1000,all,MWh,367.2952964868176
GenX,MISS,MISS_nuclear_1,Nuclear,2030,base-short-myopic-1000,all,MWh,34012205.1381766
GenX,MISS,MISS_onshore_wind_turbine_1,Wind,2030,base-short-myopic-1000,all,MWh,1460758.9016385018
GenX,MISS,MISS_petroleum_liquids_1,Other,2030,base-short-myopic-1000,all,MWh,88.23205228442363
GenX,MISS,MISS_small_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,22713.59999999957
GenX,MISS,MISS_solar_photovoltaic_1,Solar,2030,base-short-myopic-1000,all,MWh,3524389.098196158
GenX,MISW,MISW_batteries_1,Battery,2030,base-short-myopic-1000,all,MWh,38261.32226755302
GenX,MISW,MISW_biomass_1,Other,2030,base-short-myopic-1000,all,MWh,578323.1999999938
GenX,MISW,MISW_biomass_2,Other,2030,base-short-myopic-1000,all,MWh,122304.0
GenX,MISW,MISW_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-1000,all,MWh,250299.3258285056
GenX,MISW,MISW_conventional_steam_coal_1,Coal,2030,base-short-myopic-1000,all,MWh,2631.173128276874
GenX,MISW,MISW_conventional_steam_coal_2,Coal,2030,base-short-myopic-1000,all,MWh,100.98679581776636
GenX,MISW,MISW_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-1000,all,MWh,1083643.5127862308
