model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2030,base-short-myopic-1000,MW,100,100.127
GenX,2,BASN_to_CASO,2030,base-short-myopic-1000,MW,5920,5920.03
GenX,3,BASN_to_NWPP,2030,base-short-myopic-1000,MW,3350,3350.03
GenX,4,BASN_to_RMRG,2030,base-short-myopic-1000,MW,3750,4432.71
GenX,5,BASN_to_SRSG,2030,base-short-myopic-1000,MW,5385,5385
GenX,6,CANO_to_CASO,2030,base-short-myopic-1000,MW,3675,3675.08
GenX,7,CANO_to_NWPP,2030,base-short-myopic-1000,MW,3675,3675.13
GenX,8,CASO_to_NWPP,2030,base-short-myopic-1000,MW,2858,2858.09
GenX,9,CASO_to_SRSG,2030,base-short-myopic-1000,MW,4354,8011.79
GenX,10,FRCC_to_SRSE,2030,base-short-myopic-1000,MW,3600,3600.21
GenX,11,ISNE_to_NYCW,2030,base-short-myopic-1000,MW,760,777.314
GenX,12,ISNE_to_NYUP,2030,base-short-myopic-1000,MW,1400,3895.8
GenX,13,MISC_to_MISE,2030,base-short-myopic-1000,MW,0,4030.24
GenX,14,MISC_to_MISS,2030,base-short-myopic-1000,MW,1039,1039.1
GenX,15,MISC_to_MISW,2030,base-short-myopic-1000,MW,1655,1655.07
GenX,16,MISC_to_PJMC,2030,base-short-myopic-1000,MW,5244,5244.2
GenX,17,MISC_to_PJMW,2030,base-short-myopic-1000,MW,5441,11480.1
GenX,18,MISC_to_SPPC,2030,base-short-myopic-1000,MW,1430,5347.91
GenX,19,MISC_to_SPPN,2030,base-short-myopic-1000,MW,0,6194.47
GenX,20,MISC_to_SPPS,2030,base-short-myopic-1000,MW,1172,10831.1
GenX,21,MISC_to_SRCE,2030,base-short-myopic-1000,MW,3745,3745.27
GenX,22,MISE_to_MISW,2030,base-short-myopic-1000,MW,0,29.2216
GenX,23,MISE_to_PJMW,2030,base-short-myopic-1000,MW,2662,2662.21
GenX,24,MISS_to_SPPC,2030,base-short-myopic-1000,MW,0,5803.21
GenX,25,MISS_to_SPPS,2030,base-short-myopic-1000,MW,1697,18666.1
GenX,26,MISS_to_SRCE,2030,base-short-myopic-1000,MW,4092,4092.22
GenX,27,MISS_to_SRSE,2030,base-short-myopic-1000,MW,891,10189.7
GenX,28,MISW_to_NWPP,2030,base-short-myopic-1000,MW,200,200.101
GenX,29,MISW_to_PJMC,2030,base-short-myopic-1000,MW,3200,4249.09
GenX,30,MISW_to_SPPC,2030,base-short-myopic-1000,MW,0,182.605
GenX,31,MISW_to_SPPN,2030,base-short-myopic-1000,MW,5512,5512.02
GenX,32,NWPP_to_RMRG,2030,base-short-myopic-1000,MW,400,3802.98
GenX,33,NYCW_to_NYUP,2030,base-short-myopic-1000,MW,2489,3310.82
GenX,34,NYCW_to_PJME,2030,base-short-myopic-1000,MW,660,6635.24
GenX,35,NYUP_to_PJME,2030,base-short-myopic-1000,MW,1255,3064.45
GenX,36,PJMC_to_PJMW,2030,base-short-myopic-1000,MW,980,4999.96
GenX,37,PJMD_to_PJME,2030,base-short-myopic-1000,MW,1200,6175.96
GenX,38,PJMD_to_PJMW,2030,base-short-myopic-1000,MW,6930,6930
GenX,39,PJMD_to_SRCA,2030,base-short-myopic-1000,MW,1000,1000.27
GenX,40,PJME_to_PJMW,2030,base-short-myopic-1000,MW,3885,6806.13
GenX,41,PJMW_to_SRCA,2030,base-short-myopic-1000,MW,1219,1219.08
GenX,42,PJMW_to_SRCE,2030,base-short-myopic-1000,MW,3333,3333.24
GenX,43,RMRG_to_SPPC,2030,base-short-myopic-1000,MW,210,10207.5
GenX,44,RMRG_to_SPPN,2030,base-short-myopic-1000,MW,410,5015.31
GenX,45,RMRG_to_SRSG,2030,base-short-myopic-1000,MW,614,5485.46
GenX,46,SPPC_to_SPPN,2030,base-short-myopic-1000,MW,1433,2850.44
GenX,47,SPPC_to_SPPS,2030,base-short-myopic-1000,MW,3372,3372.91
GenX,48,SPPN_to_SPPS,2030,base-short-myopic-1000,MW,0,5147.4
GenX,49,SPPS_to_SRSG,2030,base-short-myopic-1000,MW,1010,3855.99
GenX,50,SPPS_to_TRE,2030,base-short-myopic-1000,MW,600,10598.3
GenX,51,SPPS_to_TRE_WEST,2030,base-short-myopic-1000,MW,220,10219.1
GenX,52,SRCA_to_SRCE,2030,base-short-myopic-1000,MW,216,216.694
GenX,53,SRCA_to_SRSE,2030,base-short-myopic-1000,MW,1400,1400.14
GenX,54,SRCE_to_SRSE,2030,base-short-myopic-1000,MW,3196,3196.28
GenX,55,TRE_to_TRE_WEST,2030,base-short-myopic-1000,MW,16529,16529.4
GenX,56,NWPP_to_SPPN,2030,base-short-myopic-1000,MW,0,49.2983
GenX,57,SRSG_to_TRE,2030,base-short-myopic-1000,MW,0,9085.14
GenX,1,BASN_to_CANO,2040,base-short-myopic-1000,MW,100.127,100.182
GenX,2,BASN_to_CASO,2040,base-short-myopic-1000,MW,5920.03,5920.04
GenX,3,BASN_to_NWPP,2040,base-short-myopic-1000,MW,3350.03,3350.04
GenX,4,BASN_to_RMRG,2040,base-short-myopic-1000,MW,4432.71,5000.91
GenX,5,BASN_to_SRSG,2040,base-short-myopic-1000,MW,5385,5385.02
GenX,6,CANO_to_CASO,2040,base-short-myopic-1000,MW,3675.08,3675.2
GenX,7,CANO_to_NWPP,2040,base-short-myopic-1000,MW,3675.13,3675.14
GenX,8,CASO_to_NWPP,2040,base-short-myopic-1000,MW,2858.09,2858.14
GenX,9,CASO_to_SRSG,2040,base-short-myopic-1000,MW,8011.79,15665.9
GenX,10,FRCC_to_SRSE,2040,base-short-myopic-1000,MW,3600.21,5379.39
GenX,11,ISNE_to_NYCW,2040,base-short-myopic-1000,MW,777.314,1219.41
GenX,12,ISNE_to_NYUP,2040,base-short-myopic-1000,MW,3895.8,14077.7
GenX,13,MISC_to_MISE,2040,base-short-myopic-1000,MW,4030.24,10189.9
GenX,14,MISC_to_MISS,2040,base-short-myopic-1000,MW,1039.1,1039.14
GenX,15,MISC_to_MISW,2040,base-short-myopic-1000,MW,1655.07,1655.14
GenX,16,MISC_to_PJMC,2040,base-short-myopic-1000,MW,5244.2,5244.3
GenX,17,MISC_to_PJMW,2040,base-short-myopic-1000,MW,11480.1,28255.1
GenX,18,MISC_to_SPPC,2040,base-short-myopic-1000,MW,5347.91,17770.9
GenX,19,MISC_to_SPPN,2040,base-short-myopic-1000,MW,6194.47,14102.1
GenX,20,MISC_to_SPPS,2040,base-short-myopic-1000,MW,10831.1,22549.9
GenX,21,MISC_to_SRCE,2040,base-short-myopic-1000,MW,3745.27,3745.45
GenX,22,MISE_to_MISW,2040,base-short-myopic-1000,MW,29.2216,42.1053
GenX,23,MISE_to_PJMW,2040,base-short-myopic-1000,MW,2662.21,2662.38
GenX,24,MISS_to_SPPC,2040,base-short-myopic-1000,MW,5803.21,14296.4
GenX,25,MISS_to_SPPS,2040,base-short-myopic-1000,MW,18666.1,35635.7
GenX,26,MISS_to_SRCE,2040,base-short-myopic-1000,MW,4092.22,4092.73
GenX,27,MISS_to_SRSE,2040,base-short-myopic-1000,MW,10189.7,20188
GenX,28,MISW_to_NWPP,2040,base-short-myopic-1000,MW,200.101,200.152
GenX,29,MISW_to_PJMC,2040,base-short-myopic-1000,MW,4249.09,9905.15
GenX,30,MISW_to_SPPC,2040,base-short-myopic-1000,MW,182.605,1335.36
GenX,31,MISW_to_SPPN,2040,base-short-myopic-1000,MW,5512.02,5512.2
GenX,32,NWPP_to_RMRG,2040,base-short-myopic-1000,MW,3802.98,7523.05
GenX,33,NYCW_to_NYUP,2040,base-short-myopic-1000,MW,3310.82,5517.29
GenX,34,NYCW_to_PJME,2040,base-short-myopic-1000,MW,6635.24,16634.1
GenX,35,NYUP_to_PJME,2040,base-short-myopic-1000,MW,3064.45,12083.9
GenX,36,PJMC_to_PJMW,2040,base-short-myopic-1000,MW,4999.96,12075.2
GenX,37,PJMD_to_PJME,2040,base-short-myopic-1000,MW,6175.96,12359.7
GenX,38,PJMD_to_PJMW,2040,base-short-myopic-1000,MW,6930,6930.01
GenX,39,PJMD_to_SRCA,2040,base-short-myopic-1000,MW,1000.27,2300.43
