value,model,zone,resource_name,tech_type,planning_year,case,timestep,unit
923507.9803947724,SWITCH,BASN,BASN_batteries_1,Battery,2030,base_short,all,MWh
-1.7053025658242404e-13,SWITCH,BASN,BASN_battery_moderate_0,Battery,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_biomass_1,Other,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_biomass_2,Other,2030,base_short,all,MWh
13258808.874325087,SWITCH,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_conventional_steam_coal_1,Coal,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_conventional_steam_coal_2,Coal,2030,base_short,all,MWh
3440971.2793626604,SWITCH,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base_short,all,MWh
4098931.975503794,SWITCH,BASN,BASN_geothermal_1,Geothermal,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydro,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_hydrogen_ctavgcf_moderate_0,Hydro,2030,base_short,all,MWh
9905729.398884237,SWITCH,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,base_short,all,MWh
27775229.395288408,SWITCH,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_10,Wind,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_11,Wind,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_12,Wind,2030,base_short,all,MWh
4800830.957119677,SWITCH,BASN,BASN_landbasedwind_class3_moderate_13,Wind,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_14,Wind,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_15,Wind,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_16,Wind,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_17,Wind,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_18,Wind,2030,base_short,all,MWh
4444870.509798787,SWITCH,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2030,base_short,all,MWh
12251170.413639326,SWITCH,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_20,Wind,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_21,Wind,2030,base_short,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_22,Wind,2030,base_short,all,MWh
2749285.3568390952,SWITCH,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2030,base_short,all,MWh
4143234.583713225,SWITCH,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2030,base_short,all,MWh
