Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,3.4337321483261255e11,1.0449858083675322e10,8.827823772585169e9,1.4608320246192741e10,2.2857398002996883e10,1.862402370555341e10,1.567229155763859e10,7.656325709874776e9,9.025938413984653e9,1.818192750698783e10,1.0505960702950378e10,7.152073726347246e9,4.722045123748575e9,6.19604920490176e9,9.026171930553205e9,2.3740905092204697e10,2.6089037654968945e10,7.69537053566801e9,5.095161866319942e9,3.4503198323173356e9,1.2661501986498201e10,1.749471679875088e10,1.576277370535854e10,2.0298549468001297e10,1.1475287870978148e10,2.2628835724752594e10,4.34398566154013e9
cFix,3.0829487411652e11,1.0377359627890001e10,8.142844536589999e9,1.1917987796880001e10,2.077632575022e10,1.7658282983690002e10,1.410542429543e10,6.789556247149999e9,7.874109904139999e9,1.659152781078e10,1.0154014536189999e10,6.606510111369998e9,4.54534269041e9,5.470557935110001e9,8.782556019949999e9,2.1203457654369995e10,2.295379518733e10,7.55162610623e9,4.885155698509999e9,3.347229145549999e9,1.258856007536e10,1.555619359633e10,1.475393688077e10,1.8424294594800003e10,1.115648515614e10,2.1768591069989998e10,4.313148705339999e9
cVar,7.249505486794866e9,1.3795262545932088e7,1.0662744019178084e8,7.362952774483643e8,5.723424847367727e8,2.125974672073025e8,5.171537488200937e8,2.8533759412559044e8,3.1355725518005115e8,5.222556889473236e8,5.832289988206217e7,1.4627263735666943e8,4.2005636409082256e7,1.9178534424749905e8,7.643188661464344e7,6.602217298611284e8,1.0197920553843927e9,3.6309846210206e7,5.933005325541143e7,3.2890615080249168e7,1.4159486883021878e7,5.266180527553796e8,2.739799277344858e8,5.0954922142635494e8,8.801930284381086e7,2.2981081245084527e8,4.0437591955819177e6
cFuel,1.859799545575192e10,5.868448746345367e7,5.783328049508023e8,1.954009385205011e9,1.508706861648981e9,6.534099091612376e8,1.0496896661431069e9,5.814142117476609e8,8.382486545411016e8,1.0681170185158776e9,2.93588684662983e8,3.9927050616983026e8,1.3468427399933285e8,5.3368863057973397e8,1.6716821282412937e8,1.8771884615860517e9,2.1154233984710605e9,1.0741767331251518e8,1.506574403787339e8,7.018680583735693e7,5.876786452400213e7,1.4118794324755845e9,7.348310978066672e8,1.3646806287622378e9,2.307622219893974e8,6.303992503768594e8,2.6787872619594634e7
cNSE,1.00278826281923e8,18705.775935632424,18990.852586859834,27786.65936605299,22906.391127122242,9.973334549486642e7,23847.2453869953,17656.851525117978,22600.123500311132,26988.74463139708,34582.21533306999,20471.450749448803,12522.930160006317,17294.96452611768,15811.164434336188,37246.38751762553,27013.78349523532,16909.915289561322,18674.17579836427,13265.849730014574,14559.731174051505,25717.18991628453,25799.047386446247,25023.012702778957,21190.004940002244,34591.93489202015,5324.384952427495
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,9.130560947406473e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
