model,line_name,planning_year,case,unit,start_value,end_value
SWITCH,TRE_to_TRE_WEST,2030,base_short_co2_1000,MW,16529.0,16529.000000002885
SWITCH,TRE_to_SPPS,2030,base_short_co2_1000,MW,600.0,10336.24932197211
SWITCH,TRE_WEST_to_SPPS,2030,base_short_co2_1000,MW,220.0,10219.999999911435
SWITCH,FRCC_to_SRSE,2030,base_short_co2_1000,MW,3600.0,3600.000000001785
SWITCH,MISW_to_MISE,2030,base_short_co2_1000,MW,0.0,1.3750529812289951e-06
SWITCH,MISW_to_PJMC,2030,base_short_co2_1000,MW,3200.0,3435.4798505390268
SWITCH,MISW_to_MISC,2030,base_short_co2_1000,MW,1655.0,1655.0000000001396
SWITCH,MISW_to_SPPN,2030,base_short_co2_1000,MW,5512.0,5512.000000000326
SWITCH,MISW_to_SPPC,2030,base_short_co2_1000,MW,0.0,1.7980945319801043e-06
SWITCH,MISE_to_MISC,2030,base_short_co2_1000,MW,0.0,3258.929678419543
SWITCH,MISE_to_PJMW,2030,base_short_co2_1000,MW,2662.0,2662.000000000848
SWITCH,PJMC_to_MISC,2030,base_short_co2_1000,MW,5244.0,5244.00000000027
SWITCH,PJMC_to_PJMW,2030,base_short_co2_1000,MW,980.0,4362.114813034705
SWITCH,MISC_to_SPPN,2030,base_short_co2_1000,MW,0.0,2716.2537905819404
SWITCH,MISC_to_SPPC,2030,base_short_co2_1000,MW,1430.0,5181.106376688209
SWITCH,MISC_to_SPPS,2030,base_short_co2_1000,MW,1172.0,8345.255006127038
SWITCH,MISC_to_MISS,2030,base_short_co2_1000,MW,1039.0,1039.00000000017
SWITCH,MISC_to_PJMW,2030,base_short_co2_1000,MW,5441.0,5441.00000000067
SWITCH,MISC_to_SRCE,2030,base_short_co2_1000,MW,3745.0,3745.0000000003342
SWITCH,SPPN_to_SPPC,2030,base_short_co2_1000,MW,1433.0,2781.667920166249
SWITCH,SPPN_to_SPPS,2030,base_short_co2_1000,MW,0.0,5123.628970386278
SWITCH,SPPC_to_SPPS,2030,base_short_co2_1000,MW,3372.0,3372.000000004159
SWITCH,SPPC_to_MISS,2030,base_short_co2_1000,MW,0.0,1498.289788645238
SWITCH,SPPS_to_MISS,2030,base_short_co2_1000,MW,1697.0,18666.9999999876
SWITCH,SPPS_to_SRSG,2030,base_short_co2_1000,MW,1010.0,3923.976890280013
SWITCH,MISS_to_SRSE,2030,base_short_co2_1000,MW,891.0,6058.459840489455
SWITCH,MISS_to_SRCE,2030,base_short_co2_1000,MW,4092.0,4092.0000000001983
SWITCH,SRSE_to_SRCA,2030,base_short_co2_1000,MW,1400.0,1400.0000000001378
SWITCH,SRSE_to_SRCE,2030,base_short_co2_1000,MW,3196.0,3196.00000000026
SWITCH,SRCA_to_PJMD,2030,base_short_co2_1000,MW,1000.0,1000.000000000314
SWITCH,SRCA_to_PJMW,2030,base_short_co2_1000,MW,1219.0,1219.000000000112
SWITCH,SRCA_to_SRCE,2030,base_short_co2_1000,MW,216.0,216.00000000023556
SWITCH,PJMD_to_PJMW,2030,base_short_co2_1000,MW,6930.0,6930.000000002605
SWITCH,PJMD_to_PJME,2030,base_short_co2_1000,MW,1200.0,6001.594317971605
SWITCH,PJMW_to_PJME,2030,base_short_co2_1000,MW,3885.0,4888.749118406279
SWITCH,PJMW_to_SRCE,2030,base_short_co2_1000,MW,3333.0,3333.0000000003824
SWITCH,PJME_to_NYUP,2030,base_short_co2_1000,MW,1255.0,2221.8821288146705
SWITCH,PJME_to_NYCW,2030,base_short_co2_1000,MW,660.0,7419.741516708141
SWITCH,NYUP_to_NYCW,2030,base_short_co2_1000,MW,2489.0,2992.5123256710544
SWITCH,NYUP_to_ISNE,2030,base_short_co2_1000,MW,1400.0,1902.1530841748845
SWITCH,NYCW_to_ISNE,2030,base_short_co2_1000,MW,760.0,760.0000000003486
SWITCH,RMRG_to_BASN,2030,base_short_co2_1000,MW,3750.0,3750.0000000007662
SWITCH,RMRG_to_NWPP,2030,base_short_co2_1000,MW,400.0,3575.0229621947906
SWITCH,RMRG_to_SRSG,2030,base_short_co2_1000,MW,614.0,3384.990150648265
SWITCH,BASN_to_NWPP,2030,base_short_co2_1000,MW,3350.0,3350.0000000000746
SWITCH,BASN_to_CANO,2030,base_short_co2_1000,MW,100.0,100.00000000018572
SWITCH,BASN_to_CASO,2030,base_short_co2_1000,MW,5920.0,5920.000000000063
SWITCH,BASN_to_SRSG,2030,base_short_co2_1000,MW,5385.0,5385.0000000000855
SWITCH,NWPP_to_CANO,2030,base_short_co2_1000,MW,3675.0,3675.0000000002
SWITCH,NWPP_to_CASO,2030,base_short_co2_1000,MW,2858.0,2858.0000000001846
SWITCH,CANO_to_CASO,2030,base_short_co2_1000,MW,3675.0,3675.0000000001114
SWITCH,CASO_to_SRSG,2030,base_short_co2_1000,MW,4354.0,4907.579045042256
