Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,3.1533189843502563e11,1.2073080387517075e10,8.796693591430294e9,6.005088713404173e9,1.917223290871835e10,1.292611709599062e10,8.057437300282533e9,5.361552169545007e9,4.752586481558791e9,1.6763037977069977e10,1.3226561962184277e10,7.922029623455762e8,6.757351759576762e9,4.870339927511748e9,9.594151137891174e9,1.1994995110282475e10,3.1050661636775578e10,1.4610570320668947e10,6.176076800510911e9,5.058642858045461e9,1.7272296283251797e10,1.6864416146105173e10,1.5239849538240578e10,1.6266450095977154e10,8.259901743067474e9,2.1962531324629322e10,9.04942676965865e9
cFix,2.6469349003437e11,1.107673888168e10,7.62266388085e9,5.552803464410001e9,1.587796595901e10,1.0062646075429998e10,7.73159515767e9,4.61681927723e9,3.87363291851e9,1.5144149998829998e10,1.136088276807e10,7.589111156100001e8,6.30235758074e9,4.0570221870200005e9,9.24651248159e9,9.46307071576e9,2.391161534288e10,1.388394523514e10,6.10510861546e9,4.87668679891e9,1.7205713632710003e10,1.378767672042e10,1.3152481857789999e10,1.26062324708e10,6.93237766134e9,2.066835608071e10,8.815523155800001e9
cVar,7.047531931862817e9,2.9891876594690237e7,1.6991559570373288e8,5.865118067243071e7,8.157073674224817e8,1.45542061631143e8,9.375114789373553e7,1.3691362572070342e8,1.3586891541977155e8,4.045164182303843e8,6.0931017012820415e7,6.308748599707446e6,6.325518006214316e7,2.024513626213351e8,9.291689552771765e7,3.920113023157485e8,2.330312735095322e9,1.4107454154711833e7,1.9727692302707672e7,1.4783853067593055e7,8.726956697268777e6,6.704664621733421e8,4.3759705961707383e8,5.464020476345506e8,9.199811751331754e7,9.694804939308627e7,7.828808785792611e6
cFuel,3.1212752452862343e10,9.664364061805874e8,1.0041006889792515e9,3.936038681709946e8,2.4785368021719856e9,2.71791348330303e9,2.3207100309804478e8,6.07807840265777e8,7.430663662460744e8,1.2143465021900866e9,1.80472388805086e9,2.696953828165745e7,3.9173103849109024e8,6.10855211220133e8,2.5471127873211002e8,2.1398657476938696e9,4.80870529448228e9,7.125083114210101e8,5.122858388837967e7,1.671633015401869e8,5.784585780981834e7,2.4062523220707946e9,1.649749867911095e9,3.1137913100550485e9,1.2355082566551163e9,1.197192132142735e9,2.2606755180905366e8
cNSE,478583.1454867833,13223.061798940791,13425.897308708245,30200.15074776552,22780.113877842356,15475.626447164599,19991.62075206625,11426.32852707755,18281.38294409748,25057.819507746917,24289.05059556286,13559.854211307578,7960.28352764764,11166.650279651809,10482.041347682818,47344.51285612224,28264.317975874317,9319.953225971767,11908.859823024393,8904.527679650406,9836.034704895437,20641.441040418278,20752.922408231065,24267.48755455662,17707.559040487824,35062.383499555996,7253.263804735157
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,1.2377645432725035e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
