Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,946956.4613334268,936.0,0.0
BASN_biomass_1,1,131040.0,15.0,1.0
BASN_biomass_2,1,87360.0,10.0,1.0
BASN_conventional_hydroelectric_1,1,5.915910664835291e6,1774.0,0.3817291860783206
BASN_conventional_steam_coal_1,1,3916.828436289139,51.0,0.008791272616105409
BASN_conventional_steam_coal_2,1,8314.598154277659,2040.0,0.00046655029864464703
BASN_geothermal_1,1,2.315666594269487e6,287.0,0.923594862489585
BASN_natural_gas_fired_combined_cycle_1,1,26691.50032094203,433.0,0.007056225710643338
BASN_natural_gas_fired_combined_cycle_2,1,2.574994833863052e6,7114.0,0.04143333351778126
BASN_natural_gas_fired_combustion_turbine_1,1,9642.145095152146,1903.0,0.0005799923279485535
BASN_natural_gas_fired_combustion_turbine_2,1,7738.013248570492,236.0,0.003753227075461412
BASN_natural_gas_internal_combustion_engine_1,1,30480.66589168768,221.0,0.015787724945141798
BASN_natural_gas_steam_turbine_1,1,5675.428389090434,5.0,0.12993196861470774
BASN_onshore_wind_turbine_1,1,2.8159257593415524e6,1454.0,0.22168901244872932
BASN_petroleum_liquids_1,1,766.8353337633021,14.0,0.006269912135034848
BASN_small_hydroelectric_1,1,1.44144e6,165.0,1.0
BASN_solar_photovoltaic_1,1,1.6191349321785508e7,7923.0,0.23392722088647053
CANO_batteries_1,2,3.8206475814613574e6,2679.0,0.0
CANO_biomass_1,2,358176.0,41.0,1.0
CANO_biomass_2,2,235872.0,27.0,1.0
CANO_conventional_hydroelectric_1,2,1.8448967903838634e7,6904.0,0.3058853427831598
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,6.00870923707622e6,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,19596.812809810286,3113.0,0.0007205990714898428
CANO_natural_gas_fired_combined_cycle_2,2,1.367109245846222e6,8297.0,0.018861208024213896
CANO_natural_gas_fired_combustion_turbine_1,2,10575.389699950665,1995.0,0.0006067934086561794
CANO_natural_gas_fired_combustion_turbine_2,2,11810.552188450469,1510.0,0.0008953248329550909
CANO_natural_gas_internal_combustion_engine_1,2,41140.378821587765,444.0,0.010606514521455116
CANO_natural_gas_steam_turbine_1,2,5039.167193271373,3.0,0.19227591549417636
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,1.2305188530779937e6,698.0,0.2017995642111281
CANO_petroleum_liquids_1,2,3064.3436942075164,170.0,0.002063364370695645
CANO_small_hydroelectric_1,2,1.860768e6,213.0,1.0
CANO_solar_photovoltaic_1,2,1.4494476718482068e7,6285.0,0.26398827224105575
CASO_batteries_1,3,145819.02181222677,84.0,0.0
CASO_biomass_1,3,655200.0,75.0,1.0
CASO_biomass_2,3,96096.0,11.0,1.0
CASO_conventional_hydroelectric_1,3,2.2393085684438017e6,955.0,0.2684095382462413
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,187657.54180253673,24.0,0.8950394049647853
CASO_hydroelectric_pumped_storage_1,3,4.285680614654994e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,16146.956827415064,1985.0,0.0009311454975627107
CASO_natural_gas_fired_combined_cycle_2,3,1.608377304269427e6,7458.0,0.024686125456853662
CASO_natural_gas_fired_combustion_turbine_1,3,10366.045898614015,1455.0,0.0008155254316470626
CASO_natural_gas_fired_combustion_turbine_2,3,17924.990404767923,3955.0,0.0005187998223132934
CASO_natural_gas_internal_combustion_engine_1,3,18876.283079884925,50.0,0.04321493379094534
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.181790890624168e7,3464.0,0.39052615845668737
CASO_petroleum_liquids_1,3,1869.8836839760738,8.0,0.026755432749199774
CASO_small_hydroelectric_1,3,637728.0,73.0,1.0
CASO_solar_photovoltaic_1,3,3.191360309598233e7,13760.0,0.2654879293246465
FRCC_batteries_1,4,549362.6870695052,555.0,0.0
FRCC_biomass_1,4,279552.0,32.0,1.0
FRCC_biomass_2,4,803712.0,92.0,1.0
FRCC_conventional_hydroelectric_1,4,107581.38812405802,44.0,0.27987998492147964
FRCC_conventional_steam_coal_1,4,8537.745456673318,2523.0,0.0003873587108797469
FRCC_conventional_steam_coal_2,4,6544.950162785371,442.0,0.0016950068170573554
FRCC_natural_gas_fired_combined_cycle_1,4,27430.508489670836,2313.0,0.001357518010642528
FRCC_natural_gas_fired_combined_cycle_2,4,7.915311057169856e6,28737.0,0.03152927127508371
FRCC_natural_gas_fired_combustion_turbine_1,4,12154.721855083215,8448.0,0.0001646942718615371
FRCC_natural_gas_fired_combustion_turbine_2,4,8701.805211383713,235.0,0.0042386628143674075
FRCC_natural_gas_internal_combustion_engine_1,4,92131.08999672429,263.0,0.04009939640381668
FRCC_natural_gas_steam_turbine_1,4,8185.667471057341,335.0,0.0027970270457661353
FRCC_nuclear_1,4,3.075373215621594e7,3737.0,0.9420242970569016
FRCC_petroleum_liquids_1,4,2937.866549922859,150.0,0.002241961652871535
FRCC_solar_photovoltaic_1,4,1.5839172211666081e7,9414.0,0.19259528969579445
ISNE_batteries_1,5,389780.6123080417,366.0,0.0
ISNE_biomass_1,5,0.0,0.0,0.0
ISNE_biomass_2,5,497952.0,57.0,1.0
ISNE_conventional_hydroelectric_1,5,1.7263143186014416e6,516.0,0.3829636429586212
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,4.373784481479756e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,66754.99476916526,3159.0,0.0024189200534508815
ISNE_natural_gas_fired_combined_cycle_2,5,2.605718364689936e6,10499.0,0.028409717338005853
ISNE_natural_gas_fired_combustion_turbine_1,5,11446.669187266616,410.0,0.003195822497114998
ISNE_natural_gas_fired_combustion_turbine_2,5,13890.088817021204,1316.0,0.0012081935366687615
ISNE_natural_gas_internal_combustion_engine_1,5,23520.902156984717,57.0,0.04723528002093518
ISNE_natural_gas_steam_turbine_1,5,9601.502701209865,17.0,0.06465135949424872
ISNE_nuclear_1,5,2.4360312037635233e7,3348.0,0.8328844853809185
ISNE_offshore_wind_turbine_1,5,0.0,0.0,0.0
ISNE_onshore_wind_turbine_1,5,1.6198374626906496e6,1238.0,0.14977460014404304
ISNE_petroleum_liquids_1,5,3207.307048738954,824.0,0.0004455543639224915
ISNE_small_hydroelectric_1,5,1.983072e6,227.0,1.0
ISNE_solar_photovoltaic_1,5,3.7783323966188594e6,2681.0,0.16132093212491014
MISC_batteries_1,6,48831.30982246847,36.0,0.0
MISC_biomass_1,6,655200.0,75.0,1.0
MISC_biomass_2,6,17472.0,2.0,1.0
MISC_conventional_hydroelectric_1,6,779251.6165739434,277.0,0.32202183279691793
MISC_conventional_steam_coal_1,6,8765.477193766732,6249.0,0.00016056556583424653
MISC_conventional_steam_coal_2,6,6424.414482848083,1692.0,0.0004346308692251461
MISC_hydroelectric_pumped_storage_1,6,1.3221333184429407e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,211177.39512204743,571.0,0.042334915273403655
MISC_natural_gas_fired_combined_cycle_2,6,2.308888856785555e6,4067.9999999999995,0.06496949007400618
MISC_natural_gas_fired_combustion_turbine_1,6,10087.646000301133,458.0,0.0025212257266776267
