Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,2.746805294587434e11,7.176948196844306e9,6.83113373860008e9,1.092396654630368e10,1.7745913498329163e10,1.248131424414401e10,1.3648441061449507e10,7.197330054055973e9,1.1942833508184292e10,1.6427926591589025e10,8.743049996706598e9,8.74107193331699e9,3.81174446719529e9,6.0935958272648535e9,6.601238266433544e9,2.054826347022409e10,2.0981893495537785e10,5.568933832663706e9,4.619679802626248e9,2.597908593194828e9,6.386913402018541e9,1.3833288101558727e10,1.2410222884973547e10,1.6504032705844187e10,7.72430546913814e9,2.3586611207730812e10,1.1804661688554187e9
cFix,2.2671084317960007e11,6.9163894049e9,5.5078431319e9,7.9177615917e9,1.19878794153e10,1.1269352684199999e10,1.0768038970499998e10,5.3519998592e9,8.7913460059e9,1.34774748074e10,8.338141185300001e9,7.936705679e9,3.3672642654e9,4.804507552499999e9,5.956873813e9,1.7859187406e10,1.5145419216300001e10,5.5537821542e9,4.2268174922999997e9,2.5263658737000003e9,6.041029944200001e9,1.03180385949e10,1.03002267123e10,1.3217852723000002e10,7.319417543199999e9,2.0740816577300003e10,1.0703105760000001e9
cVar,1.1590440384455414e10,2.180528120681653e7,2.746211260788773e8,7.567806837759625e8,1.3282566152399879e9,1.4849856803481695e8,7.932422625801319e8,5.26538499258472e8,7.569200791214169e8,8.118433864219685e8,9.691833031159532e7,1.9138808244668087e8,9.478082189451389e7,3.4115577516763246e8,1.6216332393647557e8,6.296154412531264e8,1.6205488000661185e9,2.9116225788684315e6,9.728744948517808e7,1.82279905033068e7,4.41624486951249e7,8.41873198801823e8,5.010338614067162e8,7.592811336719956e8,9.558997436836886e7,6.648371223045529e8,1.0158505842246963e7
cFuel,3.1454137497610912e10,1.69836602895663e8,9.192572284517388e8,1.9241412477443292e9,3.8666780142517133e9,9.399978518539438e8,1.7467403344765668e9,1.1499090441955724e9,2.0540639830970075e9,1.8264663128855922e9,2.715631613977262e8,5.849993020909232e8,3.2111712161525387e8,8.916531585327636e8,4.673215941377191e8,1.9221528830139077e9,3.66398313492434e9,9.313779645750305e6,2.5735905279674193e8,5.0978481155051105e7,2.148991461177718e8,2.396338979413351e9,1.405613598835304e9,2.196888206019708e9,2.870518293300398e8,1.8482759431653252e9,6.753750556554088e7
cNSE,1.9075994115048817e6,77005.40460854059,71621.23764715671,80583.98740941081,67815.84105115574,72556.26546318417,73916.6604584938,68320.28052693543,71126.6888478843,76594.76151928889,92950.05950307242,70098.25431396982,66997.84466018414,71324.89101488485,72803.67517051988,79876.34937080345,77705.44939186984,72533.14642104233,69270.4588839166,66376.05333136176,71458.11183436116,75006.59650788656,80129.7814364492,71266.28288591705,75535.95373644661,77629.50777287837,57095.86773726666
cStart,4.55169840370974e9,6.883990243721646e7,1.2934063093181601e8,3.252024390959752e8,5.630316376964111e8,1.2339258378978771e8,3.4034557723235154e8,1.6881433112140206e8,3.404323133770187e8,3.120654901199483e8,3.633436963777451e7,2.790877152506908e7,2.8515260440861907e7,5.620801617344194e7,1.4806731684178783e7,1.3722786360768878e8,5.518646387979335e8,2.8537430926661342e6,3.8146537585444644e7,2.269871783138435e6,8.67504048938093e7,2.7696232184704566e8,2.0326858265009278e8,3.299393768695967e8,2.2170586285995733e7,3.3260393545316213e8,3.240248557989343e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,3.713833915868394e8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,119002.33505234266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
