model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2030,base_short_200,all,MWh,665428.169104136
GenX,BASN,BASN_battery_moderate_0,Battery,2030,base_short_200,all,MWh,3.2209457986575427
GenX,BASN,BASN_biomass_1,Biomass,2030,base_short_200,all,MWh,162489.59999999913
GenX,BASN,BASN_biomass_2,Biomass,2030,base_short_200,all,MWh,87360.0
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_short_200,all,MWh,7142341.843365336
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2030,base_short_200,all,MWh,0.4056597719473926
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2030,base_short_200,all,MWh,0.205070411220863
GenX,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base_short_200,all,MWh,2537779.827557625
GenX,BASN,BASN_geothermal_1,Geothermal,2030,base_short_200,all,MWh,3515176.595088354
GenX,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen,2030,base_short_200,all,MWh,0.3653232637434122
GenX,BASN,BASN_hydrogen_ctavgcf_moderate_0,Hydrogen,2030,base_short_200,all,MWh,0.1663441502951839
GenX,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,base_short_200,all,MWh,13735863.701117495
GenX,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,base_short_200,all,MWh,40683483.481678456
GenX,BASN,BASN_landbasedwind_class3_moderate_10,Wind,2030,base_short_200,all,MWh,12.791710219442033
GenX,BASN,BASN_landbasedwind_class3_moderate_11,Wind,2030,base_short_200,all,MWh,8.365519564641808
GenX,BASN,BASN_landbasedwind_class3_moderate_12,Wind,2030,base_short_200,all,MWh,6.785277672151582
GenX,BASN,BASN_landbasedwind_class3_moderate_13,Wind,2030,base_short_200,all,MWh,6828649.786002122
GenX,BASN,BASN_landbasedwind_class3_moderate_14,Wind,2030,base_short_200,all,MWh,3.5567208535209835
GenX,BASN,BASN_landbasedwind_class3_moderate_15,Wind,2030,base_short_200,all,MWh,6.479259720815893
GenX,BASN,BASN_landbasedwind_class3_moderate_16,Wind,2030,base_short_200,all,MWh,4.628026720258519
GenX,BASN,BASN_landbasedwind_class3_moderate_17,Wind,2030,base_short_200,all,MWh,29.35096985458698
GenX,BASN,BASN_landbasedwind_class3_moderate_18,Wind,2030,base_short_200,all,MWh,4.172120807367909
GenX,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2030,base_short_200,all,MWh,5747946.038565363
GenX,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,base_short_200,all,MWh,18059321.926941905
GenX,BASN,BASN_landbasedwind_class3_moderate_20,Wind,2030,base_short_200,all,MWh,3.225268704922008
GenX,BASN,BASN_landbasedwind_class3_moderate_21,Wind,2030,base_short_200,all,MWh,4.325774338333403
GenX,BASN,BASN_landbasedwind_class3_moderate_22,Wind,2030,base_short_200,all,MWh,3.258297215139343
GenX,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2030,base_short_200,all,MWh,18.425521046073516
GenX,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2030,base_short_200,all,MWh,23.916715445080094
GenX,BASN,BASN_landbasedwind_class3_moderate_4,Wind,2030,base_short_200,all,MWh,13.810297028714096
GenX,BASN,BASN_landbasedwind_class3_moderate_5,Wind,2030,base_short_200,all,MWh,5838833.236556722
GenX,BASN,BASN_landbasedwind_class3_moderate_6,Wind,2030,base_short_200,all,MWh,14990087.832653942
GenX,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2030,base_short_200,all,MWh,5002013.707710116
GenX,BASN,BASN_landbasedwind_class3_moderate_8,Wind,2030,base_short_200,all,MWh,9.03217088468289
GenX,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2030,base_short_200,all,MWh,3253700.5433399808
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_200,all,MWh,3598866.449236079
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_200,all,MWh,0.8438777794134897
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_200,all,MWh,0.4169436043430745
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base_short_200,all,MWh,0.3614071458108631
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_200,all,MWh,0.6305667823049776
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_200,all,MWh,0.4624764826268401
GenX,BASN,BASN_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_short_200,all,MWh,2.322412985476204
GenX,BASN,BASN_naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_short_200,all,MWh,0.314779810456
GenX,BASN,BASN_nuclear_nuclear_moderate_0,Nuclear,2030,base_short_200,all,MWh,1.1305416604743963
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base_short_200,all,MWh,5637177.551687702
GenX,BASN,BASN_petroleum_liquids_1,Other,2030,base_short_200,all,MWh,0.0333457751420759
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2030,base_short_200,all,MWh,1547145.600000027
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2030,base_short_200,all,MWh,14058055.028486576
GenX,BASN,BASN_utilitypv_class1_moderate_0,Solar,2030,base_short_200,all,MWh,5.988341590352135
GenX,BASN,BASN_utilitypv_class1_moderate_1,Solar,2030,base_short_200,all,MWh,2.37798291582691
GenX,BASN,BASN_utilitypv_class1_moderate_2,Solar,2030,base_short_200,all,MWh,2.722276125351041
GenX,BASN,BASN_utilitypv_class1_moderate_3,Solar,2030,base_short_200,all,MWh,0.8966999137364315
GenX,BASN,BASN_utilitypv_class1_moderate_4,Solar,2030,base_short_200,all,MWh,1.8569691625967928
GenX,BASN,BASN_utilitypv_class1_moderate_5,Solar,2030,base_short_200,all,MWh,0.9543317569412806
GenX,BASN,BASN_utilitypv_class1_moderate_6,Solar,2030,base_short_200,all,MWh,2.1737712050838023
GenX,BASN,BASN_utilitypv_class1_moderate_7,Solar,2030,base_short_200,all,MWh,0.9272189605708352
GenX,BASN,BASN_utilitypv_class1_moderate_8,Solar,2030,base_short_200,all,MWh,1.667794967656936
GenX,BASN,BASN_utilitypv_class1_moderate_9,Solar,2030,base_short_200,all,MWh,1.6098519189747205
GenX,CANO,CANO_batteries_1,Battery,2030,base_short_200,all,MWh,2382807.5151588283
GenX,CANO,CANO_battery_moderate_0,Battery,2030,base_short_200,all,MWh,2.491675365475252
GenX,CANO,CANO_biomass_1,Biomass,2030,base_short_200,all,MWh,744307.1999999863
