Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,2.4659408463792435e11,7.220662507189029e9,6.095105518127913e9,6.924587273425511e9,1.5906760751448328e10,1.0700439967796284e10,1.0748056696565056e10,5.12955690310049e9,6.7378072748085375e9,1.3229168761434351e10,7.934137645010645e9,4.342170092642565e8,5.23535444135496e9,4.848040006920889e9,6.580124480814444e9,1.108228578006109e10,2.253493068544074e10,8.370966015697085e9,4.44145675994226e9,3.35555880367771e9,1.0405205407022371e10,1.2818936567100166e10,1.130584784321055e10,1.3958776092821365e10,6.075439537168965e9,1.6779394195066187e10,3.806567716195114e9
cFix,1.9524951648275974e11,6.954398794110001e9,4.70921112751e9,5.52793086196e9,1.047699655099e10,9.14215540997e9,9.42533441478e9,4.128451612819999e9,5.30207227133e9,1.1873940439269999e10,7.667068403490001e9,3.1083101377000004e8,4.799043901309999e9,3.8522871614900002e9,6.04330033971e9,8.45000641942e9,1.5276718329030005e10,8.3267473885199995e9,4.33497414431e9,3.29352944847e9,1.0171277209619999e10,9.68214428964e9,9.915750439609999e9,1.055567951908e10,5.57870231725e9,1.577114785329e10,3.67981682201e9
cVar,8.86865390093472e9,2.984654395453503e7,2.723602231441463e8,3.2105316693767035e8,1.3102598318143466e9,1.6879163714007348e8,3.8429639612978065e8,2.867922594451686e8,2.882470177847607e8,3.5973487958695364e8,4.569905503535631e7,1.8321249105626713e7,9.499637631323339e7,2.3850039765820724e8,1.1104464503862639e8,5.132559481993535e8,2.18866716897408e9,4.905733194001188e6,2.3539518039144717e7,1.432227584883843e7,2.9240489370988294e7,7.873477729623717e8,3.2519273549866295e8,7.911730550636815e8,9.156062983473636e7,1.535549040988535e8,1.5949990759354254e7
cFuel,2.8227634516343674e10,2.363727586439557e8,1.1134899149092453e9,1.0755552841961033e9,4.1194585965652514e9,1.077039787390825e9,9.383803384809775e8,7.142685680447968e8,1.1474431705080733e9,9.954460780396383e8,2.2132151558926022e8,1.0501888728796934e8,3.412711400738415e8,7.572083298742328e8,4.257350910445006e8,2.1189714919431522e9,5.069495061092378e9,3.926993689353323e7,8.289980263322109e7,4.766473273867592e7,2.0464465878574514e8,2.349398363755421e9,1.0648582777622982e9,2.6118770335990252e9,4.051321450009719e8,8.54636304094932e8,1.1077724739402767e8
cNSE,3.135797406296936e8,44410.480538304015,44252.56451993927,47960.33173821279,45772.078729902365,3.124531332953849e8,45547.17429568257,44462.79052561449,44815.18570346298,47364.537758117374,48670.89602764195,45859.10066045415,43023.65788671608,44117.89844822499,44405.02131724829,51920.49858525324,50126.344277924036,42957.08955068567,43294.95989389377,42346.62019532843,43049.24563993748,46140.74237617249,46390.33958910881,46485.078657454425,44445.08325757078,55133.58240260297,23656.031732161176
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,1.3934699997276693e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
