model,zone,planning_year,case,unit,value
GenX,BASN,2030,base-short-myopic-200,tons,2.79944e+06
GenX,CANO,2030,base-short-myopic-200,tons,7.89052e+06
GenX,CASO,2030,base-short-myopic-200,tons,7.35688e+06
GenX,FRCC,2030,base-short-myopic-200,tons,1.39624e+07
GenX,ISNE,2030,base-short-myopic-200,tons,1.23554e+07
GenX,MISC,2030,base-short-myopic-200,tons,2.89873e+06
GenX,MISE,2030,base-short-myopic-200,tons,3.43759e+06
GenX,MISS,2030,base-short-myopic-200,tons,1.30628e+07
GenX,MISW,2030,base-short-myopic-200,tons,7.78415e+06
GenX,NWPP,2030,base-short-myopic-200,tons,644777
GenX,NYCW,2030,base-short-myopic-200,tons,2.62432e+06
GenX,NYUP,2030,base-short-myopic-200,tons,3.47903e+06
GenX,PJMC,2030,base-short-myopic-200,tons,4.81349e+06
GenX,PJMD,2030,base-short-myopic-200,tons,4.83237e+06
GenX,PJME,2030,base-short-myopic-200,tons,3.61964e+07
GenX,PJMW,2030,base-short-myopic-200,tons,1.71125e+07
GenX,RMRG,2030,base-short-myopic-200,tons,197387
GenX,SPPC,2030,base-short-myopic-200,tons,455062
GenX,SPPN,2030,base-short-myopic-200,tons,133021
GenX,SPPS,2030,base-short-myopic-200,tons,4.21904e+06
GenX,SRCA,2030,base-short-myopic-200,tons,6.50017e+06
GenX,SRCE,2030,base-short-myopic-200,tons,6.55934e+06
GenX,SRSE,2030,base-short-myopic-200,tons,1.24283e+07
GenX,SRSG,2030,base-short-myopic-200,tons,2.69423e+06
GenX,TRE,2030,base-short-myopic-200,tons,9.28578e+06
GenX,TRE_WEST,2030,base-short-myopic-200,tons,2.27755e+06
GenX,BASN,2040,base-short-myopic-200,tons,3.00097e+06
GenX,CANO,2040,base-short-myopic-200,tons,6.44087e+06
GenX,CASO,2040,base-short-myopic-200,tons,6.60898e+06
GenX,FRCC,2040,base-short-myopic-200,tons,1.31805e+07
GenX,ISNE,2040,base-short-myopic-200,tons,1.35093e+07
GenX,MISC,2040,base-short-myopic-200,tons,3.55407e+06
GenX,MISE,2040,base-short-myopic-200,tons,3.02814e+06
GenX,MISS,2040,base-short-myopic-200,tons,9.72662e+06
GenX,MISW,2040,base-short-myopic-200,tons,6.16064e+06
GenX,NWPP,2040,base-short-myopic-200,tons,2.11167e+06
GenX,NYCW,2040,base-short-myopic-200,tons,1.85805e+06
GenX,NYUP,2040,base-short-myopic-200,tons,2.87284e+06
GenX,PJMC,2040,base-short-myopic-200,tons,3.59555e+06
GenX,PJMD,2040,base-short-myopic-200,tons,2.85357e+06
GenX,PJME,2040,base-short-myopic-200,tons,2.46387e+07
GenX,PJMW,2040,base-short-myopic-200,tons,1.52993e+07
GenX,RMRG,2040,base-short-myopic-200,tons,509526
GenX,SPPC,2040,base-short-myopic-200,tons,456670
GenX,SPPN,2040,base-short-myopic-200,tons,268131
GenX,SPPS,2040,base-short-myopic-200,tons,3.00602e+06
GenX,SRCA,2040,base-short-myopic-200,tons,5.47492e+06
GenX,SRCE,2040,base-short-myopic-200,tons,4.78755e+06
GenX,SRSE,2040,base-short-myopic-200,tons,1.01563e+07
GenX,SRSG,2040,base-short-myopic-200,tons,3.05269e+06
GenX,TRE,2040,base-short-myopic-200,tons,1.02513e+07
GenX,TRE_WEST,2040,base-short-myopic-200,tons,1.7278e+06
GenX,BASN,2050,base-short-myopic-200,tons,2.32968e+06
GenX,CANO,2050,base-short-myopic-200,tons,6.08808e+06
GenX,CASO,2050,base-short-myopic-200,tons,6.77698e+06
GenX,FRCC,2050,base-short-myopic-200,tons,1.26256e+07
GenX,ISNE,2050,base-short-myopic-200,tons,1.40744e+07
GenX,MISC,2050,base-short-myopic-200,tons,3.87151e+06
GenX,MISE,2050,base-short-myopic-200,tons,2.49658e+06
GenX,MISS,2050,base-short-myopic-200,tons,9.06045e+06
GenX,MISW,2050,base-short-myopic-200,tons,5.43963e+06
GenX,NWPP,2050,base-short-myopic-200,tons,2.40308e+06
GenX,NYCW,2050,base-short-myopic-200,tons,2.14034e+06
GenX,NYUP,2050,base-short-myopic-200,tons,3.15667e+06
GenX,PJMC,2050,base-short-myopic-200,tons,3.40745e+06
GenX,PJMD,2050,base-short-myopic-200,tons,2.22435e+06
GenX,PJME,2050,base-short-myopic-200,tons,2.17865e+07
GenX,PJMW,2050,base-short-myopic-200,tons,1.49552e+07
GenX,RMRG,2050,base-short-myopic-200,tons,574630
GenX,SPPC,2050,base-short-myopic-200,tons,508965
GenX,SPPN,2050,base-short-myopic-200,tons,343234
GenX,SPPS,2050,base-short-myopic-200,tons,2.98668e+06
GenX,SRCA,2050,base-short-myopic-200,tons,5.20472e+06
GenX,SRCE,2050,base-short-myopic-200,tons,4.19697e+06
GenX,SRSE,2050,base-short-myopic-200,tons,1.05986e+07
GenX,SRSG,2050,base-short-myopic-200,tons,2.56522e+06
GenX,TRE,2050,base-short-myopic-200,tons,1.04641e+07
GenX,TRE_WEST,2050,base-short-myopic-200,tons,1.62222e+06
