Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,82118.40000000045,9.4,1.0000000000000053
BASN_biomass_2,1,56172.480000001415,6.43,1.000000000000025
BASN_conventional_hydroelectric_1,1,5.4793906078133e6,1773.8,0.35360222170354577
BASN_conventional_steam_coal_1,1,314.4364566401428,51.0,0.0007057487086119703
BASN_conventional_steam_coal_2,1,414.2240807819878,2499.2,1.897237522518139e-5
BASN_geothermal_1,1,2.1479507556521245e6,269.72,0.9115878834885734
BASN_natural_gas_fired_combined_cycle_1,1,140208.32775391708,880.0,0.018238054621669615
BASN_natural_gas_fired_combined_cycle_2,1,4.0010881805088692e6,6273.9,0.07300084806303021
BASN_natural_gas_fired_combustion_turbine_1,1,69938.59789500308,1803.0,0.004440261721345268
BASN_natural_gas_fired_combustion_turbine_2,1,9953.149323442689,236.2,0.0048235635094984386
BASN_natural_gas_internal_combustion_engine_1,1,61376.633795836875,219.0,0.03208088390653323
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,894048.2857228236,565.1,0.18110191478857993
BASN_petroleum_liquids_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,1.43052e6,163.75,1.0
BASN_solar_photovoltaic_1,1,1.209194409500046e7,6254.7,0.2212977616473522
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,133573.44000000012,15.29,1.000000000000001
CANO_biomass_2,2,79497.59999999969,9.1,0.999999999999996
CANO_conventional_hydroelectric_1,2,1.725777157990992e7,6901.8,0.2862264215154496
CANO_hydroelectric_pumped_storage_1,2,5.969515793194512e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,457070.37452574674,3112.8,0.016808123475430745
CANO_natural_gas_fired_combined_cycle_2,2,6.964847746151572e6,8296.9,0.09609109579487525
CANO_natural_gas_fired_combustion_turbine_1,2,563.2086772855502,1994.9,3.2317338086063494e-5
CANO_natural_gas_fired_combustion_turbine_2,2,584.6137573959352,1307.0,5.120128000152174e-5
CANO_natural_gas_internal_combustion_engine_1,2,36713.766752856165,431.6,0.009737217772414722
CANO_natural_gas_steam_turbine_1,2,797.6289861113992,2.9,0.031484029071594324
CANO_onshore_wind_turbine_1,2,964642.0181046115,516.3,0.213870765894613
CANO_petroleum_liquids_1,2,163.490056133736,167.4,0.00011179522746463363
CANO_small_hydroelectric_1,2,1.8575356799999299e6,212.63,0.9999999999999624
CANO_solar_photovoltaic_1,2,8.936068026787832e6,4575.6,0.2235557216196629
CASO_batteries_1,3,0.0,0.0,0.0
CASO_biomass_1,3,344111.0400000101,39.39,1.0000000000000293
CASO_biomass_2,3,52590.71999999882,6.02,0.9999999999999777
CASO_conventional_hydroelectric_1,3,2.160207497245646e6,955.0,0.25892827144171393
CASO_geothermal_1,3,0.0,0.0,0.0
CASO_hydroelectric_pumped_storage_1,3,4.703274520383454e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,355529.98562651785,1984.9,0.0205033572166352
CASO_natural_gas_fired_combined_cycle_2,3,9.000804801192246e6,6090.1,0.16917815879844006
CASO_natural_gas_fired_combustion_turbine_1,3,54238.84884857114,1454.7,0.004267999888495439
CASO_natural_gas_fired_combustion_turbine_2,3,225126.2018100352,3813.6,0.006757379033821888
CASO_natural_gas_internal_combustion_engine_1,3,25423.37754858216,50.2,0.05797181591532715
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,8.600008932291068e6,2666.9,0.3691301724479546
CASO_petroleum_liquids_1,3,154.01127826464273,7.8,0.0022601918126092255
CASO_small_hydroelectric_1,3,636767.0400000135,72.89,1.0000000000000213
CASO_solar_photovoltaic_1,3,2.562679830673387e7,11637.7,0.25206617305347656
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,75828.47999999928,8.68,0.9999999999999907
FRCC_biomass_2,4,202500.47999999698,23.18,0.9999999999999852
FRCC_conventional_hydroelectric_1,4,109744.59580931728,43.5,0.2887894083652196
FRCC_conventional_steam_coal_1,4,414.03055448162627,2523.0,1.8784624426050764e-5
FRCC_conventional_steam_coal_2,4,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,1615.0974008301032,2497.7,7.401944408040852e-5
FRCC_natural_gas_fired_combined_cycle_2,4,1.4651803149920054e7,28992.0,0.05784958847242964
FRCC_natural_gas_fired_combustion_turbine_1,4,529.2542419257397,8326.4,7.2760295071782664e-6
FRCC_natural_gas_fired_combustion_turbine_2,4,559.4834605446586,234.7,0.0002728736106419165
FRCC_natural_gas_internal_combustion_engine_1,4,47507.267984911065,112.4,0.048381699468423564
FRCC_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
FRCC_nuclear_1,4,2.961830256663225e7,3737.0,0.907244704923106
FRCC_petroleum_liquids_1,4,138.29967245376665,46.8,0.00033826936885039666
FRCC_solar_photovoltaic_1,4,7.746629136706676e6,5157.5,0.1719336579234577
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,0.0,0.0,0.0
ISNE_biomass_2,5,96794.88000000105,11.08,1.0000000000000109
ISNE_conventional_hydroelectric_1,5,1.658125019981354e6,516.1,0.3677653326577771
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,4.767823865887282e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.1411276815689674e6,3152.9,0.04142966472872202
ISNE_natural_gas_fired_combined_cycle_2,5,7.414654810675772e6,10499.0,0.0808407578442384
ISNE_natural_gas_fired_combustion_turbine_1,5,16783.622037627134,407.1,0.004719238900323722
ISNE_natural_gas_fired_combustion_turbine_2,5,133552.86305516688,1315.9,0.011617633999916948
ISNE_natural_gas_internal_combustion_engine_1,5,17763.332236946742,57.4,0.03542418937885833
ISNE_natural_gas_steam_turbine_1,5,5236.716089980622,17.2,0.03485121769569266
ISNE_nuclear_1,5,2.480949133644964e7,3348.1,0.8482166904613128
ISNE_offshore_wind_turbine_1,5,0.0,0.0,0.0
ISNE_onshore_wind_turbine_1,5,1.5409183508900164e6,1020.6999999999999,0.1728100067263794
ISNE_petroleum_liquids_1,5,152.24682584644322,820.7,2.1234947329878544e-5
ISNE_small_hydroelectric_1,5,1.9678713600000455e6,225.26,1.000000000000023
ISNE_solar_photovoltaic_1,5,2.8965765780500094e6,2102.8,0.15767920474438543
MISC_batteries_1,6,0.0,0.0,0.0
MISC_biomass_1,6,385694.3999999979,44.15,0.9999999999999946
MISC_biomass_2,6,11968.320000000218,1.37,1.0000000000000182
MISC_conventional_hydroelectric_1,6,803324.2523637029,276.6,0.3324498010425618
MISC_conventional_steam_coal_1,6,404.74387030891427,5613.7,8.25312560966827e-6
MISC_conventional_steam_coal_2,6,339.53728417141724,1692.0,2.297071357207109e-5
MISC_hydroelectric_pumped_storage_1,6,1.2981838747219455e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,352040.47706238105,573.6,0.07025396383613683
MISC_natural_gas_fired_combined_cycle_2,6,3.888981081500922e6,4067.5,0.10944492890972514
MISC_natural_gas_fired_combustion_turbine_1,6,68734.9585442739,457.6,0.017194083596760286
MISC_natural_gas_fired_combustion_turbine_2,6,335595.0107801329,8367.8,0.004590833887690689
MISC_natural_gas_internal_combustion_engine_1,6,15143.286075957089,34.8,0.04981134371959697
MISC_natural_gas_steam_turbine_1,6,9215.810935942767,125.9,0.008379058085759426
MISC_nuclear_1,6,1.6932861966125477e7,2373.0,0.8168080410747607
MISC_onshore_wind_turbine_1,6,7.130581114923065e6,3455.0,0.23624588226580978
MISC_petroleum_liquids_1,6,189.44718769944387,194.3,0.00011160990454336165
MISC_small_hydroelectric_1,6,0.0,0.0,0.0
MISC_solar_photovoltaic_1,6,2.0611348193515965e6,1452.8,0.1624007174342066
MISE_batteries_1,7,0.0,0.0,0.0
MISE_biomass_1,7,163712.63999999693,18.74,0.9999999999999812
MISE_biomass_2,7,154103.04000000167,17.64,1.0000000000000109
