Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,2.631296728350983e11,7.686945648942242e9,6.296112515661932e9,8.975925439094776e9,1.7118703726554047e10,1.1913366628229578e10,1.1693955320659615e10,6.420705283919886e9,6.7030375122191515e9,1.3988442256832226e10,7.264236254777895e9,2.126503077843638e9,5.324149828344242e9,5.123143870405625e9,8.373606163535076e9,1.3160608498401968e10,2.1724489075785515e10,6.363140690008335e9,3.953623967736888e9,2.541508555277939e9,9.554059861643581e9,1.3211852401327982e10,1.1108420159963385e10,1.6208796714991497e10,7.633393992007484e9,1.768367552394877e10,3.5579803709170117e9
cFix,2.081902185221399e11,7.52908094287e9,5.35183015481e9,7.2297407789e9,1.247666273266e10,9.94164885926e9,1.013024090188e10,5.04662961851e9,5.61944567805e9,1.20023249461e10,6.780196211110001e9,1.6650066212900002e9,4.650831290320001e9,3.9402766637599998e9,7.40541859655e9,1.1414367677210001e10,1.5392743833430002e10,6.25893495747e9,3.7970162710699997e9,2.4623077297999997e9,9.26862860772e9,1.052614232333e10,9.862296821330002e9,1.258682993591e10,6.8418624045199995e9,1.664354691624e10,3.36620704804e9
cVar,8.668065807773191e9,1.8518586223144498e7,1.0618721376676197e8,3.9088932064972275e8,1.1743553593186998e9,1.8659396035234025e8,4.5032392376186436e8,4.115045490384455e8,2.694609563255699e8,5.725632674701993e8,7.220249680456923e7,5.899275663911946e7,1.2678378677846915e8,2.7563216800520664e8,1.6089674191057545e8,3.838698255072222e8,1.8575925806523457e9,1.1808362408264847e7,3.1169131467743672e7,1.7051998441074442e7,3.590730213080238e7,6.645512940915405e8,2.494325772711749e8,8.227959915762902e8,1.2540284658980373e8,1.6939115406058198e8,2.4187656533289347e7
cFuel,2.8426949171560753e10,1.3929876688452545e8,8.380472705849403e8,1.355244486158718e9,3.467636054956828e9,1.373298944624755e9,1.1133412034176862e9,9.625232677461104e8,8.140817547178577e8,1.4135030743944638e9,4.117848799354875e8,3.9031744349990433e8,5.464890282885426e8,9.071867052821493e8,8.072443247710841e8,1.3623170217697804e9,4.474099669084056e9,9.235442310367891e7,1.2539405545520134e8,6.210224303579852e7,2.4948363359784853e8,2.021108332924439e9,9.966401686384351e8,2.7991200105226517e9,6.66079920919461e8,8.706814290218272e8,1.675710582214594e8
cNSE,4.2514983755777186e8,47352.96457318704,47876.500228194775,50853.38633407165,49579.61851993836,4.118248639924841e8,49291.60006371067,47848.625330490264,49123.125724691534,50968.867562108026,52666.92783742354,1.2186256414613992e7,45722.9572305391,48333.35826863371,46500.30341633211,53973.914963778,52992.61911071981,42947.02639169981,44509.74394321976,46584.00106588661,40318.19492991988,50450.982003050856,50592.72377524708,50776.98255362453,48819.978220368444,56024.626361146766,14608.122263284302
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,1.741928949602777e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
