Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.808141436203923e11,4.354283424918251e9,2.861573075408301e9,2.623164385798657e9,1.2901604537094065e10,5.80040647693601e9,7.0016396029442835e9,3.7301509073355627e9,4.813241693506656e9,8.213010871306647e9,5.742801204778668e9,4.232762811928684e8,4.2439911087783737e9,3.8147586642394924e9,5.015773231221125e9,1.0220894789091106e10,1.7416088441913128e10,8.493092195698111e9,4.1986153574345455e9,3.4706470097711363e9,8.245193551552399e9,1.0505147268772081e10,8.834050949607855e9,9.537007709648594e9,3.268270084144852e9,1.3412497606283567e10,4.277848933542905e9
cFix,1.3701825448406004e11,4.0970211598300004e9,2.2603161052e9,1.97543846401e9,7.80759497088e9,4.51634393509e9,6.515591124429999e9,2.92366465857e9,3.1997589216199994e9,7.06189165634e9,5.60370000452e9,8.320367999000001e7,3.6984932330599995e9,2.48847183594e9,4.0274622427599998e9,6.22152631488e9,1.1642320378019999e10,8.45873497845e9,4.0559858823700004e9,3.39494101695e9,7.7885249438e9,7.64139211571e9,7.14212592316e9,5.97564486143e9,2.7090653803100004e9,1.167337299311e10,4.0556677036299996e9
cVar,6.643476910503288e9,2.422196659312515e7,6.252208016070467e7,6.203675424647302e7,1.0347573321611674e9,1.6356588141855097e8,8.420653240847619e7,1.4351220685210603e8,2.4827333229331988e8,1.5896022027920976e8,2.3803518600883305e7,4.019235937718039e7,1.0142725655697836e8,2.8443421274181855e8,1.483973011992215e8,6.396386654632573e8,1.3882707285269434e9,2.9068989706470435e6,2.9917213915282287e7,1.6296971213460026e7,5.12249674561832e7,6.155519577798356e8,3.088046435392988e8,6.474077707132026e8,1.0241451309108993e8,2.3447771816357598e8,2.6253906780825514e7
cFuel,2.5525704273962074e10,1.9648842559918416e8,4.55414330852437e8,5.0925174115386444e8,3.4276727026635337e9,8.402972549269323e8,3.582419532126181e8,5.556394389526614e8,1.2108345884805408e9,8.024328172358621e8,1.0182247331702086e8,2.4042707864499602e8,3.628734437694078e8,9.552323865016347e8,7.186699303676683e8,2.822580512953458e9,3.7626939027769856e9,2.399665688816988e7,1.0157178832961354e8,5.20729065975973e7,3.4369632091210145e8,2.018826438732931e9,1.240289882263454e9,2.544671087133739e9,4.10099476228756e8,1.299411412266239e9,1.7049532320132715e8
cNSE,9.218393912279531e7,21616.272256930442,21713.579705091015,21469.127939427606,21974.10792874903,9.164185994588329e7,21717.960573480737,21657.4067933593,21692.56529911723,21693.51601839936,21263.869102390036,21764.65949377395,21284.698669133504,21820.1448997528,21877.081175357165,21970.148899446707,21637.671718144888,21733.28373283015,21770.482121341072,21704.404959807347,21846.221729289577,21769.25166905024,21449.800066913474,21739.506575747102,21396.603992086766,21862.346176088853,21654.465415970506
cStart,4.1394097552708244e9,3.65302566236853e7,8.329884561545385e7,7.641595726038042e7,6.315575572814343e8,1.8855754555464426e8,4.357827493261621e7,1.0731294555400184e8,1.543531585474966e8,1.8970448393555745e8,1.3453944471661726e7,5.943139852119813e7,8.117589069331881e7,8.659840891113922e7,1.2122187981306022e8,5.371273256454909e8,6.22781794917485e8,7.431928105560884e6,1.1118702337527389e7,7.31441060511892e6,6.172547316238415e7,2.2935498729764572e8,1.4280905084503427e8,3.692622508650745e8,4.666931791101404e7,2.0521362039757463e8,2.541034546533655e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,7.395114257502452e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
