Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,0.0,0.0,0.0
BASN_biomass_2,1,0.0,0.0,0.0
BASN_conventional_hydroelectric_1,1,4.862525448333198e6,1478.29,0.3765213635495453
BASN_conventional_steam_coal_1,1,0.0,0.0,0.0
BASN_conventional_steam_coal_2,1,57760.11087793574,643.34,0.010277200708479203
BASN_geothermal_1,1,506033.50626584195,67.8,0.854352224859129
BASN_natural_gas_fired_combined_cycle_1,1,161384.20497407872,411.35,0.04490936352642095
BASN_natural_gas_fired_combined_cycle_2,1,8.511903412998391e6,6758.21,0.14417248326917598
BASN_natural_gas_fired_combustion_turbine_1,1,218431.33580312456,1460.91,0.017115076886187984
BASN_natural_gas_fired_combustion_turbine_2,1,33923.84853139444,224.39,0.01730569285530762
BASN_natural_gas_internal_combustion_engine_1,1,75323.29687073495,193.34,0.04459590493867902
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,877113.2980655376,520.0,0.19308108315404374
BASN_petroleum_liquids_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,1.3478774400000146e6,154.29,1.0000000000000109
BASN_solar_photovoltaic_1,1,7.574549862234854e6,4274.18,0.20285765260069008
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,0.0,0.0,0.0
CANO_biomass_2,2,1.1424940800000604e6,130.78,1.0000000000000528
CANO_conventional_hydroelectric_1,2,1.393093195199485e7,5338.54,0.29870675531847135
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,6.186047624540481e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,1.4744535152392157e6,2491.5,0.06774193040399702
CANO_natural_gas_fired_combined_cycle_2,2,1.7225405888082065e7,7882.05,0.2501598761773962
CANO_natural_gas_fired_combustion_turbine_1,2,353737.584517561,1895.15,0.02136608691643626
CANO_natural_gas_fired_combustion_turbine_2,2,194836.73271663673,954.17,0.023373968528561013
CANO_natural_gas_internal_combustion_engine_1,2,186163.62273136413,412.22,0.051695547279290995
CANO_natural_gas_steam_turbine_1,2,0.0,0.0,0.0
CANO_nuclear_1,2,0.0,0.0,0.0
