Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.7426063589269016e11,4.561833306157567e9,3.168323639188956e9,2.680943632973137e9,1.251764594605414e10,5.95468983510047e9,6.961303198503428e9,3.568997349601178e9,4.646403716714197e9,7.977986367535894e9,5.859540114567097e9,2.8950796046191293e8,4.2234053609480453e9,3.6282751438329883e9,4.875371003303147e9,9.738984656425055e9,1.6611662132289904e10,8.796718689334225e9,4.2547043036997495e9,3.5043321497251773e9,8.213462615759032e9,1.024016181331119e10,8.482058694859248e9,9.041799310516418e9,3.2945412992802286e9,1.3106864785411848e10,4.313163384855911e9
cFix,1.3963790555085e11,4.27630774088e9,2.3129153554800005e9,1.9604478445e9,7.96389473759e9,4.65804019299e9,6.589977595290001e9,2.95512791862e9,3.2430219691599994e9,7.18757651267e9,5.69999288664e9,8.910208265e7,3.74659780113e9,2.50155940187e9,4.06729053355e9,6.337152280610001e9,1.1827732161050001e10,8.77526695218e9,4.1492598360299997e9,3.4519123674900002e9,7.93548177092e9,7.745631952500001e9,7.221467726539999e9,5.992325077009999e9,2.7624392755099998e9,1.204187271135e10,4.1455108666399994e9
cVar,6.386745249418111e9,3.1688001737322506e7,1.0028058711030076e8,8.024662280187376e7,1.0562748027403325e9,1.8749273968259656e8,7.235168813098332e7,1.2996083864752571e8,2.3541451965186575e8,1.3310352893005504e8,3.5503733025286935e7,2.9858782813409552e7,1.0394023775176442e8,2.609692038107907e8,1.3948011503186756e8,6.305784441006994e8,1.3226202716408467e9,2.345346295101024e6,2.447910706957369e7,1.317122422582181e7,3.626539923457838e7,5.933730239545686e8,2.5855912195565975e8,6.154595752124029e8,1.0011695955581081e8,1.7081672699659446e8,2.239464731097106e7
cFuel,2.437043710756561e10,2.5376790932850623e8,7.550586588907284e8,6.401757497004726e8,3.497406911845533e9,9.932494737952256e8,2.989036350788319e8,4.838352983001177e8,1.1678984073541787e9,6.57233333676465e8,1.2396759716371222e8,1.7047554301870933e8,3.728004640265399e8,8.656722167506984e8,6.685300078394141e8,2.771176574166338e9,3.4612337895432177e9,1.9056756408389702e7,8.090573033812381e7,3.919640384069651e7,2.4165970526411128e8,1.9010854663919961e9,1.0019588153561399e9,2.433942166115916e9,4.3191295390168667e8,8.940962946303928e8,1.4523724483756492e8
cNSE,1.1759250257784024e8,69654.21173749605,69037.70792614785,73415.97079100978,69493.87827656009,1.159074286326468e8,70280.00361233875,73294.03353450248,68820.54815251006,72992.2593748534,75897.73809627701,71551.97979404006,66858.03974071956,74321.4014993624,70346.88186649828,77357.54801754492,75910.05584385991,49634.45073292537,59630.26205136906,52154.16865900252,55740.34034241933,71370.4646246335,73031.00745099375,72492.17810049473,72110.3127312925,79052.43485947649,20626.067376941828
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,3.747955482278949e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
