Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,2.6307163302812656e11,6.879467814907995e9,6.18614950875548e9,1.0589605605184973e10,1.6007661153303839e10,1.1766156286296877e10,1.2366545754579515e10,6.651937637802671e9,1.0325983462198322e10,1.5292768372351522e10,8.81625723107638e9,7.80629221258167e9,3.562735657254287e9,5.460628139254803e9,5.385103505836569e9,1.6735339571507742e10,1.951754131991222e10,5.485741669028794e9,4.391710110892383e9,2.4478004006068597e9,5.854222154658952e9,1.3129326383854286e10,1.1215782727833027e10,1.5644902033477322e10,7.464164986158873e9,2.0688760103867733e10,1.2084695487776544e9
cFix,2.044702317378999e11,6.508876748900001e9,5.0038398369e9,6.9760136543e9,1.03986085763e10,1.02826774409e10,9.9523731155e9,4.8746597702e9,7.749009498899999e9,1.26028394164e10,8.1763068643e9,6.999456232e9,3.1703050486e9,4.303681471e9,4.814202402000001e9,1.4126334081e10,1.37676965874e10,5.4022945482e9,4.0130708352999997e9,2.3480123967e9,5.5537743722e9,9.5002166479e9,9.4510470023e9,1.1894305696e10,6.793128887999999e9,1.8737190030699997e10,1.0703105760000001e9
cVar,1.1706136098400465e10,3.62143496977006e7,2.470532201911484e8,9.998410594818735e8,1.3596637302985327e9,1.592280074012529e8,7.465410467221919e8,5.496759786598309e8,6.56654774906998e8,8.12801742734259e8,1.665234147241146e8,1.7776364534306365e8,8.999539644064736e7,3.016938304056645e8,1.297979467694613e8,5.381663950135472e8,1.7412521262220373e9,8.624149371044615e6,1.0146244230056037e8,1.8474077173886854e7,3.769238454660445e7,9.182426604967837e8,4.339366716132996e8,8.956291371641679e8,1.1694028698863758e8,4.44538941784986e8,1.772868194540563e7
cFuel,3.456371534182992e10,3.3431626650783736e8,9.351977977038153e8,2.613689486509811e9,4.249328831985803e9,1.1847794483608544e9,1.6675722961899443e9,1.227542591825939e9,1.9202622132144356e9,1.8770655329141955e9,4.733574133519509e8,6.290079830212432e8,3.023739324365196e8,8.551936457523853e8,4.4104326932516927e8,2.0707690239812646e9,4.0085258875421023e9,7.476693245481452e7,2.771181189919197e8,8.125574004663101e7,2.6270163270164648e8,2.7108057226935163e9,1.330737170819774e9,2.854905627150438e9,5.540363321534415e8,1.5069614506194596e9,1.2040099356886794e8
cNSE,1.4097017383927888e8,60449.80245735829,58653.96051657451,61404.893288085244,60014.71950372524,1.3947138963476917e8,59296.167380301515,59297.116902570866,56975.176890556606,61680.30306805356,69538.70031168111,64352.217361947376,61279.77712013316,59192.09675397979,59887.74193687259,70071.51293194055,66718.74807845228,56039.00293611005,58714.29990335625,58186.68634130607,53765.21070166139,61352.76398726559,61883.099954392404,61573.16271537302,59479.016794922696,69680.76329225322,29297.263380609373
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,1.219057967613134e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
