Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,3.275730397256647e11,8.811791349462572e9,8.344224828094643e9,1.5177128250617216e10,1.902297674922401e10,1.2501834831450127e10,1.3938775835692312e10,7.264725833081526e9,1.1525846148892757e10,1.6963338974494e10,1.319696480907567e10,8.810568723007446e9,3.7835491635490932e9,6.107492075691459e9,6.459908534495797e9,1.904339297945636e10,2.1134944722306767e10,6.527138217619477e9,4.673112879438742e9,3.050144671955143e9,6.796046101913468e9,1.561534384516178e10,1.3493826074038317e10,1.8168298211904404e10,9.735852452778482e9,2.4179861238047203e10,1.0163619816103984e9
cFix,2.4031145975799994e11,8.219309495700001e9,6.663425499900001e9,9.939341420900002e9,1.24708421493e10,1.10284788068e10,1.09370662574e10,5.294218639200001e9,8.7221685011e9,1.40805267124e10,1.14122091789e10,7.879540936e9,3.4363799627999997e9,4.943275016999999e9,5.8866926475e9,1.65519257764e10,1.4728051432199999e10,6.3832377041e9,4.2768809170000005e9,2.8227010577999997e9,6.542729732400001e9,1.13670671752e10,1.12336000348e10,1.39703401189e10,9.0038206736e9,2.16220619517e10,8.955679590000002e8
cVar,1.432823763765213e10,4.842986603731158e7,3.660217400172462e8,1.4742327167749014e9,1.6242440318282692e9,1.5767788870837107e8,9.788481551906838e8,6.394490999341667e8,7.353036890717627e8,8.928639419898082e8,4.498234155390454e8,2.171125928300541e8,7.136491919867393e7,3.17383048360493e8,1.408266625087952e8,5.217058216850679e8,2.0324540060695143e9,1.399747889606689e7,1.0927965566302244e8,2.8924407484548077e7,3.3532282158456758e7,1.0943710425843716e9,5.87441749574727e8,1.0127034177976204e9,1.1993449088577646e8,6.444048254886067e8,1.5906691376822164e7
cFuel,4.053500991950198e10,5.440420563537936e8,1.3147679396788568e9,3.763543701729753e9,4.927879060826348e9,1.1472025702480707e9,2.0228503133033266e9,1.3310489295644073e9,2.0683631926798072e9,1.989936739456226e9,1.3349205403599248e9,7.139054968176103e8,2.7579534073872155e8,8.468246868500319e8,4.323799553856654e8,1.9697462886534162e9,4.374426496228098e9,1.2989346815327644e8,2.86942797589215e8,1.985101620412344e8,2.1977438362509212e8,3.153894581442566e9,1.6727731964428384e9,3.1852429910680146e9,6.120869152018629e8,1.9133791365405617e9,1.0487897852693112e8
cNSE,1.6874216789932546e8,9931.371466880395,9648.49853793002,10411.21255993713,11507.269392038002,1.6847556569368422e8,11109.79830038991,9164.382950908917,10766.04118558808,11580.647961275621,11674.276701199518,9697.359781317882,8940.811697768204,9323.480934503294,9269.10133662532,15092.717874241722,12787.80915665451,9566.470134611498,9509.18650331372,9044.62936128003,9703.729919012025,11045.934840222695,11093.220752331395,11684.138771145339,10373.090844000131,15324.318033382171,8352.706644925087
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,3.222959024260639e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
