model,zone,planning_year,case,unit,value
USENSYS,BASN,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,2397846
USENSYS,CANO,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,5420377
USENSYS,CASO,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,4843317
USENSYS,FRCC,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,23279584
USENSYS,ISNE,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,8472179
USENSYS,MISC,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,2947125
USENSYS,MISE,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,5191411
USENSYS,MISS,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,10820970
USENSYS,MISW,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,6357853
USENSYS,NWPP,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,1083222
USENSYS,NYCW,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,4200646
USENSYS,NYUP,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,4469748
USENSYS,PJMC,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,4266492
USENSYS,PJMD,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,5635766
USENSYS,PJME,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,28577684
USENSYS,PJMW,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,19185920
USENSYS,RMRG,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,415376
USENSYS,SPPC,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,487308
USENSYS,SPPN,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,329816
USENSYS,SPPS,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,3431174
USENSYS,SRCA,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,8365136
USENSYS,SRCE,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,6374865
USENSYS,SRSE,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,12818795
USENSYS,SRSG,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,2603616
USENSYS,TRE,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,12566891
USENSYS,TRE_WEST,2030,26z-short-no-200_w10_h168_1680w_myopic,tons,1456881
