model,line_name,planning_year,case,unit,value
USENSYS,BASN_to_CANO,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_CASO,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_NWPP,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_RMRG,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_SRSG,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_CASO,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_NWPP,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,723
USENSYS,CASO_to_NWPP,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,CASO_to_SRSG,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,5110
USENSYS,FRCC_to_SRSE,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,1020
USENSYS,ISNE_to_NYCW,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,360
USENSYS,ISNE_to_NYUP,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,4370
USENSYS,MISC_to_MISS,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_MISW,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMC,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMW,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,8878
USENSYS,MISC_to_SPPC,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,10065
USENSYS,MISC_to_SPPS,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,9892
USENSYS,MISC_to_SRCE,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISE_to_PJMW,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SPPS,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,16970
USENSYS,MISS_to_SRCE,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SRSE,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,8588
USENSYS,MISW_to_NWPP,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISW_to_PJMC,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,4914
USENSYS,MISW_to_SPPN,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,NWPP_to_RMRG,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,4559
USENSYS,NYCW_to_NYUP,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,2023
USENSYS,NYCW_to_PJME,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,5027
USENSYS,NYUP_to_PJME,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,4677
USENSYS,PJMC_to_PJMW,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,7303
USENSYS,PJMD_to_PJME,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,5468
USENSYS,PJMD_to_PJMW,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,PJMD_to_SRCA,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,PJME_to_PJMW,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,5171
USENSYS,PJMW_to_SRCA,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,PJMW_to_SRCE,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,920
USENSYS,RMRG_to_SPPC,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,10000
USENSYS,RMRG_to_SPPN,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,3181
USENSYS,RMRG_to_SRSG,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,3476
USENSYS,SPPC_to_SPPN,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,466
USENSYS,SPPC_to_SPPS,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,309
USENSYS,SPPS_to_SRSG,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,5920
USENSYS,SPPS_to_TRE,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,10000
USENSYS,SPPS_to_TRE_WEST,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,7884
USENSYS,SRCA_to_SRCE,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,887
USENSYS,SRCA_to_SRSE,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,SRCE_to_SRSE,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,TRE_to_TRE_WEST,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_MISE,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,5425
USENSYS,MISC_to_SPPN,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,3328
USENSYS,MISE_to_MISW,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,22
USENSYS,MISS_to_SPPC,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,5316
USENSYS,MISW_to_SPPC,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,362
USENSYS,NWPP_to_SPPN,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,168
USENSYS,SPPN_to_SPPS,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,5785
USENSYS,SRSG_to_TRE,2030,26z-short-no-200_w10_h168_1680w_myopic,MW,4301
USENSYS,BASN_to_CANO,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_CASO,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_NWPP,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_RMRG,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,1267
USENSYS,BASN_to_SRSG,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_CASO,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_NWPP,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,527
USENSYS,CASO_to_NWPP,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,CASO_to_SRSG,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,4345
USENSYS,FRCC_to_SRSE,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,3529
USENSYS,ISNE_to_NYCW,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,195
USENSYS,ISNE_to_NYUP,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,6127
USENSYS,MISC_to_MISE,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,1011
USENSYS,MISC_to_MISS,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_MISW,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMC,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMW,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,12205
USENSYS,MISC_to_SPPC,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,4459
USENSYS,MISC_to_SPPN,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,6916
USENSYS,MISC_to_SPPS,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,9567
USENSYS,MISC_to_SRCE,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISE_to_MISW,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISE_to_PJMW,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SPPC,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,196
USENSYS,MISS_to_SPPS,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,16970
USENSYS,MISS_to_SRCE,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SRSE,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,8233
USENSYS,MISW_to_NWPP,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISW_to_PJMC,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,8120
USENSYS,MISW_to_SPPC,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,273
USENSYS,MISW_to_SPPN,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,NWPP_to_RMRG,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,NYCW_to_NYUP,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,NYCW_to_PJME,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,3527
USENSYS,NYUP_to_PJME,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,5741
USENSYS,PJMC_to_PJMW,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,5782
USENSYS,PJMD_to_PJME,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,1134
USENSYS,PJMD_to_PJMW,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,PJMD_to_SRCA,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,963
USENSYS,PJME_to_PJMW,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,22045
USENSYS,PJMW_to_SRCA,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,PJMW_to_SRCE,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,2406
USENSYS,RMRG_to_SPPC,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,2021
USENSYS,RMRG_to_SPPN,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,2105
USENSYS,RMRG_to_SRSG,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,2778
USENSYS,SPPC_to_SPPN,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,540
USENSYS,SPPC_to_SPPS,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,1907
USENSYS,SPPN_to_SPPS,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,1312
USENSYS,SPPS_to_SRSG,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,2818
USENSYS,SPPS_to_TRE,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,8048
USENSYS,SPPS_to_TRE_WEST,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,7123
USENSYS,SRCA_to_SRCE,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,1802
USENSYS,SRCA_to_SRSE,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,SRCE_to_SRSE,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,TRE_to_TRE_WEST,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,NWPP_to_SPPN,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,SRSG_to_TRE,2040,26z-short-no-200_w10_h168_1680w_myopic,MW,3849
USENSYS,BASN_to_CANO,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_CASO,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_NWPP,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_RMRG,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_SRSG,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_CASO,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_NWPP,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,1479
USENSYS,CASO_to_NWPP,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,CASO_to_SRSG,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,5525
USENSYS,FRCC_to_SRSE,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,3114
USENSYS,ISNE_to_NYCW,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,464
USENSYS,ISNE_to_NYUP,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,3048
USENSYS,MISC_to_MISE,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,5112
USENSYS,MISC_to_MISS,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_MISW,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMC,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMW,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,3037
USENSYS,MISC_to_SPPC,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,8115
USENSYS,MISC_to_SPPN,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,2588
USENSYS,MISC_to_SPPS,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,6079
USENSYS,MISC_to_SRCE,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISE_to_PJMW,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SPPC,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,8824
USENSYS,MISS_to_SPPS,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,16970
USENSYS,MISS_to_SRCE,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SRSE,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,10000
USENSYS,MISW_to_NWPP,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISW_to_PJMC,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,3828
USENSYS,MISW_to_SPPC,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISW_to_SPPN,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,NWPP_to_RMRG,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,6057
USENSYS,NYCW_to_NYUP,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,NYCW_to_PJME,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,8419
USENSYS,NYUP_to_PJME,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,3337
USENSYS,PJMC_to_PJMW,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,9253
USENSYS,PJMD_to_PJME,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,9500
USENSYS,PJMD_to_PJMW,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
USENSYS,PJMD_to_SRCA,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,499
USENSYS,PJME_to_PJMW,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,6859
USENSYS,PJMW_to_SRCA,2050,26z-short-no-200_w10_h168_1680w_myopic,MW,0
