Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,3.02833638449493e11,6.399939710231251e9,4.624696339212835e9,7.273948621524345e9,1.1874824430725437e10,1.0027926793201866e10,8.960301314946476e9,4.782457283978437e9,7.188360236050887e9,1.1366284521040768e10,7.4232356097895975e9,1.82535659301539e9,3.5973423179991612e9,4.690953536401386e9,5.020977411764564e9,1.492299786946345e10,1.3351169146052052e10,5.424087025643879e9,3.5628591545867295e9,2.518541001454435e9,6.975025300337454e9,1.0798366196962679e10,1.028442571517082e10,1.1299100829976244e10,6.055770728992271e9,1.5839794909839357e10,3.429279171981948e9
cFix,1.3656348586271988e11,4.69576274199e9,2.4964401319100003e9,3.4959260969900002e9,5.626987195480001e9,6.65470664199e9,7.088670078080001e9,3.11035127069e9,4.17485349434e9,8.04170217438e9,6.46748806251e9,7.920295775799998e8,2.85526073605e9,2.97154887143e9,3.79777734816e9,8.29073195175e9,8.547919857090001e9,5.10463811368e9,3.23582283386e9,2.2820920290099998e9,5.886412582509999e9,6.975742247969999e9,7.703541101220001e9,7.000201512649999e9,4.36628516258e9,1.1897390782489998e10,3.0032032663300004e9
cVar,7.062116621855221e9,1.2126246647469114e8,1.851426772498527e8,2.64806660121741e8,6.25322077964493e8,3.048044364222838e8,1.9601355037455916e8,1.6256866427715042e8,3.771021911744067e8,3.2885495223163277e8,1.078629005061397e8,9.160298912622899e7,1.3159815687995246e8,3.3186438638961965e8,1.6700846470235705e8,8.677456665644724e8,5.736798430269997e8,2.4310228869607296e7,4.852607791502763e7,3.185016967079765e7,1.0328475808501033e8,4.948915559280253e8,3.5302933093921447e8,5.1099376920777315e8,1.9291384644225436e8,4.221354255481853e8,4.294137576116874e7
cFuel,4.6155191073275696e10,1.2922934600342598e9,1.6316206510114136e9,2.931093679535893e9,4.715718918872296e9,2.465773830321247e9,1.3538429472648346e9,1.2099509485796368e9,2.1542105311760874e9,2.4507688579742036e9,7.181735170825014e8,7.629401413243433e8,5.1999102334244424e8,1.1987464737551467e9,8.593980077190486e8,5.032854848875624e9,3.5788871438286343e9,2.142048400306495e8,2.2338199743248832e8,1.5073343544717053e8,7.33859741155228e8,2.8165008792052684e9,1.8198658583593528e9,3.1076828961862454e9,1.2314725069872975e9,2.6794543266346183e9,3.0176961113676727e8
cNSE,3.8653288055709714e8,39330.97076309237,41490.63902231204,40705.09003570841,37630.199253578845,3.6465185653682864e8,38110.67551751369,40313.09211239809,37578.95164018486,38591.246958554446,40699.14027185455,2.094805350639323e7,38939.883248566475,40231.87992012338,40614.78850875032,40539.13317647992,39067.05394372539,37909.559959938066,38224.5469110976,38188.77515713938,37373.24941621685,39984.19573892891,39153.338301194926,38219.20895707359,37939.23378439282,36661.55327095431,35474.10800395868
cStart,9.350695331940077e9,2.9058171076153666e8,3.114513884025465e8,5.820814797866758e8,9.067586082093925e8,2.3799002793150583e8,3.21736628551562e8,2.9954608733953846e8,4.8215644040875363e8,5.449199452079729e8,1.2967043055068468e8,1.5783583147842458e8,9.045346184351587e7,1.887535729467011e8,1.967529763946499e8,7.316248631401752e8,6.506432350524764e8,8.089593350366238e7,5.5090020832302414e7,5.382717855130971e7,2.514308453377992e8,5.111915296636488e8,4.079502713139524e8,6.801844327232685e8,2.6506127374893475e8,8.407777136132841e8,8.132944464600724e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,5.617120245571452e7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,1.0325944547671419e11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
