Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,2.3392301471156454e11,6.300622533447754e9,4.310640673751407e9,7.219218584192983e9,1.21401810876995e10,1.0070152732357721e10,8.90166875707477e9,4.908812010116262e9,6.414873529467586e9,1.1730004494210306e10,7.231663521081066e9,3.2613193937445974e9,3.437737449203821e9,5.011256684169115e9,4.786031335829413e9,1.4248910625806984e10,1.4094586498573824e10,5.528341465065725e9,3.895167471019617e9,2.2805393415846467e9,8.654331217216223e9,1.1074054054523382e10,1.0135267187054178e10,1.2106453749989487e10,6.534406310340378e9,1.5724164111786245e10,3.1294107047081137e9
cFix,1.3682971966282002e11,5.07684351708e9,2.35523721299e9,3.70347487134e9,6.09233458158e9,6.677656769619999e9,6.8135793654e9,3.1127410540600004e9,3.4229888004300003e9,7.96208529106e9,5.73261010204e9,1.3381253038399997e9,2.71956356003e9,2.9474129859000006e9,3.69246428868e9,7.998804062449999e9,8.74787096565e9,5.128478253510001e9,3.52997034261e9,2.0188644028999999e9,7.60272224546e9,7.04518349087e9,7.504688363740001e9,6.620334303489999e9,4.70202171876e9,1.158904858251e10,2.6946152268199997e9
cVar,7.694972719063112e9,9.905181031770529e7,1.8833396861346117e8,2.6671754761067086e8,6.188903640429596e8,3.0755368777490073e8,2.300534331578822e8,1.953086042347608e8,3.977752797356936e8,3.903405804305434e8,1.202558245756949e8,1.7401431227635777e8,1.3458632515262714e8,3.6930103270669013e8,1.648692248085241e8,8.95077351180358e8,6.596386694948683e8,3.4239655550606914e7,5.1890181961050354e7,3.484293588500576e7,1.134673695045676e8,5.1505520153784674e8,3.7941235075719166e8,6.197008797663468e8,2.061216117728502e8,4.799847381856372e8,4.848977802864956e7
cFuel,5.1807820187870636e10,8.422914337684627e8,1.5627964532702677e9,2.936763424219845e9,4.827574692291525e9,2.4754030212061644e9,1.5987328778349814e9,1.5126485892581096e9,2.340105158298326e9,3.0124266330740356e9,7.654904284229724e8,1.4692164468605833e9,5.600045174685227e8,1.4907626102148101e9,8.563520063163602e8,5.143565419361394e9,4.39117114937685e9,2.876145373824482e8,2.60680738687283e8,1.8276062401276487e8,8.09109587836389e8,3.209017869887548e9,2.0222023697053323e9,4.348616555000513e9,1.39913113720257e9,3.163383865178761e9,3.3999804172841716e8
cNSE,1.6196927288660982e9,1.3869863570159742e8,12220.435559915497,6.0960166928852335e7,12350.619125809093,4.7852630556734806e8,11099.981766040873,11088.610312765215,10422.237821416524,6.1577450567700505e7,5.468560433036234e8,2.6456502157541996e8,10595.171873479734,10766.700969885853,11580.560146861968,2.7824118348686438e7,2.482861317885565e7,14253.717545228934,10112.842975850646,9563.237960989347,10886.711825878469,1.1917749714507624e6,3.1107594785313397e6,1.1385519279703155e7,10552.772750360758,12505.445350533322,10320.918358358027
cStart,5.177610225400279e9,1.437371365799877e8,2.0426081844211915e8,2.5130257409361485e8,6.013690991658856e8,1.3101294818930821e8,2.5929198070014194e8,8.810267395307802e7,2.5399386876574445e8,3.0357453907802635e8,6.645112273877554e7,1.5398309192236675e7,2.357245138079753e7,2.0376928864664483e8,7.233423546438178e7,1.8363967446654704e8,2.710771008732498e8,7.799476490512344e7,5.2616094918307684e7,4.4061815548915125e7,1.290211277034416e8,3.036057172565366e8,2.258533433731223e8,5.064164924529229e8,2.2712128983220816e8,4.9173442046649516e8,4.6297337212688655e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,3.0793199187530155e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
