resource_name,zone,tech_type,model,planning_year,case,unit,start_value,end_value,start_MWh,end_MWh
BASN_batteries_1,BASN,Battery,SWITCH,2030,base_short_50,MW,125.0,125.0,425.0,425.0
BASN_batteries_1,BASN,Battery,SWITCH,2030,base_short_50,MW,75.0,75.0,300.0,300.0
BASN_batteries_1,BASN,Battery,SWITCH,2030,base_short_50,MW,734.8,734.8,1469.6,1469.6
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short_50,MW,2.2245662,2.2245662,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short_50,MW,1.076403,1.076403,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short_50,MW,2.9062881,2.9062881,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short_50,MW,0.6458418,0.6458418,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short_50,MW,1.1481632,1.1481632,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short_50,MW,0.5023213999999999,0.5023213999999999,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short_50,MW,0.9328826,0.9328826,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short_50,MW,0.5023213999999999,0.5023213999999999,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short_50,MW,0.4664412999999999,0.4664412999999999,,
BASN_biomass_2,BASN,Other,SWITCH,2030,base_short_50,MW,0.4664412999999999,0.4664412999999999,,
BASN_biomass_2,BASN,Other,SWITCH,2030,base_short_50,MW,1.1122831,1.1122831,,
BASN_biomass_2,BASN,Other,SWITCH,2030,base_short_50,MW,0.358801,0.358801,,
BASN_biomass_2,BASN,Other,SWITCH,2030,base_short_50,MW,3.6597702,3.6597702,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,10.1,10.1,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,392.4,392.4,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,130.0,130.0,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,260.0,260.0,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,127.0,127.0,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,97.1,97.1,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,71.4,71.4,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,20.0,20.0,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,92.0,92.0,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,132.3,132.3,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,409.2,409.2,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,120.1,120.1,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,130.0,130.0,,
