model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
TEMOA,BASN,BASN_batteries_1,Battery,2030,base_short_50,all,MWh,785034
TEMOA,BASN,BASN_biomass_1,Other,2030,base_short_50,all,MWh,147724
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_short_50,all,MWh,8.42968e+06
TEMOA,BASN,BASN_conventional_steam_coal_2,Coal,2030,base_short_50,all,MWh,200554
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base_short_50,all,MWh,3.63711e+06
TEMOA,BASN,BASN_geothermal_1,Geothermal,2030,base_short_50,all,MWh,4.41828e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,base_short_50,all,MWh,9.72394e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,base_short_50,all,MWh,1.21317e+07
TEMOA,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2030,base_short_50,all,MWh,4.05735e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2030,base_short_50,all,MWh,3.91206e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2030,base_short_50,all,MWh,2.38804e+06
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_50,all,MWh,390767
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_50,all,MWh,2.97217e+07
TEMOA,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_50,all,MWh,30982.8
TEMOA,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base_short_50,all,MWh,3.73033e+06
TEMOA,BASN,BASN_small_hydroelectric_1,Hydro,2030,base_short_50,all,MWh,1.63451e+06
TEMOA,BASN,BASN_solar_photovoltaic_1,Solar,2030,base_short_50,all,MWh,1.65001e+07
TEMOA,BASN,BASN_utilitypv_class1_moderate_0,Solar,2030,base_short_50,all,MWh,4.96116e+06
TEMOA,BASN,BASN_utilitypv_class1_moderate_1,Solar,2030,base_short_50,all,MWh,5.26358e+06
TEMOA,BASN,BASN_utilitypv_class1_moderate_3,Solar,2030,base_short_50,all,MWh,3.15745e+06
TEMOA,BASN,BASN_utilitypv_class1_moderate_5,Solar,2030,base_short_50,all,MWh,8.24404e+06
TEMOA,CANO,CANO_batteries_1,Battery,2030,base_short_50,all,MWh,3.66328e+06
TEMOA,CANO,CANO_biomass_1,Other,2030,base_short_50,all,MWh,632447
TEMOA,CANO,CANO_biomass_2,Other,2030,base_short_50,all,MWh,1.11126e+06
TEMOA,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base_short_50,all,MWh,1.87852e+07
TEMOA,CANO,CANO_distributed_generation_1,Distributed Solar,2030,base_short_50,all,MWh,1.19145e+07
TEMOA,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,base_short_50,all,MWh,3.79458e+06
TEMOA,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_50,all,MWh,1.44081e+06
TEMOA,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_50,all,MWh,3.29246e+07
TEMOA,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_50,all,MWh,19212.4
TEMOA,CANO,CANO_onshore_wind_turbine_1,Wind,2030,base_short_50,all,MWh,3.02395e+06
TEMOA,CANO,CANO_small_hydroelectric_1,Hydro,2030,base_short_50,all,MWh,1.93737e+06
TEMOA,CANO,CANO_solar_photovoltaic_1,Solar,2030,base_short_50,all,MWh,1.39604e+07
TEMOA,CANO,CANO_utilitypv_class1_moderate_0,Solar,2030,base_short_50,all,MWh,1.96823e+07
TEMOA,CANO,CANO_utilitypv_class1_moderate_1,Solar,2030,base_short_50,all,MWh,1.28167e+07
TEMOA,CASO,CASO_batteries_1,Battery,2030,base_short_50,all,MWh,1.19844e+07
TEMOA,CASO,CASO_biomass_1,Other,2030,base_short_50,all,MWh,841223
