model,line,line_name,planning_year,case,unit,value
TEMOA,12,ISNE_to_NYUP,2030,base_short_50,MW,1639.63
TEMOA,18,MISC_to_SPPC,2030,base_short_50,MW,3199.9
TEMOA,19,MISC_to_SPPN,2030,base_short_50,MW,215.017
TEMOA,20,MISC_to_SPPS,2030,base_short_50,MW,2329.67
TEMOA,24,MISS_to_SPPC,2030,base_short_50,MW,631.682
TEMOA,25,MISS_to_SPPS,2030,base_short_50,MW,10502.1
TEMOA,27,MISS_to_SRSE,2030,base_short_50,MW,280.623
TEMOA,34,NYCW_to_PJME,2030,base_short_50,MW,5838.87
TEMOA,36,PJMC_to_PJMW,2030,base_short_50,MW,400.021
TEMOA,37,PJMD_to_PJME,2030,base_short_50,MW,2813.72
TEMOA,43,RMRG_to_SPPC,2030,base_short_50,MW,5854.68
TEMOA,44,RMRG_to_SPPN,2030,base_short_50,MW,1774.04
TEMOA,45,RMRG_to_SRSG,2030,base_short_50,MW,2270.51
TEMOA,48,SPPN_to_SPPS,2030,base_short_50,MW,3693.73
TEMOA,49,SPPS_to_SRSG,2030,base_short_50,MW,4135.95
TEMOA,50,SPPS_to_TRE,2030,base_short_50,MW,3885.13
TEMOA,51,SPPS_to_TRE_WEST,2030,base_short_50,MW,7738.68
TEMOA,57,SRSG_to_TRE,2030,base_short_50,MW,7898.6
TEMOA,4,BASN_to_RMRG,2040,base_short_50,MW,3704.31
TEMOA,9,CASO_to_SRSG,2040,base_short_50,MW,8269.19
TEMOA,12,ISNE_to_NYUP,2040,base_short_50,MW,1878.03
TEMOA,13,MISC_to_MISE,2040,base_short_50,MW,2288.7
TEMOA,17,MISC_to_PJMW,2040,base_short_50,MW,6847.96
TEMOA,18,MISC_to_SPPC,2040,base_short_50,MW,8108.28
TEMOA,20,MISC_to_SPPS,2040,base_short_50,MW,7028.67
TEMOA,24,MISS_to_SPPC,2040,base_short_50,MW,549.921
TEMOA,25,MISS_to_SPPS,2040,base_short_50,MW,16969.9
TEMOA,27,MISS_to_SRSE,2040,base_short_50,MW,10000
TEMOA,29,MISW_to_PJMC,2040,base_short_50,MW,1479.18
TEMOA,32,NWPP_to_RMRG,2040,base_short_50,MW,1733.21
TEMOA,34,NYCW_to_PJME,2040,base_short_50,MW,5342.72
TEMOA,35,NYUP_to_PJME,2040,base_short_50,MW,3924.83
TEMOA,36,PJMC_to_PJMW,2040,base_short_50,MW,3640.65
TEMOA,37,PJMD_to_PJME,2040,base_short_50,MW,6089.7
TEMOA,39,PJMD_to_SRCA,2040,base_short_50,MW,3899.06
TEMOA,40,PJME_to_PJMW,2040,base_short_50,MW,7054.95
TEMOA,43,RMRG_to_SPPC,2040,base_short_50,MW,1915.36
TEMOA,44,RMRG_to_SPPN,2040,base_short_50,MW,1624
TEMOA,45,RMRG_to_SRSG,2040,base_short_50,MW,1451.41
TEMOA,46,SPPC_to_SPPN,2040,base_short_50,MW,567.511
TEMOA,47,SPPC_to_SPPS,2040,base_short_50,MW,898.989
TEMOA,49,SPPS_to_SRSG,2040,base_short_50,MW,10100
TEMOA,50,SPPS_to_TRE,2040,base_short_50,MW,5665.41
TEMOA,51,SPPS_to_TRE_WEST,2040,base_short_50,MW,471.952
TEMOA,56,NWPP_to_SPPN,2040,base_short_50,MW,1064.73
TEMOA,57,SRSG_to_TRE,2040,base_short_50,MW,2087.35
TEMOA,6,CANO_to_CASO,2050,base_short_50,MW,332.833
TEMOA,7,CANO_to_NWPP,2050,base_short_50,MW,553.743
TEMOA,9,CASO_to_SRSG,2050,base_short_50,MW,3737.92
TEMOA,10,FRCC_to_SRSE,2050,base_short_50,MW,4935.78
TEMOA,13,MISC_to_MISE,2050,base_short_50,MW,752.412
TEMOA,17,MISC_to_PJMW,2050,base_short_50,MW,4274.91
TEMOA,18,MISC_to_SPPC,2050,base_short_50,MW,1571.3
TEMOA,19,MISC_to_SPPN,2050,base_short_50,MW,613.835
TEMOA,20,MISC_to_SPPS,2050,base_short_50,MW,7463.25
TEMOA,24,MISS_to_SPPC,2050,base_short_50,MW,1127.54
TEMOA,25,MISS_to_SPPS,2050,base_short_50,MW,13605.3
TEMOA,27,MISS_to_SRSE,2050,base_short_50,MW,9999.99
TEMOA,29,MISW_to_PJMC,2050,base_short_50,MW,2926.43
TEMOA,30,MISW_to_SPPC,2050,base_short_50,MW,179.081
TEMOA,32,NWPP_to_RMRG,2050,base_short_50,MW,3163.24
TEMOA,34,NYCW_to_PJME,2050,base_short_50,MW,1088.86
TEMOA,36,PJMC_to_PJMW,2050,base_short_50,MW,2785.85
TEMOA,40,PJME_to_PJMW,2050,base_short_50,MW,3830.33
TEMOA,43,RMRG_to_SPPC,2050,base_short_50,MW,1780.28
TEMOA,44,RMRG_to_SPPN,2050,base_short_50,MW,785.068
TEMOA,45,RMRG_to_SRSG,2050,base_short_50,MW,1065.56
TEMOA,48,SPPN_to_SPPS,2050,base_short_50,MW,713.189
TEMOA,49,SPPS_to_SRSG,2050,base_short_50,MW,2360.92
TEMOA,50,SPPS_to_TRE,2050,base_short_50,MW,3839.71
TEMOA,51,SPPS_to_TRE_WEST,2050,base_short_50,MW,699.005
TEMOA,52,SRCA_to_SRCE,2050,base_short_50,MW,1182.41
TEMOA,56,NWPP_to_SPPN,2050,base_short_50,MW,728.988
