model,zone,planning_year,case,unit,value
USENSYS,BASN,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,8296743
USENSYS,BASN,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,12758171
USENSYS,BASN,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,15534268
USENSYS,CANO,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,15629952
USENSYS,CANO,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,20757179
USENSYS,CANO,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,22153340
USENSYS,CASO,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,21898784
USENSYS,CASO,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,41581876
USENSYS,CASO,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,51390101
USENSYS,FRCC,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,41603309
USENSYS,FRCC,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,56876677
USENSYS,FRCC,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,65529552
USENSYS,ISNE,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,22351759
USENSYS,ISNE,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,36912107
USENSYS,ISNE,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,38550744
USENSYS,MISC,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,24533566
USENSYS,MISC,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,35682305
USENSYS,MISC,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,37881104
USENSYS,MISE,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,16966718
USENSYS,MISE,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,23050851
USENSYS,MISE,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,25355095
USENSYS,MISS,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,26045986
USENSYS,MISS,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,37946939
USENSYS,MISS,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,42885083
USENSYS,MISW,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,31251557
USENSYS,MISW,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,42711525
USENSYS,MISW,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,43540935
USENSYS,NWPP,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,6600182
USENSYS,NWPP,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,12181943
USENSYS,NWPP,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,19949234
USENSYS,NYCW,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,27027918
USENSYS,NYCW,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,36517748
USENSYS,NYCW,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,40895363
USENSYS,NYUP,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,3751068
USENSYS,NYUP,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,4811936
USENSYS,NYUP,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,5983603
USENSYS,PJMC,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,8290931
USENSYS,PJMC,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,12114944
USENSYS,PJMC,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,12294481
USENSYS,PJMD,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,10171451
USENSYS,PJMD,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,11032537
USENSYS,PJMD,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,10279949
USENSYS,PJME,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,47131550
USENSYS,PJME,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,71383380
USENSYS,PJME,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,76554719
USENSYS,PJMW,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,48187226
USENSYS,PJMW,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,70633095
USENSYS,PJMW,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,74725236
USENSYS,RMRG,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,6253764
USENSYS,RMRG,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,10937408
USENSYS,RMRG,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,9104301
USENSYS,SPPC,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,8371758
USENSYS,SPPC,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,10539978
USENSYS,SPPC,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,9466209
USENSYS,SPPN,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,3498816
USENSYS,SPPN,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,5525670
USENSYS,SPPN,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,6680759
USENSYS,SPPS,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,13199686
USENSYS,SPPS,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,14428607
USENSYS,SPPS,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,13557106
USENSYS,SRCA,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,20864113
USENSYS,SRCA,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,31507594
USENSYS,SRCA,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,37126811
USENSYS,SRCE,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,16377816
USENSYS,SRCE,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,24597358
USENSYS,SRCE,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,26288891
USENSYS,SRSE,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,30394689
USENSYS,SRSE,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,43519036
USENSYS,SRSE,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,48872223
USENSYS,SRSG,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,11902116
USENSYS,SRSG,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,15018964
USENSYS,SRSG,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,18826789
USENSYS,TRE,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,48335541
USENSYS,TRE,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,56144526
USENSYS,TRE,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,53765946
USENSYS,TRE_WEST,2030,26z-short-base-50_w10_h168_1680w_myopic,tons,2319536
USENSYS,TRE_WEST,2040,26z-short-base-50_w10_h168_1680w_myopic,tons,2162479
USENSYS,TRE_WEST,2050,26z-short-base-50_w10_h168_1680w_myopic,tons,2058055
