model,line_name,planning_year,case,unit,value
USENSYS,RMRG_to_SPPC,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1282
USENSYS,RMRG_to_SPPN,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,2374
USENSYS,SPPC_to_SPPN,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,2127
USENSYS,SPPS_to_TRE_WEST,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,7547
USENSYS,SPPN_to_SPPS,2030,26z-short-base-50_w10_h168_1680w_myopic,MW,1512
USENSYS,MISS_to_SPPS,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,2708
USENSYS,NYCW_to_PJME,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,342
USENSYS,PJMD_to_PJME,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,5966
USENSYS,RMRG_to_SPPC,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1633
USENSYS,RMRG_to_SPPN,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,1456
USENSYS,SPPN_to_SPPS,2040,26z-short-base-50_w10_h168_1680w_myopic,MW,522
USENSYS,MISC_to_SPPC,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,736
USENSYS,MISS_to_SPPS,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1261
USENSYS,PJMD_to_PJME,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,2464
USENSYS,RMRG_to_SPPC,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,42
USENSYS,RMRG_to_SPPN,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,438
USENSYS,SPPN_to_SPPS,2050,26z-short-base-50_w10_h168_1680w_myopic,MW,1781
