model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_batteries_1,Battery,2030,26z-short-base-50_w10_h168_1680w_myopic,MWh,463403
USENSYS,BASN,BASN_batteries_1,Battery,2040,26z-short-base-50_w10_h168_1680w_myopic,MWh,818120
USENSYS,BASN,BASN_batteries_1,Battery,2050,26z-short-base-50_w10_h168_1680w_myopic,MWh,749777
USENSYS,BASN,BASN_battery_moderate_0,Battery,2050,26z-short-base-50_w10_h168_1680w_myopic,MWh,9485095
USENSYS,BASN,BASN_biomass_1,Other,2030,26z-short-base-50_w10_h168_1680w_myopic,MWh,138627
USENSYS,BASN,BASN_biomass_1,Other,2040,26z-short-base-50_w10_h168_1680w_myopic,MWh,104970
USENSYS,BASN,BASN_biomass_1,Other,2050,26z-short-base-50_w10_h168_1680w_myopic,MWh,70210
USENSYS,BASN,BASN_biomass_2,Other,2030,26z-short-base-50_w10_h168_1680w_myopic,MWh,72200
USENSYS,BASN,BASN_biomass_2,Other,2040,26z-short-base-50_w10_h168_1680w_myopic,MWh,69014
USENSYS,BASN,BASN_biomass_2,Other,2050,26z-short-base-50_w10_h168_1680w_myopic,MWh,48370
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,26z-short-base-50_w10_h168_1680w_myopic,MWh,8639043
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,26z-short-base-50_w10_h168_1680w_myopic,MWh,5973768
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,26z-short-base-50_w10_h168_1680w_myopic,MWh,5125184
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2040,26z-short-base-50_w10_h168_1680w_myopic,MWh,22239
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2050,26z-short-base-50_w10_h168_1680w_myopic,MWh,4590
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2030,26z-short-base-50_w10_h168_1680w_myopic,MWh,400779
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2040,26z-short-base-50_w10_h168_1680w_myopic,MWh,2163211
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2050,26z-short-base-50_w10_h168_1680w_myopic,MWh,381135
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2030,26z-short-base-50_w10_h168_1680w_myopic,MWh,3875746
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2040,26z-short-base-50_w10_h168_1680w_myopic,MWh,4763191
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2050,26z-short-base-50_w10_h168_1680w_myopic,MWh,4868532
USENSYS,BASN,BASN_geothermal_1,Geothermal,2030,26z-short-base-50_w10_h168_1680w_myopic,MWh,3782688
USENSYS,BASN,BASN_geothermal_1,Geothermal,2040,26z-short-base-50_w10_h168_1680w_myopic,MWh,2507232
USENSYS,BASN,BASN_geothermal_1,Geothermal,2050,26z-short-base-50_w10_h168_1680w_myopic,MWh,489216
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,26z-short-base-50_w10_h168_1680w_myopic,MWh,9906425
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2040,26z-short-base-50_w10_h168_1680w_myopic,MWh,10098980
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2050,26z-short-base-50_w10_h168_1680w_myopic,MWh,10410565
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,26z-short-base-50_w10_h168_1680w_myopic,MWh,27775385
