Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.9697728289009048e11,5.465507192208918e9,3.4724690177884045e9,4.595687300736114e9,1.3673112549257872e10,6.86346687932241e9,1.0358738727959383e10,5.398340789593498e9,8.74007252721682e9,1.031432789475238e10,5.976252469502266e9,4.558593790023766e9,3.4685521043139944e9,4.2506380260395207e9,4.5321492704157915e9,1.1219048916743155e10,1.732163879611115e10,3.9145351660443377e9,3.685332697092266e9,2.676968741348502e9,5.424528801243293e9,1.1044536353125654e10,9.978868906969866e9,1.2981681664175625e10,5.718589364970384e9,1.5814386886860365e10,2.5132863297956476e9
cFix,1.4945120921668988e11,5.27403542324e9,2.7432949908199997e9,3.34723752443e9,8.44178576295e9,5.5759358645e9,8.608347022939999e9,3.92353587944e9,6.08131485783e9,7.58237700081e9,5.84525820284e9,3.67370584116e9,3.0312754458900003e9,2.82176391168e9,3.5693002735099998e9,7.453909827530001e9,1.18592500603e10,3.79011980743e9,3.1713380379400005e9,2.46875355501e9,4.81668982783e9,8.058592046360002e9,8.263283184999998e9,8.5854886142300005e9,5.1991470632e9,1.306389427365e10,2.2015749161699996e9
cVar,9.065909577719461e9,1.77534324665278e7,1.1957308138699384e8,2.632997985784188e8,1.1151391639969435e9,1.5650962593446603e8,4.252183493624494e8,3.6831633415002716e8,5.513977670558997e8,6.088555932650137e8,2.6562793372029707e7,1.6914077156261075e8,9.539059752893235e7,2.95544250084404e8,1.468469381032085e8,5.999064786691965e8,1.3125665548126233e9,1.0943872692229355e7,1.0850796631127816e8,3.2358141163856346e7,6.739944716432583e7,6.680987210984924e8,3.311747930671348e8,9.412176995901763e8,1.0097152338581686e8,4.9718576023614585e8,3.6030122678635076e7
cFuel,3.0010974938642197e10,1.3654101298541883e8,5.1459586611324346e8,8.330578144285572e8,3.4606960682846313e9,8.729108487829887e8,1.1218423076208992e9,9.482238229754957e8,1.793618239410352e9,1.7759454070561364e9,9.68464282976831e7,6.640056863561368e8,3.008443175912996e8,1.0009698175164758e9,6.885141254059223e8,2.559683116032088e9,3.544094015870249e9,8.482853832000916e7,3.3991531055234927e8,1.380434522661201e8,4.3740745618299013e8,2.0567020897482443e9,1.222400021845466e9,2.9451815394335895e9,3.5799469977739507e8,1.8856098688735275e9,2.305030669186189e8
cNSE,7.455589546558563e7,9686.298467533585,9311.21962413716,9760.173678773455,9796.363864910372,7.4313230811506e7,9324.543751658675,10051.731593293627,9434.72691535621,9173.30848289916,9178.067698853252,10765.073828324099,10621.822672940314,9901.736736113584,10489.154433832005,10436.582010734608,9389.054163375777,8749.354515404148,9561.58923635057,9271.730684404802,9219.31167776719,9479.22440471822,9542.296032566095,9739.61381232959,8823.607478515363,10401.011023726292,10557.057291087996
cStart,5.358661535092261e9,3.7167637218502894e7,9.499576824854268e7,1.5208240312545872e8,6.55481757662431e8,1.8379730929344824e8,2.033217234922849e8,1.5825470129638124e8,3.137322281936536e8,3.471407203127464e8,7.575866924855044e6,5.1730725871189825e7,4.10311214810896e7,1.3235014502190575e8,1.2747744424222717e8,6.055390579298586e8,6.057187760741141e8,2.8634198247584272e7,6.556182069940158e7,3.7804321177841134e7,1.030228507542992e8,2.611340166945082e8,1.6200136476123503e8,5.097840713080457e8,6.046725499969324e7,3.676865830896679e8,4.516766697110319e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,3.0159717265189047e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
