model,zone,planning_year,case,unit,value
SWITCH,BASN,2030,base_short_tx_0,kg,2221776077.839792
SWITCH,CANO,2030,base_short_tx_0,kg,5696355459.897656
SWITCH,CASO,2030,base_short_tx_0,kg,7037925570.872385
SWITCH,FRCC,2030,base_short_tx_0,kg,12500421981.2197
SWITCH,ISNE,2030,base_short_tx_0,kg,14523372792.26427
SWITCH,MISC,2030,base_short_tx_0,kg,4193846715.981134
SWITCH,MISE,2030,base_short_tx_0,kg,2772885931.1620097
SWITCH,MISS,2030,base_short_tx_0,kg,9397967282.10535
SWITCH,MISW,2030,base_short_tx_0,kg,8483546146.752747
SWITCH,NWPP,2030,base_short_tx_0,kg,739057646.606667
SWITCH,NYCW,2030,base_short_tx_0,kg,7260793202.419907
SWITCH,NYUP,2030,base_short_tx_0,kg,2628027372.2097564
SWITCH,PJMC,2030,base_short_tx_0,kg,4431210227.614779
SWITCH,PJMD,2030,base_short_tx_0,kg,4892346190.72028
SWITCH,PJME,2030,base_short_tx_0,kg,32558125564.35982
SWITCH,PJMW,2030,base_short_tx_0,kg,14139840123.090256
SWITCH,RMRG,2030,base_short_tx_0,kg,1271354017.8367348
SWITCH,SPPC,2030,base_short_tx_0,kg,1262752889.395689
SWITCH,SPPN,2030,base_short_tx_0,kg,580098143.8259369
SWITCH,SPPS,2030,base_short_tx_0,kg,6279373143.254892
SWITCH,SRCA,2030,base_short_tx_0,kg,5706696280.428329
SWITCH,SRCE,2030,base_short_tx_0,kg,5591881341.328155
SWITCH,SRSE,2030,base_short_tx_0,kg,9349705501.003414
SWITCH,SRSG,2030,base_short_tx_0,kg,5251351141.915356
SWITCH,TRE,2030,base_short_tx_0,kg,15178094523.091967
SWITCH,TRE_WEST,2030,base_short_tx_0,kg,2051194732.9472408
SWITCH,BASN,2040,base_short_tx_0,kg,2152443526.6955204
SWITCH,CANO,2040,base_short_tx_0,kg,2645173226.0179415
SWITCH,CASO,2040,base_short_tx_0,kg,6435311478.112083
SWITCH,FRCC,2040,base_short_tx_0,kg,10221007465.7815
SWITCH,ISNE,2040,base_short_tx_0,kg,17174321667.252974
SWITCH,MISC,2040,base_short_tx_0,kg,3590733930.5327525
SWITCH,MISE,2040,base_short_tx_0,kg,3077447205.02282
SWITCH,MISS,2040,base_short_tx_0,kg,7676899692.119861
SWITCH,MISW,2040,base_short_tx_0,kg,7316544781.153781
SWITCH,NWPP,2040,base_short_tx_0,kg,2709028082.139687
SWITCH,NYCW,2040,base_short_tx_0,kg,5340173544.082551
SWITCH,NYUP,2040,base_short_tx_0,kg,2684709621.6145935
SWITCH,PJMC,2040,base_short_tx_0,kg,3390143156.5508122
SWITCH,PJMD,2040,base_short_tx_0,kg,2337571627.017069
SWITCH,PJME,2040,base_short_tx_0,kg,28717474251.591484
SWITCH,PJMW,2040,base_short_tx_0,kg,11599949530.967064
SWITCH,RMRG,2040,base_short_tx_0,kg,1207298335.355128
SWITCH,SPPC,2040,base_short_tx_0,kg,982704727.9038955
SWITCH,SPPN,2040,base_short_tx_0,kg,646386759.2368335
SWITCH,SPPS,2040,base_short_tx_0,kg,4936981609.919834
SWITCH,SRCA,2040,base_short_tx_0,kg,4665336576.17445
SWITCH,SRCE,2040,base_short_tx_0,kg,3812239620.721744
SWITCH,SRSE,2040,base_short_tx_0,kg,7387133435.360327
SWITCH,SRSG,2040,base_short_tx_0,kg,3926956584.674067
SWITCH,TRE,2040,base_short_tx_0,kg,11831547475.24647
SWITCH,TRE_WEST,2040,base_short_tx_0,kg,1419225501.6355655
SWITCH,BASN,2050,base_short_tx_0,kg,2377428606.800586
SWITCH,CANO,2050,base_short_tx_0,kg,2933239801.9218
SWITCH,CASO,2050,base_short_tx_0,kg,7666626280.051574
SWITCH,FRCC,2050,base_short_tx_0,kg,10253342329.045763
SWITCH,ISNE,2050,base_short_tx_0,kg,16797857271.467884
SWITCH,MISC,2050,base_short_tx_0,kg,3753598373.769509
SWITCH,MISE,2050,base_short_tx_0,kg,4170548876.6326556
SWITCH,MISS,2050,base_short_tx_0,kg,8244486339.182159
SWITCH,MISW,2050,base_short_tx_0,kg,7987742208.93286
SWITCH,NWPP,2050,base_short_tx_0,kg,2925106039.960518
SWITCH,NYCW,2050,base_short_tx_0,kg,5000905406.601632
SWITCH,NYUP,2050,base_short_tx_0,kg,2830709217.1578703
SWITCH,PJMC,2050,base_short_tx_0,kg,3524821753.1245356
SWITCH,PJMD,2050,base_short_tx_0,kg,1889510955.234563
SWITCH,PJME,2050,base_short_tx_0,kg,24335618190.57106
SWITCH,PJMW,2050,base_short_tx_0,kg,11784537301.576136
SWITCH,RMRG,2050,base_short_tx_0,kg,1392952368.8825855
SWITCH,SPPC,2050,base_short_tx_0,kg,1186457914.3873801
SWITCH,SPPN,2050,base_short_tx_0,kg,695739870.9789393
SWITCH,SPPS,2050,base_short_tx_0,kg,4750875451.449402
SWITCH,SRCA,2050,base_short_tx_0,kg,4460733665.576576
SWITCH,SRCE,2050,base_short_tx_0,kg,3759980556.884144
SWITCH,SRSE,2050,base_short_tx_0,kg,6460224790.779236
SWITCH,SRSG,2050,base_short_tx_0,kg,5401580088.728066
SWITCH,TRE,2050,base_short_tx_0,kg,13347663129.848698
SWITCH,TRE_WEST,2050,base_short_tx_0,kg,1286774324.9346883
