model,line,line_name,planning_year,case,unit,value
SWITCH,1,BASN_to_CANO,2030,base_short_tx_15,MW,0
SWITCH,2,BASN_to_CASO,2030,base_short_tx_15,MW,0
SWITCH,3,BASN_to_NWPP,2030,base_short_tx_15,MW,0
SWITCH,4,BASN_to_RMRG,2030,base_short_tx_15,MW,0
SWITCH,5,BASN_to_SRSG,2030,base_short_tx_15,MW,0
SWITCH,6,CANO_to_CASO,2030,base_short_tx_15,MW,0
SWITCH,7,CANO_to_NWPP,2030,base_short_tx_15,MW,0
SWITCH,8,CASO_to_NWPP,2030,base_short_tx_15,MW,0
SWITCH,9,CASO_to_SRSG,2030,base_short_tx_15,MW,0
SWITCH,10,FRCC_to_SRSE,2030,base_short_tx_15,MW,0
SWITCH,11,ISNE_to_NYCW,2030,base_short_tx_15,MW,0
SWITCH,12,ISNE_to_NYUP,2030,base_short_tx_15,MW,0
SWITCH,13,MISC_to_MISE,2030,base_short_tx_15,MW,0
SWITCH,14,MISC_to_MISS,2030,base_short_tx_15,MW,0
SWITCH,15,MISC_to_MISW,2030,base_short_tx_15,MW,0
SWITCH,16,MISC_to_PJMC,2030,base_short_tx_15,MW,0
SWITCH,17,MISC_to_PJMW,2030,base_short_tx_15,MW,0
SWITCH,18,MISC_to_SPPC,2030,base_short_tx_15,MW,0
SWITCH,19,MISC_to_SPPN,2030,base_short_tx_15,MW,0
SWITCH,20,MISC_to_SPPS,2030,base_short_tx_15,MW,0
SWITCH,21,MISC_to_SRCE,2030,base_short_tx_15,MW,0
SWITCH,22,MISE_to_MISW,2030,base_short_tx_15,MW,0
SWITCH,23,MISE_to_PJMW,2030,base_short_tx_15,MW,0
SWITCH,24,MISS_to_SPPC,2030,base_short_tx_15,MW,0
SWITCH,25,MISS_to_SPPS,2030,base_short_tx_15,MW,0
SWITCH,26,MISS_to_SRCE,2030,base_short_tx_15,MW,0
SWITCH,27,MISS_to_SRSE,2030,base_short_tx_15,MW,0
SWITCH,28,MISW_to_NWPP,2030,base_short_tx_15,MW,0
SWITCH,29,MISW_to_PJMC,2030,base_short_tx_15,MW,0
SWITCH,30,MISW_to_SPPC,2030,base_short_tx_15,MW,0
SWITCH,31,MISW_to_SPPN,2030,base_short_tx_15,MW,0
SWITCH,32,NWPP_to_RMRG,2030,base_short_tx_15,MW,0
SWITCH,33,NYCW_to_NYUP,2030,base_short_tx_15,MW,0
SWITCH,34,NYCW_to_PJME,2030,base_short_tx_15,MW,0
SWITCH,35,NYUP_to_PJME,2030,base_short_tx_15,MW,0
SWITCH,36,PJMC_to_PJMW,2030,base_short_tx_15,MW,0
SWITCH,37,PJMD_to_PJME,2030,base_short_tx_15,MW,0
SWITCH,38,PJMD_to_PJMW,2030,base_short_tx_15,MW,0
SWITCH,39,PJMD_to_SRCA,2030,base_short_tx_15,MW,0
SWITCH,40,PJME_to_PJMW,2030,base_short_tx_15,MW,0
SWITCH,41,PJMW_to_SRCA,2030,base_short_tx_15,MW,0
SWITCH,42,PJMW_to_SRCE,2030,base_short_tx_15,MW,0
