Period_Index,Rep_Period_Index,Month,Rep_Period
1,6,1,1
2,1,1,2
3,8,1,5
4,6,1,1
5,8,2,5
6,7,2,7
7,7,2,7
8,4,2,8
9,1,3,2
10,8,3,5
11,8,3,5
12,3,3,33
13,8,4,5
14,2,4,22
15,9,4,17
16,2,4,22
17,9,4,17
18,2,5,22
19,2,5,22
20,2,5,22
21,2,5,22
22,2,6,22
23,3,6,33
24,2,6,22
25,3,6,33
26,10,7,26
27,3,7,33
28,3,7,33
29,3,7,33
30,3,7,33
31,3,8,33
32,3,8,33
33,3,8,33
34,3,8,33
35,3,9,33
36,3,9,33
37,3,9,33
38,3,9,33
39,3,9,33
40,3,10,33
41,2,10,22
42,8,10,5
43,1,10,2
44,9,11,17
45,5,11,48
46,5,11,48
47,5,11,48
48,5,12,48
49,5,12,48
50,7,12,7
51,1,12,2
52,4,12,8
