Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,82118.40000000045,9.4,1.0000000000000053
BASN_biomass_2,1,56172.480000001415,6.43,1.000000000000025
BASN_conventional_hydroelectric_1,1,5.47296554112674e6,1773.8,0.35318759204532774
BASN_conventional_steam_coal_1,1,255.47457682247756,51.0,0.0005734095041084841
BASN_conventional_steam_coal_2,1,372.74279469550874,2499.2,1.7072440960205652e-5
BASN_geothermal_1,1,2.1488470044897352e6,269.72,0.9119682504866561
BASN_natural_gas_fired_combined_cycle_1,1,98763.51876460008,880.0,0.012846986186287683
BASN_natural_gas_fired_combined_cycle_2,1,5.180668095322833e6,6273.9,0.09452257671650482
BASN_natural_gas_fired_combustion_turbine_1,1,3398.3448085361883,1803.0,0.0002157541160880744
BASN_natural_gas_fired_combustion_turbine_2,1,8652.017583510427,236.2,0.004193000119174799
BASN_natural_gas_internal_combustion_engine_1,1,40017.198410770034,219.0,0.020916544572173942
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,904305.1703637087,565.1,0.18317958942639667
BASN_petroleum_liquids_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,1.43052e6,163.75,1.0
BASN_solar_photovoltaic_1,1,1.204560035276038e7,6254.7,0.22044961296724608
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,133573.44000000012,15.29,1.000000000000001
CANO_biomass_2,2,79497.59999999969,9.1,0.999999999999996
CANO_conventional_hydroelectric_1,2,1.7207072548063498e7,6901.8,0.2853855596236053
CANO_hydroelectric_pumped_storage_1,2,5.923940295415538e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,141927.3470863016,3112.8,0.005219179599732506
CANO_natural_gas_fired_combined_cycle_2,2,4.961687852875184e6,8296.9,0.06845433527794485
CANO_natural_gas_fired_combustion_turbine_1,2,489.03313688606517,1994.9,2.806108971226359e-5
CANO_natural_gas_fired_combustion_turbine_2,2,491.9341597914149,1307.0,4.3084272888116444e-5
CANO_natural_gas_internal_combustion_engine_1,2,16275.7556510832,431.6,0.004316652612956899
CANO_natural_gas_steam_turbine_1,2,573.4797481556169,2.9,0.022636405368022014
CANO_onshore_wind_turbine_1,2,945527.0459412663,516.3,0.2096327857321259
CANO_petroleum_liquids_1,2,137.70981574775615,167.4,9.416658443764753e-5
CANO_small_hydroelectric_1,2,1.8575356799999299e6,212.63,0.9999999999999624
CANO_solar_photovoltaic_1,2,9.03704102206799e6,4575.6,0.2260817868595745
CASO_batteries_1,3,0.0,0.0,0.0
CASO_biomass_1,3,344111.0400000101,39.39,1.0000000000000293
CASO_biomass_2,3,52590.71999999882,6.02,0.9999999999999777
CASO_conventional_hydroelectric_1,3,2.177435565656181e6,955.0,0.2609932739840655
CASO_geothermal_1,3,0.0,0.0,0.0
CASO_hydroelectric_pumped_storage_1,3,4.333985452064294e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,99386.89798162304,1984.9,0.005731626457272037
CASO_natural_gas_fired_combined_cycle_2,3,7.681538896674428e6,6090.1,0.14438137877468937
CASO_natural_gas_fired_combustion_turbine_1,3,493.4196558688897,1454.7,3.882669121738481e-5
CASO_natural_gas_fired_combustion_turbine_2,3,140455.20354677332,3813.6,0.0042158977498275565
CASO_natural_gas_internal_combustion_engine_1,3,12147.81930731546,50.2,0.027700141073333632
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,8.535020044898506e6,2666.9,0.3663407149718882
CASO_petroleum_liquids_1,3,113.1276016109986,7.8,0.0016602036021150118
CASO_small_hydroelectric_1,3,636767.0400000135,72.89,1.0000000000000213
CASO_solar_photovoltaic_1,3,2.5616244220622007e7,11637.7,0.25196236265685773
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,75828.47999999928,8.68,0.9999999999999907
FRCC_biomass_2,4,202500.47999999698,23.18,0.9999999999999852
FRCC_conventional_hydroelectric_1,4,110330.80494592445,43.5,0.2903319990366839
FRCC_conventional_steam_coal_1,4,377.2880682858489,2523.0,1.711761266521305e-5
FRCC_conventional_steam_coal_2,4,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,1349.8302378872625,2497.7,6.186232716366743e-5
FRCC_natural_gas_fired_combined_cycle_2,4,1.2668690816841926e7,28992.0,0.05001968308881852
FRCC_natural_gas_fired_combustion_turbine_1,4,490.9644179966382,8326.4,6.749632424900569e-6
FRCC_natural_gas_fired_combustion_turbine_2,4,460.94764210759774,234.7,0.00022481530963637517
FRCC_natural_gas_internal_combustion_engine_1,4,48427.293212021934,112.4,0.04931865892598664
FRCC_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
FRCC_nuclear_1,4,2.9784333480050374e7,3737.0,0.9123304341512841
FRCC_petroleum_liquids_1,4,113.80873574549273,46.8,0.00027836659716717134
FRCC_solar_photovoltaic_1,4,7.2716101063870955e6,5157.5,0.16139078075394078
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,0.0,0.0,0.0
ISNE_biomass_2,5,96794.88000000105,11.08,1.0000000000000109
ISNE_conventional_hydroelectric_1,5,1.6574848296827616e6,516.1,0.36762334107373557
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,4.628721147038749e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.0491713293779674e6,3152.9,0.03809110682456941
ISNE_natural_gas_fired_combined_cycle_2,5,6.839510180174251e6,10499.0,0.07457005084748883
ISNE_natural_gas_fired_combustion_turbine_1,5,7486.734316067244,407.1,0.0021051289013517514
ISNE_natural_gas_fired_combustion_turbine_2,5,29588.469746737206,1315.9,0.0025738722800215503
ISNE_natural_gas_internal_combustion_engine_1,5,10657.975373619349,57.4,0.021254465828490044
ISNE_natural_gas_steam_turbine_1,5,2706.9222623841492,17.2,0.018015018463988557
ISNE_nuclear_1,5,2.5879170280488893e7,3348.1,0.8847881590764758
ISNE_offshore_wind_turbine_1,5,0.0,0.0,0.0
ISNE_onshore_wind_turbine_1,5,1.5121258214081507e6,1020.6999999999999,0.1695809990307044
ISNE_petroleum_liquids_1,5,135.8345386137594,820.7,1.8945808932337228e-5
ISNE_small_hydroelectric_1,5,1.9678713600000455e6,225.26,1.000000000000023
ISNE_solar_photovoltaic_1,5,2.8566916301817284e6,2102.8,0.15550801171990286
MISC_batteries_1,6,0.0,0.0,0.0
MISC_biomass_1,6,385694.3999999979,44.15,0.9999999999999946
MISC_biomass_2,6,11968.320000000218,1.37,1.0000000000000182
MISC_conventional_hydroelectric_1,6,810634.0522625515,276.6,0.3354749076727708
MISC_conventional_steam_coal_1,6,376.1258382743179,5613.7,7.669575788635113e-6
MISC_conventional_steam_coal_2,6,307.2553054453973,1692.0,2.0786741085324316e-5
MISC_hydroelectric_pumped_storage_1,6,1.2901411094243296e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,353996.60891310737,573.6,0.07064433376588582
MISC_natural_gas_fired_combined_cycle_2,6,3.1380533062981805e6,4067.5,0.08831208324885519
MISC_natural_gas_fired_combustion_turbine_1,6,26826.14892068617,457.6,0.006710574311677447
MISC_natural_gas_fired_combustion_turbine_2,6,534.1011654784164,8367.8,7.30633546736435e-6
MISC_natural_gas_internal_combustion_engine_1,6,12489.35854098291,34.8,0.0410816864980123
MISC_natural_gas_steam_turbine_1,6,1840.7011055481373,125.9,0.001673573990299275
MISC_nuclear_1,6,1.788033761311062e7,2373.0,0.8625124074558361
MISC_onshore_wind_turbine_1,6,7.200343041916998e6,3455.0,0.2385571900997187
MISC_petroleum_liquids_1,6,159.61889607859084,194.3,9.403702409619133e-5
MISC_small_hydroelectric_1,6,0.0,0.0,0.0
MISC_solar_photovoltaic_1,6,2.1451184977789377e6,1452.8,0.1690179505726262
MISE_batteries_1,7,0.0,0.0,0.0
MISE_biomass_1,7,163712.63999999693,18.74,0.9999999999999812
