model,zone,planning_year,case,unit,value
SWITCH,BASN,2030,base_short_tx_100,kg,1584344674
SWITCH,CANO,2030,base_short_tx_100,kg,3527444556
SWITCH,CASO,2030,base_short_tx_100,kg,5133870323
SWITCH,FRCC,2030,base_short_tx_100,kg,14502985129
SWITCH,ISNE,2030,base_short_tx_100,kg,13799117035
SWITCH,MISC,2030,base_short_tx_100,kg,3618791046
SWITCH,MISE,2030,base_short_tx_100,kg,3497049990
SWITCH,MISS,2030,base_short_tx_100,kg,13815414857
SWITCH,MISW,2030,base_short_tx_100,kg,7709099959
SWITCH,NWPP,2030,base_short_tx_100,kg,355726344.3
SWITCH,NYCW,2030,base_short_tx_100,kg,3288440102
SWITCH,NYUP,2030,base_short_tx_100,kg,3057601076
SWITCH,PJMC,2030,base_short_tx_100,kg,5131996506
SWITCH,PJMD,2030,base_short_tx_100,kg,4784798958
SWITCH,PJME,2030,base_short_tx_100,kg,38098526112
SWITCH,PJMW,2030,base_short_tx_100,kg,16271711127
SWITCH,RMRG,2030,base_short_tx_100,kg,310493569.8
SWITCH,SPPC,2030,base_short_tx_100,kg,583924666.2
SWITCH,SPPN,2030,base_short_tx_100,kg,186359817.5
SWITCH,SPPS,2030,base_short_tx_100,kg,4403243304
SWITCH,SRCA,2030,base_short_tx_100,kg,6643022842
SWITCH,SRCE,2030,base_short_tx_100,kg,6451958369
SWITCH,SRSE,2030,base_short_tx_100,kg,12497768174
SWITCH,SRSG,2030,base_short_tx_100,kg,2997686229
SWITCH,TRE,2030,base_short_tx_100,kg,11208252193
SWITCH,TRE_WEST,2030,base_short_tx_100,kg,2540373040
SWITCH,BASN,2040,base_short_tx_100,kg,1836660890
SWITCH,CANO,2040,base_short_tx_100,kg,2137200149
SWITCH,CASO,2040,base_short_tx_100,kg,4144924213
SWITCH,FRCC,2040,base_short_tx_100,kg,9761312517
SWITCH,ISNE,2040,base_short_tx_100,kg,14214566116
SWITCH,MISC,2040,base_short_tx_100,kg,2690187753
SWITCH,MISE,2040,base_short_tx_100,kg,2676832437
SWITCH,MISS,2040,base_short_tx_100,kg,8215334369
SWITCH,MISW,2040,base_short_tx_100,kg,5531496036
SWITCH,NWPP,2040,base_short_tx_100,kg,1076837560
SWITCH,NYCW,2040,base_short_tx_100,kg,1811639427
SWITCH,NYUP,2040,base_short_tx_100,kg,2122446506
SWITCH,PJMC,2040,base_short_tx_100,kg,3353630053
SWITCH,PJMD,2040,base_short_tx_100,kg,2310174647
SWITCH,PJME,2040,base_short_tx_100,kg,22366976205
SWITCH,PJMW,2040,base_short_tx_100,kg,13225220642
SWITCH,RMRG,2040,base_short_tx_100,kg,350801748.6
SWITCH,SPPC,2040,base_short_tx_100,kg,363716053.8
SWITCH,SPPN,2040,base_short_tx_100,kg,169881085.8
SWITCH,SPPS,2040,base_short_tx_100,kg,2518858267
SWITCH,SRCA,2040,base_short_tx_100,kg,4576632761
SWITCH,SRCE,2040,base_short_tx_100,kg,4004544117
SWITCH,SRSE,2040,base_short_tx_100,kg,8227525800
SWITCH,SRSG,2040,base_short_tx_100,kg,1712128729
SWITCH,TRE,2040,base_short_tx_100,kg,6422442158
SWITCH,TRE_WEST,2040,base_short_tx_100,kg,1286335262
SWITCH,BASN,2050,base_short_tx_100,kg,1657807059
SWITCH,CANO,2050,base_short_tx_100,kg,3013786150
SWITCH,CASO,2050,base_short_tx_100,kg,5953827167
SWITCH,FRCC,2050,base_short_tx_100,kg,9839728159
SWITCH,ISNE,2050,base_short_tx_100,kg,13719372345
SWITCH,MISC,2050,base_short_tx_100,kg,3333623737
SWITCH,MISE,2050,base_short_tx_100,kg,3234383356
SWITCH,MISS,2050,base_short_tx_100,kg,8379936318
SWITCH,MISW,2050,base_short_tx_100,kg,5290916334
SWITCH,NWPP,2050,base_short_tx_100,kg,1120054350
SWITCH,NYCW,2050,base_short_tx_100,kg,2343465292
SWITCH,NYUP,2050,base_short_tx_100,kg,2657134544
SWITCH,PJMC,2050,base_short_tx_100,kg,3010510182
SWITCH,PJMD,2050,base_short_tx_100,kg,2357178682
SWITCH,PJME,2050,base_short_tx_100,kg,20514962592
SWITCH,PJMW,2050,base_short_tx_100,kg,13615835809
SWITCH,RMRG,2050,base_short_tx_100,kg,456121008
SWITCH,SPPC,2050,base_short_tx_100,kg,343786791.4
SWITCH,SPPN,2050,base_short_tx_100,kg,296434601
SWITCH,SPPS,2050,base_short_tx_100,kg,2289823007
SWITCH,SRCA,2050,base_short_tx_100,kg,4644707867
SWITCH,SRCE,2050,base_short_tx_100,kg,4178207888
SWITCH,SRSE,2050,base_short_tx_100,kg,8853017387
SWITCH,SRSG,2050,base_short_tx_100,kg,2147754268
SWITCH,TRE,2050,base_short_tx_100,kg,6824534416
SWITCH,TRE_WEST,2050,base_short_tx_100,kg,1204070196
