model,line,line_name,planning_year,case,unit,start_value,end_value
TEMOA,1,BASN_to_CANO,2030,base_short_tx_100,MW,100,100.04
TEMOA,2,BASN_to_CASO,2030,base_short_tx_100,MW,5920,5920.02
TEMOA,3,BASN_to_NWPP,2030,base_short_tx_100,MW,3350,3350.01
TEMOA,4,BASN_to_RMRG,2030,base_short_tx_100,MW,3750,7500
TEMOA,5,BASN_to_SRSG,2030,base_short_tx_100,MW,5385,5385.01
TEMOA,6,CANO_to_CASO,2030,base_short_tx_100,MW,3675,3675.01
TEMOA,7,CANO_to_NWPP,2030,base_short_tx_100,MW,3675,3675.42
TEMOA,8,CASO_to_NWPP,2030,base_short_tx_100,MW,2858,2858.54
TEMOA,9,CASO_to_SRSG,2030,base_short_tx_100,MW,4354,4354.04
TEMOA,10,FRCC_to_SRSE,2030,base_short_tx_100,MW,3600,3600.03
TEMOA,11,ISNE_to_NYCW,2030,base_short_tx_100,MW,760,1520
TEMOA,12,ISNE_to_NYUP,2030,base_short_tx_100,MW,1400,2800
TEMOA,13,MISC_to_MISE,2030,base_short_tx_100,MW,0,400
TEMOA,14,MISC_to_MISS,2030,base_short_tx_100,MW,1039,1540.18
TEMOA,15,MISC_to_MISW,2030,base_short_tx_100,MW,1655,1655.02
TEMOA,16,MISC_to_PJMC,2030,base_short_tx_100,MW,5244,5244.02
TEMOA,17,MISC_to_PJMW,2030,base_short_tx_100,MW,5441,10882
TEMOA,18,MISC_to_SPPC,2030,base_short_tx_100,MW,1430,2860
TEMOA,19,MISC_to_SPPN,2030,base_short_tx_100,MW,0,400
TEMOA,20,MISC_to_SPPS,2030,base_short_tx_100,MW,1172,2344
TEMOA,21,MISC_to_SRCE,2030,base_short_tx_100,MW,3745,4075.3
TEMOA,22,MISE_to_MISW,2030,base_short_tx_100,MW,0,399.999
TEMOA,23,MISE_to_PJMW,2030,base_short_tx_100,MW,2662,2662.29
TEMOA,24,MISS_to_SPPC,2030,base_short_tx_100,MW,0,400
TEMOA,25,MISS_to_SPPS,2030,base_short_tx_100,MW,1697,3394
TEMOA,26,MISS_to_SRCE,2030,base_short_tx_100,MW,4092,4092.01
TEMOA,27,MISS_to_SRSE,2030,base_short_tx_100,MW,891,1781.89
TEMOA,28,MISW_to_NWPP,2030,base_short_tx_100,MW,200,599.999
TEMOA,29,MISW_to_PJMC,2030,base_short_tx_100,MW,3200,6399.99
TEMOA,30,MISW_to_SPPC,2030,base_short_tx_100,MW,0,399.996
TEMOA,31,MISW_to_SPPN,2030,base_short_tx_100,MW,5512,5512.02
TEMOA,32,NWPP_to_RMRG,2030,base_short_tx_100,MW,400,799.997
TEMOA,33,NYCW_to_NYUP,2030,base_short_tx_100,MW,2489,4978
TEMOA,34,NYCW_to_PJME,2030,base_short_tx_100,MW,660,1320
TEMOA,35,NYUP_to_PJME,2030,base_short_tx_100,MW,1255,2509.99
TEMOA,36,PJMC_to_PJMW,2030,base_short_tx_100,MW,980,1960
TEMOA,37,PJMD_to_PJME,2030,base_short_tx_100,MW,1200,2400
TEMOA,38,PJMD_to_PJMW,2030,base_short_tx_100,MW,6930,6930.01
TEMOA,39,PJMD_to_SRCA,2030,base_short_tx_100,MW,1000,1105.1
TEMOA,40,PJME_to_PJMW,2030,base_short_tx_100,MW,3885,7770
TEMOA,41,PJMW_to_SRCA,2030,base_short_tx_100,MW,1219,1219.05
TEMOA,42,PJMW_to_SRCE,2030,base_short_tx_100,MW,3333,3830.2
TEMOA,43,RMRG_to_SPPC,2030,base_short_tx_100,MW,210,610
TEMOA,44,RMRG_to_SPPN,2030,base_short_tx_100,MW,410,820
TEMOA,45,RMRG_to_SRSG,2030,base_short_tx_100,MW,614,1228
TEMOA,46,SPPC_to_SPPN,2030,base_short_tx_100,MW,1433,2866
TEMOA,47,SPPC_to_SPPS,2030,base_short_tx_100,MW,3372,6743.99
TEMOA,48,SPPN_to_SPPS,2030,base_short_tx_100,MW,0,400
TEMOA,49,SPPS_to_SRSG,2030,base_short_tx_100,MW,1010,2020
TEMOA,50,SPPS_to_TRE,2030,base_short_tx_100,MW,600,1200
TEMOA,51,SPPS_to_TRE_WEST,2030,base_short_tx_100,MW,220,620
TEMOA,52,SRCA_to_SRCE,2030,base_short_tx_100,MW,216,216.244
TEMOA,53,SRCA_to_SRSE,2030,base_short_tx_100,MW,1400,1400.05
TEMOA,54,SRCE_to_SRSE,2030,base_short_tx_100,MW,3196,6314.49
TEMOA,55,TRE_to_TRE_WEST,2030,base_short_tx_100,MW,16529,16529
TEMOA,56,NWPP_to_SPPN,2030,base_short_tx_100,MW,0,400
TEMOA,57,SRSG_to_TRE,2030,base_short_tx_100,MW,0,400
TEMOA,1,BASN_to_CANO,2040,base_short_tx_100,MW,100.04,499.965
TEMOA,2,BASN_to_CASO,2040,base_short_tx_100,MW,5920.02,7247.13
TEMOA,3,BASN_to_NWPP,2040,base_short_tx_100,MW,3350.01,3350.01
TEMOA,4,BASN_to_RMRG,2040,base_short_tx_100,MW,7500,11250
TEMOA,5,BASN_to_SRSG,2040,base_short_tx_100,MW,5385.01,5385.01
TEMOA,6,CANO_to_CASO,2040,base_short_tx_100,MW,3675.01,3675.01
TEMOA,7,CANO_to_NWPP,2040,base_short_tx_100,MW,3675.42,3675.11
TEMOA,8,CASO_to_NWPP,2040,base_short_tx_100,MW,2858.54,2858.12
TEMOA,9,CASO_to_SRSG,2040,base_short_tx_100,MW,4354.04,4354.2
TEMOA,10,FRCC_to_SRSE,2040,base_short_tx_100,MW,3600.03,4624.92
TEMOA,11,ISNE_to_NYCW,2040,base_short_tx_100,MW,1520,2280
TEMOA,12,ISNE_to_NYUP,2040,base_short_tx_100,MW,2800,4200
TEMOA,13,MISC_to_MISE,2040,base_short_tx_100,MW,400,799.999
TEMOA,14,MISC_to_MISS,2040,base_short_tx_100,MW,1540.18,2579.17
TEMOA,15,MISC_to_MISW,2040,base_short_tx_100,MW,1655.02,1655.17
TEMOA,16,MISC_to_PJMC,2040,base_short_tx_100,MW,5244.02,5402.29
TEMOA,17,MISC_to_PJMW,2040,base_short_tx_100,MW,10882,13766.8
TEMOA,18,MISC_to_SPPC,2040,base_short_tx_100,MW,2860,4290
TEMOA,19,MISC_to_SPPN,2040,base_short_tx_100,MW,400,799.999
TEMOA,20,MISC_to_SPPS,2040,base_short_tx_100,MW,2344,3516
TEMOA,21,MISC_to_SRCE,2040,base_short_tx_100,MW,4075.3,4075.43
TEMOA,22,MISE_to_MISW,2040,base_short_tx_100,MW,399.999,799.999
TEMOA,23,MISE_to_PJMW,2040,base_short_tx_100,MW,2662.29,2673.36
TEMOA,24,MISS_to_SPPC,2040,base_short_tx_100,MW,400,800
TEMOA,25,MISS_to_SPPS,2040,base_short_tx_100,MW,3394,5091
TEMOA,26,MISS_to_SRCE,2040,base_short_tx_100,MW,4092.01,4092.02
TEMOA,27,MISS_to_SRSE,2040,base_short_tx_100,MW,1781.89,1782
TEMOA,28,MISW_to_NWPP,2040,base_short_tx_100,MW,599.999,999.998
TEMOA,29,MISW_to_PJMC,2040,base_short_tx_100,MW,6399.99,9599.99
TEMOA,30,MISW_to_SPPC,2040,base_short_tx_100,MW,399.996,799.996
TEMOA,31,MISW_to_SPPN,2040,base_short_tx_100,MW,5512.02,5512.3
TEMOA,32,NWPP_to_RMRG,2040,base_short_tx_100,MW,799.997,1200
TEMOA,33,NYCW_to_NYUP,2040,base_short_tx_100,MW,4978,7467
TEMOA,34,NYCW_to_PJME,2040,base_short_tx_100,MW,1320,1980
TEMOA,35,NYUP_to_PJME,2040,base_short_tx_100,MW,2509.99,3764.99
TEMOA,36,PJMC_to_PJMW,2040,base_short_tx_100,MW,1960,2940
TEMOA,37,PJMD_to_PJME,2040,base_short_tx_100,MW,2400,3600
TEMOA,38,PJMD_to_PJMW,2040,base_short_tx_100,MW,6930.01,6930.02
TEMOA,39,PJMD_to_SRCA,2040,base_short_tx_100,MW,1105.1,1692.62
TEMOA,40,PJME_to_PJMW,2040,base_short_tx_100,MW,7770,11655
TEMOA,41,PJMW_to_SRCA,2040,base_short_tx_100,MW,1219.05,1804.25
TEMOA,42,PJMW_to_SRCE,2040,base_short_tx_100,MW,3830.2,7130.34
TEMOA,43,RMRG_to_SPPC,2040,base_short_tx_100,MW,610,1010
TEMOA,44,RMRG_to_SPPN,2040,base_short_tx_100,MW,820,1230
TEMOA,45,RMRG_to_SRSG,2040,base_short_tx_100,MW,1228,1842
TEMOA,46,SPPC_to_SPPN,2040,base_short_tx_100,MW,2866,4299
TEMOA,47,SPPC_to_SPPS,2040,base_short_tx_100,MW,6743.99,8545.84
TEMOA,48,SPPN_to_SPPS,2040,base_short_tx_100,MW,400,799.999
TEMOA,49,SPPS_to_SRSG,2040,base_short_tx_100,MW,2020,3030
TEMOA,50,SPPS_to_TRE,2040,base_short_tx_100,MW,1200,1800
TEMOA,51,SPPS_to_TRE_WEST,2040,base_short_tx_100,MW,620,1020
TEMOA,52,SRCA_to_SRCE,2040,base_short_tx_100,MW,216.244,615.999
TEMOA,53,SRCA_to_SRSE,2040,base_short_tx_100,MW,1400.05,1400.83
TEMOA,54,SRCE_to_SRSE,2040,base_short_tx_100,MW,6314.49,9500.43
TEMOA,55,TRE_to_TRE_WEST,2040,base_short_tx_100,MW,16529,16529.1
TEMOA,56,NWPP_to_SPPN,2040,base_short_tx_100,MW,400,800
TEMOA,57,SRSG_to_TRE,2040,base_short_tx_100,MW,400,800
TEMOA,1,BASN_to_CANO,2050,base_short_tx_100,MW,499.965,521.11
TEMOA,2,BASN_to_CASO,2050,base_short_tx_100,MW,7247.13,9283.43
TEMOA,3,BASN_to_NWPP,2050,base_short_tx_100,MW,3350.01,3350.02
TEMOA,4,BASN_to_RMRG,2050,base_short_tx_100,MW,11250,14031.3
TEMOA,5,BASN_to_SRSG,2050,base_short_tx_100,MW,5385.01,5385.01
TEMOA,6,CANO_to_CASO,2050,base_short_tx_100,MW,3675.01,3675.05
TEMOA,7,CANO_to_NWPP,2050,base_short_tx_100,MW,3675.11,4796.55
TEMOA,8,CASO_to_NWPP,2050,base_short_tx_100,MW,2858.12,4106.49
TEMOA,9,CASO_to_SRSG,2050,base_short_tx_100,MW,4354.2,4741.77
TEMOA,10,FRCC_to_SRSE,2050,base_short_tx_100,MW,4624.92,7441.6
TEMOA,11,ISNE_to_NYCW,2050,base_short_tx_100,MW,2280,2280.03
TEMOA,12,ISNE_to_NYUP,2050,base_short_tx_100,MW,4200,5599.99
TEMOA,13,MISC_to_MISE,2050,base_short_tx_100,MW,799.999,1200
TEMOA,14,MISC_to_MISS,2050,base_short_tx_100,MW,2579.17,3618.17
TEMOA,15,MISC_to_MISW,2050,base_short_tx_100,MW,1655.17,1655.09
TEMOA,16,MISC_to_PJMC,2050,base_short_tx_100,MW,5402.29,5402.82
TEMOA,17,MISC_to_PJMW,2050,base_short_tx_100,MW,13766.8,13767.6
TEMOA,18,MISC_to_SPPC,2050,base_short_tx_100,MW,4290,5720
TEMOA,19,MISC_to_SPPN,2050,base_short_tx_100,MW,799.999,1200
TEMOA,20,MISC_to_SPPS,2050,base_short_tx_100,MW,3516,4688
TEMOA,21,MISC_to_SRCE,2050,base_short_tx_100,MW,4075.43,6598.15
TEMOA,22,MISE_to_MISW,2050,base_short_tx_100,MW,799.999,1200
TEMOA,23,MISE_to_PJMW,2050,base_short_tx_100,MW,2673.36,2673.48
TEMOA,24,MISS_to_SPPC,2050,base_short_tx_100,MW,800,1200
TEMOA,25,MISS_to_SPPS,2050,base_short_tx_100,MW,5091,6788
TEMOA,26,MISS_to_SRCE,2050,base_short_tx_100,MW,4092.02,4092.03
TEMOA,27,MISS_to_SRSE,2050,base_short_tx_100,MW,1782,1782.21
TEMOA,28,MISW_to_NWPP,2050,base_short_tx_100,MW,999.998,1400
TEMOA,29,MISW_to_PJMC,2050,base_short_tx_100,MW,9599.99,11499
TEMOA,30,MISW_to_SPPC,2050,base_short_tx_100,MW,799.996,1199.99
TEMOA,31,MISW_to_SPPN,2050,base_short_tx_100,MW,5512.3,5512.25
TEMOA,32,NWPP_to_RMRG,2050,base_short_tx_100,MW,1200,1599.99
TEMOA,33,NYCW_to_NYUP,2050,base_short_tx_100,MW,7467,9956
TEMOA,34,NYCW_to_PJME,2050,base_short_tx_100,MW,1980,2640
TEMOA,35,NYUP_to_PJME,2050,base_short_tx_100,MW,3764.99,5019.99
TEMOA,36,PJMC_to_PJMW,2050,base_short_tx_100,MW,2940,3920
TEMOA,37,PJMD_to_PJME,2050,base_short_tx_100,MW,3600,4800
TEMOA,38,PJMD_to_PJMW,2050,base_short_tx_100,MW,6930.02,6930.07
TEMOA,39,PJMD_to_SRCA,2050,base_short_tx_100,MW,1692.62,2237.13
TEMOA,40,PJME_to_PJMW,2050,base_short_tx_100,MW,11655,15540
TEMOA,41,PJMW_to_SRCA,2050,base_short_tx_100,MW,1804.25,1811.72
TEMOA,42,PJMW_to_SRCE,2050,base_short_tx_100,MW,7130.34,7130.53
TEMOA,43,RMRG_to_SPPC,2050,base_short_tx_100,MW,1010,1410
TEMOA,44,RMRG_to_SPPN,2050,base_short_tx_100,MW,1230,1640
TEMOA,45,RMRG_to_SRSG,2050,base_short_tx_100,MW,1842,2456
TEMOA,46,SPPC_to_SPPN,2050,base_short_tx_100,MW,4299,5732
TEMOA,47,SPPC_to_SPPS,2050,base_short_tx_100,MW,8545.84,10441.4
TEMOA,48,SPPN_to_SPPS,2050,base_short_tx_100,MW,799.999,1200
TEMOA,49,SPPS_to_SRSG,2050,base_short_tx_100,MW,3030,4040
TEMOA,50,SPPS_to_TRE,2050,base_short_tx_100,MW,1800,2400
TEMOA,51,SPPS_to_TRE_WEST,2050,base_short_tx_100,MW,1020,1420
TEMOA,52,SRCA_to_SRCE,2050,base_short_tx_100,MW,615.999,1016
TEMOA,53,SRCA_to_SRSE,2050,base_short_tx_100,MW,1400.83,1400.35
TEMOA,54,SRCE_to_SRSE,2050,base_short_tx_100,MW,9500.43,12447.9
TEMOA,55,TRE_to_TRE_WEST,2050,base_short_tx_100,MW,16529.1,16529.1
TEMOA,56,NWPP_to_SPPN,2050,base_short_tx_100,MW,800,1200
TEMOA,57,SRSG_to_TRE,2050,base_short_tx_100,MW,800,1200
