model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2030,base_short_tx_15,MW,0.0276103
GenX,2,BASN_to_CASO,2030,base_short_tx_15,MW,0.0110595
GenX,3,BASN_to_NWPP,2030,base_short_tx_15,MW,0.000862406
GenX,4,BASN_to_RMRG,2030,base_short_tx_15,MW,561.686
GenX,5,BASN_to_SRSG,2030,base_short_tx_15,MW,0.00427493
GenX,6,CANO_to_CASO,2030,base_short_tx_15,MW,0.0161546
GenX,7,CANO_to_NWPP,2030,base_short_tx_15,MW,0.049928
GenX,8,CASO_to_NWPP,2030,base_short_tx_15,MW,0.0846292
GenX,9,CASO_to_SRSG,2030,base_short_tx_15,MW,0.0408374
GenX,10,FRCC_to_SRSE,2030,base_short_tx_15,MW,0.0594886
GenX,11,ISNE_to_NYCW,2030,base_short_tx_15,MW,399.887
GenX,12,ISNE_to_NYUP,2030,base_short_tx_15,MW,399.907
GenX,13,MISC_to_MISE,2030,base_short_tx_15,MW,399.916
GenX,14,MISC_to_MISS,2030,base_short_tx_15,MW,0.407905
GenX,15,MISC_to_MISW,2030,base_short_tx_15,MW,0.301846
GenX,16,MISC_to_PJMC,2030,base_short_tx_15,MW,0.133336
GenX,17,MISC_to_PJMW,2030,base_short_tx_15,MW,815.218
GenX,18,MISC_to_SPPC,2030,base_short_tx_15,MW,399.914
GenX,19,MISC_to_SPPN,2030,base_short_tx_15,MW,399.902
GenX,20,MISC_to_SPPS,2030,base_short_tx_15,MW,399.924
GenX,21,MISC_to_SRCE,2030,base_short_tx_15,MW,0.0652147
GenX,22,MISE_to_MISW,2030,base_short_tx_15,MW,399.922
GenX,23,MISE_to_PJMW,2030,base_short_tx_15,MW,0.0463313
GenX,24,MISS_to_SPPC,2030,base_short_tx_15,MW,399.944
GenX,25,MISS_to_SPPS,2030,base_short_tx_15,MW,399.949
GenX,26,MISS_to_SRCE,2030,base_short_tx_15,MW,0.0310011
GenX,27,MISS_to_SRSE,2030,base_short_tx_15,MW,60.0147
GenX,28,MISW_to_NWPP,2030,base_short_tx_15,MW,399.839
GenX,29,MISW_to_PJMC,2030,base_short_tx_15,MW,479.603
GenX,30,MISW_to_SPPC,2030,base_short_tx_15,MW,399.848
GenX,31,MISW_to_SPPN,2030,base_short_tx_15,MW,0.00876688
GenX,32,NWPP_to_RMRG,2030,base_short_tx_15,MW,399.875
GenX,33,NYCW_to_NYUP,2030,base_short_tx_15,MW,399.943
GenX,34,NYCW_to_PJME,2030,base_short_tx_15,MW,399.952
GenX,35,NYUP_to_PJME,2030,base_short_tx_15,MW,399.862
GenX,36,PJMC_to_PJMW,2030,base_short_tx_15,MW,399.871
GenX,37,PJMD_to_PJME,2030,base_short_tx_15,MW,399.855
GenX,38,PJMD_to_PJMW,2030,base_short_tx_15,MW,0.000302299
GenX,39,PJMD_to_SRCA,2030,base_short_tx_15,MW,0.0253989
GenX,40,PJME_to_PJMW,2030,base_short_tx_15,MW,581.922
GenX,41,PJMW_to_SRCA,2030,base_short_tx_15,MW,0.0313343
GenX,42,PJMW_to_SRCE,2030,base_short_tx_15,MW,383.392
GenX,43,RMRG_to_SPPC,2030,base_short_tx_15,MW,399.961
GenX,44,RMRG_to_SPPN,2030,base_short_tx_15,MW,399.957
GenX,45,RMRG_to_SRSG,2030,base_short_tx_15,MW,399.919
GenX,46,SPPC_to_SPPN,2030,base_short_tx_15,MW,399.919
GenX,47,SPPC_to_SPPS,2030,base_short_tx_15,MW,505.717
