Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.9491661338051102e11,6.162465562099366e9,3.9908823510213876e9,3.678171116594018e9,1.3626508352866974e10,7.107062097118347e9,9.794858697125273e9,5.149024633995148e9,8.500190042458315e9,9.441478265873875e9,6.352818647244105e9,3.4919759464819584e9,3.8573190079358864e9,4.04463291298364e9,4.1405352458728166e9,1.1097108557035032e10,1.8484433158065628e10,4.16410329900865e9,3.1795460241040263e9,2.7307060519570284e9,5.40079216413591e9,1.0833860263722265e10,9.653784693618036e9,1.2741651930519262e10,5.097615541987391e9,1.4821557254121132e10,2.9388949786632624e9
cFix,1.4651600331304004e11,5.91943374929e9,2.77345743096e9,2.4430289661099997e9,8.271868508490001e9,5.569220264630001e9,8.668159157800001e9,3.8579453069999995e9,5.73472699956e9,7.29569881743e9,6.200809053820002e9,2.63316701263e9,3.37614975231e9,2.6871261923399997e9,3.2336113354e9,7.390309941340001e9,1.254838484188e10,4.1009831741199994e9,2.95587290975e9,2.5872967616800003e9,4.809294930010001e9,7.9158147323e9,8.2343486139800005e9,8.3043693582300005e9,4.2039583123700013e9,1.2166604849960001e10,2.6343623396499996e9
cVar,8.59627536973469e9,2.2916938309749417e7,1.916049288990741e8,1.7143562514551094e8,1.1208389187528098e9,1.8267447145654383e8,2.4077299891697618e8,3.253534159675585e8,5.5974883003833e8,4.535279898139041e8,3.455139326588259e7,1.4633564065448534e8,1.0037296312967788e8,2.829700916100064e8,1.3578453717807397e8,5.867805192368711e8,1.44779832003999e9,4.967546950923437e6,3.792138426093412e7,2.3196849145200573e7,6.1149334165750474e7,6.473366685820343e8,2.723060519255091e8,9.288909662860754e8,1.3332194309073068e8,4.4974803097108555e8,3.396901194153554e7
cFuel,2.9423357294270683e10,1.818348551572667e8,9.107444496774135e8,9.397693844801834e8,3.5729414700264173e9,1.0434986782413175e9,6.974915858906491e8,8.111757335100976e8,1.8088824779285371e9,1.3767626285953937e9,1.1281956106682889e8,6.575728029802178e8,3.3677436418894154e8,9.370723251657671e8,6.030742882598977e8,2.483899160261392e9,3.6866131596247735e9,4.1661685930443324e7,1.531334679040026e8,9.502357177452481e7,4.089948866761486e8,1.9702581353316965e9,9.561350650518559e8,2.943511026330631e9,6.580864935323747e8,1.814093777632741e9,2.215322590469404e8
cNSE,1.3996214171946135e8,6789.122104365034,6763.076760714083,7649.775288497651,6670.476222690312,1.3816626624120685e8,6798.718910842046,6614.698192218923,6576.233049354164,6982.660440206505,7254.375450471102,1.632419102769866e6,6632.550662092825,6721.337815758476,6835.822498503604,7328.429346873126,6811.128653521241,6687.061018709359,6554.434049910092,6538.311702477239,6655.081410326409,6710.867547205335,6891.203719478456,6644.923737953167,6837.720710320264,7102.2056858301985,6406.160504758494
cStart,5.806378677847507e9,3.827323022024612e7,1.1506877840813927e8,1.2392949108303545e8,6.608527851215236e8,1.7350241654927748e8,1.8842815579873872e8,1.5454356281930012e8,3.9682515869839895e8,3.154818473741387e8,4.631384715942592e6,5.326807111448578e7,4.401529575660477e7,1.374575825300516e8,1.6805824921234533e8,6.361116077674192e8,8.016300253922181e8,1.6484204946264299e7,3.261170775503925e7,2.5182331045600183e7,1.2134635820259972e8,3.0044401664098793e8,1.9098807145695195e8,5.648739347488176e8,1.0224195527357428e8,3.911034933516204e8,4.9024961864281766e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.9738148611352775e7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,4.414898435284413e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
