Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,151919.0399999998,17.39,0.9999999999999988
BASN_biomass_2,1,0.0,0.0,0.0
BASN_conventional_hydroelectric_1,1,5.217281209073966e6,1756.06,0.34008875301381575
BASN_conventional_steam_coal_1,1,282.6283015562299,51.0,0.0006343557009001066
BASN_conventional_steam_coal_2,1,359.2458563756801,2019.8,2.0359671870714367e-5
BASN_geothermal_1,1,2.695110841704841e6,344.77,0.8948176397821118
BASN_natural_gas_fired_combined_cycle_1,1,39776.18040042214,428.67,0.010621536854328564
BASN_natural_gas_fired_combined_cycle_2,1,4.839395575867406e6,7042.76,0.07865667952410538
BASN_natural_gas_fired_combustion_turbine_1,1,38096.87359268444,1883.88,0.002314853313357781
BASN_natural_gas_fired_combustion_turbine_2,1,5123.762166234282,233.84,0.0025081732679497408
BASN_natural_gas_internal_combustion_engine_1,1,48607.66880450593,219.17,0.025386981122099014
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,2.510681385992127e6,1454.0,0.1976580792968594
BASN_petroleum_liquids_1,1,78.09739280223043,25.8,0.00034650077023450337
BASN_small_hydroelectric_1,1,1.5544838399999721e6,177.94,0.9999999999999821
BASN_solar_photovoltaic_1,1,1.5707549416001478e7,7922.67,0.22694689356470285
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,650220.4799999982,74.43,0.9999999999999973
CANO_biomass_2,2,0.0,0.0,0.0
CANO_conventional_hydroelectric_1,2,1.6809704580091525e7,6835.44,0.2815016729486539
CANO_hydroelectric_pumped_storage_1,2,6.086859486290309e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,160693.19139900088,3081.67,0.005968960708746078
CANO_natural_gas_fired_combined_cycle_2,2,9.199537120525917e6,8213.93,0.12820422962281988
CANO_natural_gas_fired_combustion_turbine_1,2,511.7727823959497,1974.96,2.9662397854607506e-5
CANO_natural_gas_fired_combustion_turbine_2,2,526.0257852087767,1494.88,4.02798715041953e-5
CANO_natural_gas_internal_combustion_engine_1,2,31074.838003524783,439.94,0.008085423966489515
CANO_natural_gas_steam_turbine_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,1.2497050789484053e6,698.0,0.2049460190661842
CANO_petroleum_liquids_1,2,155.12496110686132,167.91,0.00010575295187111656
CANO_small_hydroelectric_1,2,1.94428416000004e6,222.56,1.0000000000000207
CANO_solar_photovoltaic_1,2,1.2320106663013615e7,6284.94,0.22438855738486918
CASO_batteries_1,3,0.0,0.0,0.0
CASO_biomass_1,3,864864.0,99.0,1.0
CASO_biomass_2,3,118809.60000000184,13.6,1.0000000000000153
CASO_conventional_hydroelectric_1,3,2.1123317094603637e6,945.46,0.2557445181853311
CASO_geothermal_1,3,180569.90966361467,23.73,0.8710338186447285
CASO_hydroelectric_pumped_storage_1,3,4.403495908507265e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,115063.83197677472,1965.06,0.006702709427609141
CASO_natural_gas_fired_combined_cycle_2,3,1.2050813285874238e7,7383.52,0.18682727381524386
CASO_natural_gas_fired_combustion_turbine_1,3,565.6747332076952,1440.16,4.496177117057322e-5
CASO_natural_gas_fired_combustion_turbine_2,3,144718.9932509659,3915.05,0.00423131730744571
CASO_natural_gas_internal_combustion_engine_1,3,34586.95572741787,50.2,0.07886712246120342
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.102997873706488e7,3464.4,0.3644466981721327
CASO_petroleum_liquids_1,3,148.29942193496868,14.1,0.0012039479737790692
CASO_small_hydroelectric_1,3,584525.7600000111,66.91,1.0000000000000189
CASO_solar_photovoltaic_1,3,3.0057131322014034e7,13760.2,0.25004038397861117
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,474714.2399999994,54.34,0.9999999999999988
FRCC_biomass_2,4,0.0,0.0,0.0
FRCC_conventional_hydroelectric_1,4,110842.93143572815,43.5,0.2916796435827127
FRCC_conventional_steam_coal_1,4,376.7141627177453,2497.77,1.7264216655512456e-5
FRCC_conventional_steam_coal_2,4,304.8295791991535,437.58,7.974198040917979e-5
FRCC_natural_gas_fired_combined_cycle_1,4,1705.9874289416964,2289.57,8.529219189154016e-5
FRCC_natural_gas_fired_combined_cycle_2,4,2.0608015222950015e7,28449.6,0.08291772473174179
FRCC_natural_gas_fired_combustion_turbine_1,4,507.1017716100476,8363.94,6.9401937324217536e-6
FRCC_natural_gas_fired_combustion_turbine_2,4,544.7402907311538,232.35,0.0002683701420720218
FRCC_natural_gas_internal_combustion_engine_1,4,148138.5840448768,260.27,0.06515255503762436
FRCC_natural_gas_steam_turbine_1,4,528.3381374330035,331.65,0.00018235569620850525
FRCC_nuclear_1,4,2.976507231467519e7,3737.0,0.9117404411812963
FRCC_petroleum_liquids_1,4,135.91481185591314,148.2,0.000104979852750646
FRCC_solar_photovoltaic_1,4,1.4324049960639972e7,9413.74,0.1741770787795011
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,680971.1999999889,77.95,0.9999999999999836
ISNE_biomass_2,5,0.0,0.0,0.0
ISNE_conventional_hydroelectric_1,5,1.6287883392085177e6,516.11,0.3612515774724897
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,4.258257583314809e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,828127.3863871743,3158.8,0.030009751030552232
ISNE_natural_gas_fired_combined_cycle_2,5,7.065673672560281e6,10499.0,0.07703587408377242
ISNE_natural_gas_fired_combustion_turbine_1,5,21196.70540686865,409.51,0.005925039189287915
ISNE_natural_gas_fired_combustion_turbine_2,5,95246.07193274585,1315.9,0.008285363400912835
ISNE_natural_gas_internal_combustion_engine_1,5,12509.014257789635,57.39,0.024950211843770952
ISNE_natural_gas_steam_turbine_1,5,5431.462969924507,21.3,0.02918936143530256
ISNE_nuclear_1,5,2.257762910489581e7,3348.1,0.7719111036219374
