Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Total
CO2_Price_1,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,199.99999499090708,0.0
AnnualSum,2.0461030152790814e6,4.6249538987443345e6,6.63336285510905e6,1.197472793826044e7,1.7017162888427824e7,3.3915881957567916e6,2.872103242849124e6,9.447226659539165e6,7.043724451233623e6,1.7233975825622247e6,3.1970263669251725e6,2.259465664517373e6,3.90838019281222e6,2.818733696322084e6,2.5107355521449752e7,1.3118115106499387e7,367992.1852257352,375506.4492261313,230200.4514517816,4.830046181868266e6,5.197820375624738e6,3.549920136179624e6,7.264357319059339e6,2.660227021367562e6,1.1385329800098456e7,2.0265395850938973e6,1.5507136678148317e8
t1,0.38749583211916455,653.910758636458,345.47229451908055,674.3189167249523,1193.4821410196464,270.2835301611089,248.7344949357927,371.9593071270889,2966.242675236127,0.6123386128777876,434.0667886798298,121.96132591161512,1754.654632403802,63.39815614068982,3364.103913664762,3295.9490966989283,0.46872503686979794,0.7514803157356045,0.7852037303189215,1.084697604700318,287.05509682032306,19.187008848199092,458.34841081805234,0.7014461711915684,299.3918624155628,754.7249002294716,17582.036698295306
t2,0.38639184837583257,653.8918792221714,345.4149193956335,674.2823441828564,811.1879415943808,269.9366662416837,248.14186692616266,371.87409817367757,2965.8678245460555,0.6045063185543822,433.26100514200107,0.7845590542321016,621.8561663401633,0.793571068471802,2801.825315608387,2912.881128318253,0.45180631538948557,0.656047835217725,0.6733827217640308,0.8743092699856517,287.0326906882274,19.173066776329758,458.3122422987141,0.6565753270768907,298.9181156735335,0.6267472585177185,14180.365168145814
t3,0.3772749112656476,653.7961698187833,345.2002071522356,674.2606496550037,811.8060940689559,269.87823079427125,248.0881888219237,371.8380629304416,2965.472287537563,0.5492607912744945,433.1680760556572,0.7210353085730948,531.6123545764888,0.7509894647139443,2801.731472593481,2912.8153880836626,0.43602560137745716,0.6105772930865704,0.6208657120378417,0.807254159621288,287.0201234818669,19.16362767515374,458.28847174621274,0.607825119916142,298.8530234407512,0.5484488661864748,14089.021985660504
t4,0.3570235449328428,653.5201172747473,344.9643038645097,674.2410179376767,1298.1775415166182,269.84941145746274,248.06249759836564,371.8137050448232,2965.1115849105468,0.4430073119447824,433.11369227573033,0.6846231160680003,531.7121560222383,0.727916821747387,2801.7733439431922,2912.7852910164293,0.42316618736073547,0.5800125016933058,0.584673833711591,0.7630101265036875,287.0081602799331,19.15260714725386,458.27049181531174,0.5747573577027817,298.80799415030594,0.5095369065381262,14574.011643963348
t5,0.35120440175769474,572.2955748538142,344.81818570020044,674.2380677159556,1425.145586078344,269.83206629743256,248.0468247169018,371.7964438801048,2965.3752323675385,0.4165841500101962,433.07275114807516,0.6592744597048512,543.4189816212473,0.7123723074023924,2803.0153329824925,2912.7718178984605,0.41407178014401164,0.5604184151520092,0.5602351279615085,0.7387899735961709,286.9998100261761,19.143845098606626,458.2562284956206,0.5505898117653096,298.78148923384117,0.4907966036539346,14632.46257514596
t6,0.34700069550712287,464.88981932677456,344.7911258216642,674.2251536921627,1512.8986179731737,269.827478518921,248.07077023295165,371.78365275549453,2965.509005115274,0.40813996633233757,433.0512472769001,0.6542275024170155,1404.881965618621,0.75884184022973,6975.561603563529,2912.7453122947086,0.40564530752417777,0.546202778407666,0.5415181750266015,0.7216958297049547,287.00451883498573,19.138779491367323,458.2443915459859,0.5306518784787988,298.7617853280496,0.4786030646762924,19646.77775442887
t7,0.3389028667182497,411.3196702869568,344.7617816322133,674.2288570128931,1243.3142391260901,277.3158134955137,254.90117407535323,371.81411736836674,2965.9501787526533,0.3971819557605104,433.00584110906556,0.6338542958247683,1770.6587230860134,1.0129940977098695,9336.498614248783,6447.315417496372,0.394704726189,0.5666641966837604,0.5492221996107204,0.8303515432417482,287.00184901806045,19.17012753629263,458.25500457862256,0.5057142966526597,298.78329777146905,0.5963208967792142,25600.120617669887
t8,0.33048023613159133,387.43793034683955,344.73340738188773,674.2064809046623,2076.0461373379253,278.2937469312519,255.50171917241093,371.8542393884037,2966.1194921880797,0.3855617530424837,432.985393074667,0.6650119666747595,1770.6702173615256,1.0615853992565418,9242.615388443832,7361.010127455686,0.3993750760996739,0.6452113170678986,0.5946916517628881,1.2525532313993972,286.9897672256844,19.189473239300625,458.256618852229,0.479952184966579,298.8600829765659,1.0503698594442945,27231.6350149568
t9,0.3193885555815553,345.1169824285095,344.73333444974315,431.6724656826298,360.17102507732733,274.01469696800547,251.59533103951082,371.8131550795417,2019.4642058307938,0.3706923699229442,277.37537334470994,0.452049816422965,1133.5609648167901,0.5561942366143386,3267.2974541875783,5073.386965518712,0.3828054592733708,0.593594898988422,0.5544376214575599,0.997337988750367,286.9622661070942,19.165178586503103,458.23430021536973,0.44754761289216594,298.80341313691,0.7784359020325047,15218.819596931664
t10,0.2914354249616113,169.16322689236847,344.60047862546065,0.36446354802893005,0.33668069865783695,266.1181127751644,178.83651180643378,238.11793252971725,334.94601444069286,0.3230781715475195,0.6123548890139411,0.24806593637016175,0.4343952886816159,0.34470685232231485,0.4264823888003857,676.5067390100721,0.3150298013421292,0.3833018321322477,0.35797681218569044,0.40412194031013393,123.99739804959124,12.386648668293155,293.3747171820258,0.37931715399615534,256.8009553268357,0.1918629453870759,2900.262008990393
t11,0.25499521248194734,108.27230663126569,173.38023862155805,0.2955704886198608,0.32364798356492014,95.95290830257774,22.334455348673014,0.4575901182576394,120.55893257126763,0.27357739872336756,0.5235273797773895,0.23408957582938658,0.2337128852079156,0.3066741289790746,0.3786720244102947,32.805964218265906,0.2645090793564766,0.32063829901237323,0.2892977724328096,0.32211987328181596,0.343640283567406,0.4032467368929064,0.35216353155037894,0.3099389616837537,65.8996521297224,0.1394100734124461,625.2314796303726
