region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
BASN,BASN_batteries_1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN,BASN_biomass_1,1,1,2,0.0,0.0,0.0,2.6232815e6,0.0,0.0,697308.3936000066,1.6224953472000188e6,0.0,0.0,0.0,8.172747007764933e6,0.0,0.0,0.0,0.0,0.0,8.172747007764933e6,4.943085240800025e6,3.2296617669649078e6
BASN,BASN_biomass_2,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN,BASN_conventional_hydroelectric_1,1,1,4,0.0,0.0,0.0,6.934922247999999e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89616952846946e8,0.0,0.0,0.0,0.0,0.0,2.89616952846946e8,6.934922247999999e7,2.20267730366946e8
BASN,BASN_conventional_steam_coal_1,1,1,5,0.0,0.0,0.0,3.8276520000000005e6,0.0,0.0,1001.2997764546947,8602.816159164444,0.0,3157.220234486881,0.0,28954.369316715565,0.0,0.0,0.0,132291.14537848948,0.0,28954.369316715565,3.972704481548596e6,-3.9437501122318804e6
BASN,BASN_conventional_steam_coal_2,1,2,6,0.0,0.0,0.0,4.3958754239999995e7,0.0,0.0,1030.5054972931998,7510.959908090335,0.0,3082.1226158605646,0.0,30657.617280804167,0.0,0.0,0.0,116205.81515973381,0.0,30657.617280804167,4.408658364318097e7,-4.405592602590016e7
BASN,BASN_geothermal_1,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN,BASN_natural_gas_fired_combined_cycle_1,1,1,8,0.0,0.0,0.0,5.7896170200000005e6,0.0,0.0,302369.0792030218,2.9153357709114654e6,0.0,656524.1346733887,0.0,1.1949927793709924e7,0.0,0.0,0.0,7.169494622300998e6,0.0,1.1949927793709924e7,1.6833340627088875e7,-4.88341283337895e6
BASN,BASN_natural_gas_fired_combined_cycle_2,1,2,9,0.0,0.0,0.0,7.712526476e7,0.0,0.0,1.4407535022540847e7,1.2957282046645616e8,0.0,3.1761008666407093e7,0.0,5.525927916166663e8,0.0,0.0,0.0,3.191935410952209e8,0.0,5.525927916166663e8,5.720601700106251e8,-1.9467378393958807e7
BASN,BASN_natural_gas_fired_combustion_turbine_1,1,1,10,0.0,0.0,0.0,1.587716988e7,0.0,0.0,229896.50226493555,2.2223328552277144e6,0.0,840003.7669808532,0.0,8.793805822339552e6,0.0,0.0,0.0,5.59200132731097e6,0.0,8.793805822339552e6,2.4761404331784476e7,-1.5967598509444924e7
BASN,BASN_natural_gas_fired_combustion_turbine_2,1,2,11,0.0,0.0,0.0,3.2608988e6,0.0,0.0,46736.9371500626,443611.42844934337,0.0,173852.05714176205,0.0,1.7126590258514448e6,0.0,0.0,0.0,1.117954849171159e6,0.0,1.7126590258514448e6,5.043054071912327e6,-3.330395046060882e6
BASN,BASN_natural_gas_internal_combustion_engine_1,1,1,12,0.0,0.0,0.0,4.23108e6,0.0,0.0,151197.76548724843,1.2916518922209162e6,0.0,197081.49464303188,0.0,5.387233554489615e6,0.0,0.0,0.0,3.115229518238273e6,0.0,5.387233554489615e6,8.98624067058947e6,-3.599007116099854e6
BASN,BASN_natural_gas_steam_turbine_1,1,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
