Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,661311.8090042551,936.0,0.0
BASN_biomass_1,1,165984.0,19.0,1.0
BASN_biomass_2,1,87360.0,10.0,1.0
BASN_conventional_hydroelectric_1,1,7.846563134970448e6,2566.0,0.35003397195764635
BASN_conventional_steam_coal_1,1,127.72884479035282,51.0,0.00028668580045238277
BASN_conventional_steam_coal_2,1,177.36380159675775,2949.0,6.884582219959929e-6
BASN_geothermal_1,1,3.4350741928419448e6,433.0,0.9081040236048928
BASN_natural_gas_fired_combined_cycle_1,1,9888.769478968592,1123.0,0.0010079752566802308
BASN_natural_gas_fired_combined_cycle_2,1,1.5451753857474748e7,7114.0,0.2486287205675472
BASN_natural_gas_fired_combustion_turbine_1,1,222.7780449069115,2025.0,1.2593160409426101e-5
BASN_natural_gas_fired_combustion_turbine_2,1,217.1202064808933,236.0,0.00010531145546234425
BASN_natural_gas_internal_combustion_engine_1,1,7083.216154008452,221.0,0.0036688131671351355
BASN_natural_gas_steam_turbine_1,1,135.7859736220703,242.0,6.422837277403955e-5
BASN_onshore_wind_turbine_1,1,3.4948380639110394e6,2029.9999999999998,0.19706903678741947
BASN_petroleum_liquids_1,1,36.1879575867792,26.0,0.00015932286201561705
BASN_small_hydroelectric_1,1,1.546272e6,177.0,1.0
BASN_solar_photovoltaic_1,1,1.651884067845195e7,7996.0,0.23647985677894967
CANO_batteries_1,2,2.963515469837279e6,2679.0,0.0
CANO_biomass_1,2,1.170624e6,134.0,1.0
CANO_biomass_2,2,663936.0,76.0,1.0
CANO_conventional_hydroelectric_1,2,1.7690971012055572e7,6974.0,0.2903735823202752
CANO_hydroelectric_pumped_storage_1,2,4.192671985626363e6,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,710.4444374890556,3113.0,2.6123921627880943e-5
CANO_natural_gas_fired_combined_cycle_2,2,2.2405100877393328e7,8297.0,0.3091100947023711
CANO_natural_gas_fired_combustion_turbine_1,2,250.3816571634532,2244.0,1.277223884997015e-5
CANO_natural_gas_fired_combustion_turbine_2,2,259.41794606213136,2428.0,1.2230345020007128e-5
CANO_natural_gas_internal_combustion_engine_1,2,418.96610193828764,444.0,0.00010801480617077095
CANO_natural_gas_steam_turbine_1,2,441.1609703144457,3.0,0.016833065106625678
CANO_onshore_wind_turbine_1,2,2.766506698738919e6,1442.0,0.21961087402923093
CANO_petroleum_liquids_1,2,72.59917272278015,177.0,4.695110092065313e-5
CANO_small_hydroelectric_1,2,1.886976e6,216.0,1.0
CANO_solar_photovoltaic_1,2,1.3833483351064585e7,6326.0,0.25031665046558726
CASO_batteries_1,3,1.0499861341628509e7,8963.0,0.0
CASO_biomass_1,3,995904.0,114.0,1.0
CASO_biomass_2,3,139776.0,16.0,1.0
CASO_conventional_hydroelectric_1,3,2.2199693894666405e6,971.0,0.2617068745292324
CASO_geothermal_1,3,178803.44032066726,24.0,0.8528094490263816
CASO_hydroelectric_pumped_storage_1,3,3.2424803796673706e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,527.4957934542595,2103.0,2.8712241792112105e-5
CASO_natural_gas_fired_combined_cycle_2,3,2.2950122993228946e7,7458.0,0.3522491979693878
CASO_natural_gas_fired_combustion_turbine_1,3,266.8370422777391,1865.0,1.637776580577114e-5
CASO_natural_gas_fired_combustion_turbine_2,3,385.386893460678,4575.0,9.642579251503182e-6
CASO_natural_gas_internal_combustion_engine_1,3,4176.8211216413065,50.0,0.009562319417676983
CASO_natural_gas_steam_turbine_1,3,499.0750028036611,2.0,0.02856427442786522
CASO_onshore_wind_turbine_1,3,1.3018149233155167e7,3944.0,0.3778328499506822
CASO_petroleum_liquids_1,3,71.29460774630765,14.0,0.0005829294851052103
CASO_small_hydroelectric_1,3,637728.0,73.0,1.0
CASO_solar_photovoltaic_1,3,3.074515744685118e7,13801.0,0.2550078444212381
FRCC_batteries_1,4,598815.4413335454,555.0,0.0
FRCC_biomass_1,4,471744.0,54.0,1.0
FRCC_biomass_2,4,995904.0,114.0,1.0
FRCC_conventional_hydroelectric_1,4,115373.13505384141,44.0,0.30015072181423114
FRCC_conventional_steam_coal_1,4,185.87852366718585,3109.0,6.843777270290033e-6
FRCC_conventional_steam_coal_2,4,144.16633765222255,674.0,2.4484505883805368e-5
FRCC_natural_gas_fired_combined_cycle_1,4,994.2738187248012,2676.0,4.25311640510275e-5
FRCC_natural_gas_fired_combined_cycle_2,4,4.834395661935641e7,29925.0,0.1849249062038353
FRCC_natural_gas_fired_combustion_turbine_1,4,4971.218538384449,8544.0,6.6602263707331e-5
FRCC_natural_gas_fired_combustion_turbine_2,4,2884.5373781437306,286.0,0.001154509504175204
FRCC_natural_gas_internal_combustion_engine_1,4,154926.50608980213,280.0,0.06333664724367238
FRCC_natural_gas_steam_turbine_1,4,257.6621625533767,335.0,8.804267213157313e-5
FRCC_nuclear_1,4,3.0118582895178173e7,3737.0,0.9225689011031335
FRCC_petroleum_liquids_1,4,65.40239802482533,452.0,1.6563137689031994e-5
FRCC_solar_photovoltaic_1,4,1.4867430896062015e7,9463.0,0.179843382885082
ISNE_batteries_1,5,334592.36079282564,366.0,0.0
ISNE_biomass_1,5,410592.0,47.0,1.0
ISNE_biomass_2,5,926016.0,106.0,1.0
ISNE_conventional_hydroelectric_1,5,1.8766645589545385e6,593.0,0.3622591248777207
ISNE_conventional_steam_coal_1,5,9736.573300801589,330.0,0.0033773772410927924
ISNE_hydroelectric_pumped_storage_1,5,3.567751984778701e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.0243890315078471e6,3363.0,0.03486787071396464
