Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,2.6353093050130823e11,7.313901581133641e9,5.63391893340924e9,8.55117838982743e9,1.655713800218005e10,1.2206793201540546e10,1.328094862023292e10,6.735507404326105e9,1.0737140548455376e10,1.4574161946321842e10,9.004459046306372e9,4.73644342285062e9,4.814601481960174e9,5.281399097735404e9,5.485459940054744e9,1.5806397955033707e10,2.0534271761365128e10,5.596831551030956e9,3.84284572625365e9,2.8611857527400565e9,6.231148878909239e9,1.3399492630478758e10,1.2149777718688688e10,1.534655919072304e10,7.270119072252109e9,1.88086265030932e10,3.138418204890333e9
cFix,2.0424462832290005e11,6.9522419259e9,4.4769922783e9,6.0258569131e9,1.08000591943e10,1.0773235954699999e10,1.09675077835e10,4.9995862652e9,7.5771202959e9,1.22826467374e10,8.7184467653e9,4.1915691049999995e9,4.3892634797e9,4.1393978584999995e9,4.968013561200001e9,1.3179592889999998e10,1.40147803279e10,5.5550559152e9,3.6508225619e9,2.7736725457e9,5.7724883092e9,9.7797794659e9,1.1006303874300001e10,1.18157953088e10,6.658043739200001e9,1.5835290334599998e10,2.9410649322000003e9
cVar,9.647090925795603e9,3.0389246267621376e7,1.8134734667569345e8,5.770252991707814e8,1.1758068122381227e9,1.522137843346454e8,6.041192781581122e8,4.637186390303606e8,6.630342351285852e8,5.607494800000794e8,4.69096141190217e7,8.214424023623422e7,9.217110499397792e7,2.577177667830004e8,1.0421963925004911e8,4.618026695727762e8,1.6573656684766176e9,4.707530910489149e6,4.523002719590543e7,1.9479442862584524e7,4.497755208587356e7,8.074230753503883e8,2.2084172375807625e8,7.052121502755827e8,1.1228696192345966e8,5.561752157958623e8,2.0022421199801564e7
cFuel,2.9797873398594105e10,2.4829236537144732e8,8.128202212287602e8,1.684443361771634e9,3.797185669454624e9,1.0232482252782278e9,1.3958154158034227e9,1.0546848929368691e9,2.0611782874718983e9,1.3975576984631124e9,2.0804517065406725e8,3.9228834955622315e8,3.038836224542771e8,7.915990505346087e8,3.66319708238557e8,1.7840494870364544e9,3.9305649057789564e9,2.7949784967878368e7,1.2934485515331605e8,6.022969153775361e7,3.151274734458442e8,2.4064906243798084e9,7.789075810889249e8,2.334558922835775e9,4.3960396361285233e8,1.9174998937759092e9,1.3618417576138145e8
cNSE,1.0673520982267807e8,4856.102044107301,4883.054074243798,5291.85763988661,4565.3618149674185,1.0661440092818041e8,4833.455347729216,4620.70938703742,4636.851483870834,5006.781967821696,5459.157325496455,4927.837707954844,4572.912668342876,4749.780256803009,4914.165168828418,5362.412890551508,4991.437259050785,4759.097182725654,4592.844119652587,4479.993807969977,4662.807915391552,4845.948159773401,4993.983489565578,4708.994096983575,4974.779098923096,5016.404543470233,4102.165045504903
cStart,6.102398704684252e9,8.29731874925288e7,1.6275420415071043e8,2.6384752392737418e8,7.840817608254913e8,1.514808362994943e8,3.135013093160364e8,2.1751298644948822e8,4.358030931034103e8,3.3320302367668164e8,3.1052037075957682e7,7.043680022045542e7,2.927870189924895e7,9.267967213753885e7,4.6902117200970046e7,3.8094754601158386e8,9.315558677722914e8,9.113560855406903e6,1.7443689160309233e7,7.799592645911129e6,9.855088136960578e7,4.0579461890040153e8,1.4371954555819646e8,4.9098809981758434e8,6.0179432736697786e7,4.9965604251688457e8,4.114257356410426e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.4500345357315792e7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,1.3617703594122677e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
