model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2030,base_short_tx_200,all,MWh,758862.5085857988
GenX,BASN,BASN_biomass_1,Other,2030,base_short_tx_200,all,MWh,162489.59999999913
GenX,BASN,BASN_biomass_2,Other,2030,base_short_tx_200,all,MWh,87360.0
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_short_tx_200,all,MWh,8182082.770545646
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2030,base_short_tx_200,all,MWh,255.71656967855327
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2030,base_short_tx_200,all,MWh,442.7860461578503
GenX,BASN,BASN_geothermal_1,Geothermal,2030,base_short_tx_200,all,MWh,3180156.5143583235
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_tx_200,all,MWh,33913.31772588085
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_tx_200,all,MWh,5511165.215427401
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_tx_200,all,MWh,615.1941843709741
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base_short_tx_200,all,MWh,582.1609191934533
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_tx_200,all,MWh,5310.624008140296
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_tx_200,all,MWh,352.6314117582895
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base_short_tx_200,all,MWh,3225530.9354781145
GenX,BASN,BASN_petroleum_liquids_1,Other,2030,base_short_tx_200,all,MWh,65.1085838930721
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2030,base_short_tx_200,all,MWh,1547145.600000027
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2030,base_short_tx_200,all,MWh,16299957.44314032
GenX,CANO,CANO_batteries_1,Battery,2030,base_short_tx_200,all,MWh,3298706.2450841283
GenX,CANO,CANO_biomass_1,Other,2030,base_short_tx_200,all,MWh,1172371.2000000067
GenX,CANO,CANO_biomass_2,Other,2030,base_short_tx_200,all,MWh,667430.399999993
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base_short_tx_200,all,MWh,18072244.119781252
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,base_short_tx_200,all,MWh,5166758.398213841
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_tx_200,all,MWh,2006.991826152016
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_tx_200,all,MWh,17983615.036168262
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_tx_200,all,MWh,717.7007735535149
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base_short_tx_200,all,MWh,744.2517918783899
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_tx_200,all,MWh,1068.083447739047
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_tx_200,all,MWh,309.4823373319826
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2030,base_short_tx_200,all,MWh,2747954.0144306207
