model,line_name,planning_year,case,unit,value
SWITCH,TRE_to_TRE_WEST,2030,base_short_tx_200,MW,2.160231815651059e-08
SWITCH,TRE_to_SPPS,2030,base_short_tx_200,MW,1199.9999998716685
SWITCH,TRE_WEST_to_SPPS,2030,base_short_tx_200,MW,439.99999973209674
SWITCH,FRCC_to_SRSE,2030,base_short_tx_200,MW,2.220981514255982e-07
SWITCH,MISW_to_MISE,2030,base_short_tx_200,MW,399.9999984441338
SWITCH,MISW_to_PJMC,2030,base_short_tx_200,MW,778.200522414752
SWITCH,MISW_to_MISC,2030,base_short_tx_200,MW,6.38419805909507e-09
SWITCH,MISW_to_SPPN,2030,base_short_tx_200,MW,5.5315467761829495e-09
SWITCH,MISW_to_SPPC,2030,base_short_tx_200,MW,5.6792913621531545e-05
SWITCH,MISE_to_MISC,2030,base_short_tx_200,MW,399.9999993210551
SWITCH,MISE_to_PJMW,2030,base_short_tx_200,MW,8.160895959008485e-09
SWITCH,PJMC_to_MISC,2030,base_short_tx_200,MW,7.900443961261772e-07
SWITCH,PJMC_to_PJMW,2030,base_short_tx_200,MW,1959.999998824313
SWITCH,MISC_to_SPPN,2030,base_short_tx_200,MW,399.9999965489429
SWITCH,MISC_to_SPPC,2030,base_short_tx_200,MW,2859.999976087114
SWITCH,MISC_to_SPPS,2030,base_short_tx_200,MW,2343.999998052845
SWITCH,MISC_to_MISS,2030,base_short_tx_200,MW,8.949655239121057e-09
SWITCH,MISC_to_PJMW,2030,base_short_tx_200,MW,3.699688022607006e-07
SWITCH,MISC_to_SRCE,2030,base_short_tx_200,MW,8.85984263732098e-09
SWITCH,SPPN_to_SPPC,2030,base_short_tx_200,MW,2865.999999366395
SWITCH,SPPN_to_SPPS,2030,base_short_tx_200,MW,399.9999992273735
SWITCH,SPPC_to_SPPS,2030,base_short_tx_200,MW,3495.027232014718
SWITCH,SPPC_to_MISS,2030,base_short_tx_200,MW,399.9999993056752
SWITCH,SPPS_to_MISS,2030,base_short_tx_200,MW,3393.9999997515433
SWITCH,SPPS_to_SRSG,2030,base_short_tx_200,MW,2019.9999998051303
SWITCH,MISS_to_SRSE,2030,base_short_tx_200,MW,1.1689087386912433e-07
SWITCH,MISS_to_SRCE,2030,base_short_tx_200,MW,7.516064215451479e-09
SWITCH,SRSE_to_SRCA,2030,base_short_tx_200,MW,5.270067049423233e-09
SWITCH,SRSE_to_SRCE,2030,base_short_tx_200,MW,1.8749688024399802e-08
SWITCH,SRCA_to_PJMD,2030,base_short_tx_200,MW,9.763652997207828e-09
SWITCH,SRCA_to_PJMW,2030,base_short_tx_200,MW,7.57313500798773e-09
SWITCH,SRCA_to_SRCE,2030,base_short_tx_200,MW,8.538779638911365e-08
SWITCH,PJMD_to_PJMW,2030,base_short_tx_200,MW,5.026777216698974e-09
SWITCH,PJMD_to_PJME,2030,base_short_tx_200,MW,2399.999998821875
SWITCH,PJMW_to_PJME,2030,base_short_tx_200,MW,529.9054481187313
SWITCH,PJMW_to_SRCE,2030,base_short_tx_200,MW,2.210390448453836e-08
SWITCH,PJME_to_NYUP,2030,base_short_tx_200,MW,9.116020009969361e-07
SWITCH,PJME_to_NYCW,2030,base_short_tx_200,MW,1319.999999701111
SWITCH,NYUP_to_NYCW,2030,base_short_tx_200,MW,4977.999964328864
SWITCH,NYUP_to_ISNE,2030,base_short_tx_200,MW,213.58596351629967
SWITCH,NYCW_to_ISNE,2030,base_short_tx_200,MW,421.9649401471861
SWITCH,RMRG_to_BASN,2030,base_short_tx_200,MW,703.0850683433418
SWITCH,RMRG_to_NWPP,2030,base_short_tx_200,MW,799.9999992279861
SWITCH,RMRG_to_SRSG,2030,base_short_tx_200,MW,1227.9999994336345
SWITCH,BASN_to_NWPP,2030,base_short_tx_200,MW,7.413291314151138e-09
SWITCH,BASN_to_CANO,2030,base_short_tx_200,MW,1.021097659759107e-07
SWITCH,BASN_to_CASO,2030,base_short_tx_200,MW,3.4879121812991798e-09
SWITCH,BASN_to_SRSG,2030,base_short_tx_200,MW,1.3882527127861977e-08
SWITCH,NWPP_to_CANO,2030,base_short_tx_200,MW,2.615024641272612e-08
SWITCH,NWPP_to_CASO,2030,base_short_tx_200,MW,3.1338913686340675e-08
SWITCH,CANO_to_CASO,2030,base_short_tx_200,MW,7.525613909820095e-09
SWITCH,CASO_to_SRSG,2030,base_short_tx_200,MW,1.2512828106991947e-08
SWITCH,NWPP_to_SPPN,2030,base_short_tx_200,MW,399.9999993806025
SWITCH,NWPP_to_MISW,2030,base_short_tx_200,MW,2.203898930019932e-08
SWITCH,RMRG_to_SPPN,2030,base_short_tx_200,MW,819.9999998624562
SWITCH,RMRG_to_SPPC,2030,base_short_tx_200,MW,419.99999984369765
SWITCH,SRSG_to_TRE,2030,base_short_tx_200,MW,399.9999997698184
SWITCH,TRE_to_TRE_WEST,2040,base_short_tx_200,MW,2.6659108698368073e-08
SWITCH,TRE_to_SPPS,2040,base_short_tx_200,MW,2399.999999828557
SWITCH,TRE_WEST_to_SPPS,2040,base_short_tx_200,MW,879.9999996702049
SWITCH,FRCC_to_SRSE,2040,base_short_tx_200,MW,3.0544651963282377e-07
SWITCH,MISW_to_MISE,2040,base_short_tx_200,MW,799.9999983535602
SWITCH,MISW_to_PJMC,2040,base_short_tx_200,MW,3065.622417505757
SWITCH,MISW_to_MISC,2040,base_short_tx_200,MW,5.523088475456461e-08
SWITCH,MISW_to_SPPN,2040,base_short_tx_200,MW,7.995913620106876e-08
